Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
,Dilip Patel,Purshottambhai Alias Kanubhai Mathurbhai Chauhan,Solanki Bharatbhai Madhavsinh,Girishbhai Das (Advocate),Padhiyar Vikramsinh (Vakil),Mahida Mahendrasinh Sahebsinh,Ravjibhai S Parmar,Hitendrasinh Mohansinh Parmar,Patel Jayeshbhai Arvindbhai,Patel Dilipbhai Manilal,Patel Naineshkuma r Umedbhai,Parmar Amarsinh Dahyabhai,Rabari Hiteshkumar Laljibhai,Vahora Firojbhai Walimahamad bhai (Kasorwala),Vaghela Bharat P,,,,,
1,189,4,299,3,0,0,1,0,1,0,0,1,2,1,0,501,0,3,504,0
2,389,4,276,1,1,0,0,0,2,0,0,1,3,8,4,689,0,13,702,0
3,354,4,184,5,0,4,1,0,1,2,1,1,2,2,6,567,0,24,591,0
4,264,4,61,3,3,2,3,2,1,1,1,1,4,2,6,358,0,24,382,0
5,249,5,260,3,1,0,0,1,1,0,1,2,3,6,4,536,0,24,560,0
6,284,7,407,10,0,2,1,1,1,1,1,1,1,1,0,718,0,11,729,0
7,179,5,311,1,0,0,0,1,1,0,0,1,0,4,1,504,0,4,508,0
8,120,6,407,15,0,3,2,0,3,1,1,1,3,4,3,569,0,7,576,0
9,216,8,378,3,2,1,2,2,1,0,0,1,2,3,2,621,0,10,631,0
10,408,8,146,9,2,3,0,1,1,1,0,1,3,2,5,590,0,15,605,0
11,330,3,143,4,0,0,3,1,1,0,0,1,1,0,3,490,0,15,505,0
12,433,8,220,0,1,2,1,0,3,2,1,0,4,9,13,697,0,20,717,0
13,309,7,247,5,0,1,0,2,1,0,1,0,2,1,3,579,0,13,592,0
14,194,6,274,5,0,0,0,1,2,0,0,0,1,4,9,496,0,7,503,0
15,325,6,214,8,0,2,2,2,1,0,2,1,5,7,3,578,0,15,593,0
16,90,4,177,2,1,0,0,1,0,1,1,2,5,9,1,294,0,10,304,0
17,212,3,196,2,3,0,0,0,0,0,0,1,1,4,2,424,0,2,426,0
18,376,3,375,1,0,1,0,0,1,0,2,1,2,5,2,769,0,27,796,0
19,216,5,219,3,0,0,4,1,1,1,0,0,7,3,6,466,0,31,497,0
20,160,3,232,2,0,0,0,0,2,0,0,0,0,1,0,400,0,8,408,0
21,407,8,314,4,0,0,0,0,2,2,0,1,0,6,2,746,0,12,758,0
22,639,6,241,1,0,0,0,2,1,2,0,0,1,2,1,896,0,15,911,0
23,331,2,318,2,1,0,1,0,1,1,2,3,2,5,6,675,0,5,680,0
24,287,3,238,4,2,0,1,1,2,0,1,2,3,2,3,549,0,5,554,0
