,Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,Total of valid votes,No.of rejected votes,NOTA,Total,No of tendered votes,
,,Kamalbhai Matang,Chavda Vinod Lakhamashi,Dr. Dinesh Parmar,Danicha Govindbhai Punamchand,Hirji Punjabhai Siju,,,,,,
,227,2,372,78,2,10,464,0,9,473,0,
,228,1,307,41,0,5,354,0,7,361,0,
,229,15,311,181,4,17,528,0,11,539,0,
,230,10,298,199,4,2,513,0,6,519,0,
,231,17,325,288,11,70,711,0,17,728,0,
,Total,78,2082,1225,31,143,3559,0,78,3637,0,
,232,20,360,225,1,64,670,0,13,683,0,
,232,25,238,341,4,123,731,0,15,746,0,
,233,5,146,106,2,2,261,0,4,265,0,
,235,28,393,378,8,13,820,0,24,844,0,
,236,15,353,240,3,45,656,0,5,661,0,
,237,24,362,201,4,29,620,0,15,635,0,
,238,14,194,209,9,28,454,0,13,467,0,
,Total,131,2046,1700,31,304,4212,0,89,4301,0,
,239,5,133,68,2,8,216,0,5,221,0,
,240,41,424,295,11,44,815,0,21,836,0,
,241,29,185,317,13,4,548,0,9,557,0,
,242,26,81,146,9,4,266,0,8,274,0,
,243,25,236,109,0,6,376,0,6,382,0,
,244,41,64,125,6,7,243,0,15,258,0,
,245,6,183,98,3,1,291,0,3,294,0,
,Total,173,1306,1158,44,74,2755,0,67,2822,0,
,9 01-ABADASA,,,,,,,,,,,
,246,17,214,118,7,11,367,0,20,387,0,
,247,24,337,71,2,2,436,0,1,437,0,
,248,30,76,96,7,2,211,0,4,215,0,
,249,23,79,139,15,5,261,0,6,267,0,
,250,33,110,273,4,2,422,0,8,430,0,
,251,38,111,229,15,2,395,0,11,406,0,
,252,44,124,276,7,7,458,0,7,465,0,
,Total,209,1051,1202,57,31,2550,0,57,2607,0,
,253,21,275,97,8,2,403,0,8,411,0,
,254,41,487,234,11,43,816,0,25,841,0,
,255,25,249,414,13,44,745,0,11,756,0,
,256,41,509,278,10,8,846,0,34,880,0,
,257,21,484,198,6,40,749,0,8,757,0,
,258,30,128,236,6,13,413,0,20,433,0,
,259,17,207,166,21,8,419,0,7,426,0,
,Total,196,2339,1623,75,158,4391,0,113,4504,0,
,260,9,89,220,2,0,320,0,3,323,0,
,261,4,227,63,1,19,314,0,1,315,0,
,262,28,451,279,14,7,779,0,17,796,0,
,263,23,434,168,9,36,670,0,21,691,0,
,264,10,125,83,5,2,225,0,4,229,0,
,265,40,273,353,10,43,719,0,14,733,0,
,266,13,517,240,3,0,773,0,4,777,0,
,Total,127,2116,1406,44,107,3800,0,64,3864,0,
