polling station,No. of valid votes cast in favour of,,,,Total of valid votes,No. of rejected votes (Test Votes),Votes for 'NOTA' option,No. of tendered votes,Total
,Naranbhai Jemalabhai Rathva,Ramsinh Rathwa,Prof. Arjunbhai Versingbhai Rathva,Vasava Prafulbhai Devjibhai,,,,,
184,99,419,6,1,525,0,3,0,528
185,168,414,11,8,601,0,6,0,607
186,77,396,5,0,478,0,2,0,480
187,247,360,9,3,619,0,12,0,631
188,180,351,4,1,536,0,8,0,544
189,604,241,8,9,862,0,21,0,883
190,264,441,10,2,717,0,13,0,730
191,179,258,2,5,444,0,7,0,451
192,238,328,9,3,578,0,8,0,586
193,139,354,10,2,505,0,10,0,515
194,251,245,4,0,500,0,3,0,503
195,83,218,1,0,302,0,1,0,303
196,281,195,2,0,478,0,8,0,486
197,132,218,3,1,354,0,2,0,356
198,247,336,6,4,593,0,8,0,601
199,218,304,8,2,532,0,3,0,535
200,114,342,4,0,460,0,4,0,464
201,461,283,10,9,763,0,7,0,770
202,359,481,8,4,852,0,28,0,880
203,123,371,3,0,497,0,2,0,499
204,143,185,6,3,337,0,7,0,344
205,75,466,3,4,548,0,16,0,564
206,468,236,7,2,713,0,9,0,722
207,337,566,44,5,952,0,15,0,967
208,109,294,7,2,412,0,2,0,414
209,260,352,17,6,635,0,7,0,642
210,78,233,2,1,314,0,6,0,320
211,49,190,11,10,260,0,13,0,273
212,197,415,15,6,633,0,16,0,649
213,94,279,8,2,383,0,8,0,391
214,16,186,5,1,208,0,0,0,208
215,381,509,15,6,911,0,20,0,931
216,198,404,11,2,615,0,3,0,618
217,274,259,4,5,542,0,20,0,562
218,240,376,9,6,631,0,24,0,655
219,314,543,4,3,864,0,17,0,881
220,149,266,5,1,421,0,3,0,424
221,104,224,9,4,341,0,5,0,346
222,176,326,3,4,509,0,8,0,517
223,33,410,8,1,452,0,3,0,455
224,31,177,3,4,215,0,2,0,217
225,234,304,10,5,553,0,4,0,557
226,129,200,6,4,339,0,7,0,346
227,67,232,4,0,303,0,1,0,304
228,31,327,5,3,366,0,4,0,370
229,54,260,22,5,341,0,8,0,349
230,172,181,7,4,364,0,10,0,374
231,10,246,1,4,261,0,3,0,264
232,318,339,8,3,668,0,19,0,687
233,290,317,11,5,623,0,18,0,641
234,101,165,0,3,269,0,6,0,275
235,235,346,5,1,587,0,7,0,594
236,120,82,2,1,205,0,2,0,207
237,109,271,1,1,382,0,4,0,386
238,125,466,5,4,600,0,7,0,607
239,123,610,3,4,740,0,9,0,749
240,71,285,5,3,364,0,6,0,370
241,174,440,9,15,638,0,13,0,651
