,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,,,,,
Serial No. Of Polling Station,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,Total of Valid Votes,No. of Rejected Votes,Votes for 'NOTA' Option,Total,No. of Tendered votes
200,2,201,114,4,3,0,0,0,3,1,0,4,2,9,11,2,1,4,2,363,0,3,366,0
201,3,141,211,3,0,1,0,0,2,2,0,1,1,4,2,4,2,0,8,385,0,1,386,0
202,2,393,70,2,0,0,4,0,0,2,2,3,3,7,16,9,4,2,1,520,0,4,524,0
203,8,338,107,4,1,1,0,0,0,1,1,2,3,5,11,5,0,2,0,489,0,2,491,0
204,6,548,132,7,2,1,2,2,1,1,1,3,1,12,11,3,2,12,4,751,0,5,756,0
,1178,84451,29241,471,128,107,1336,118,122,100,145,317,264,528,746,970,437,940,535,122134,0,1176,123310,0
,1178,84451,29241,471,128,107,1336,118,122,100,145,317,264,528,746,970,437,940,535,122134,0,1176,123310,0
205,8,435,308,7,0,3,10,1,3,3,0,8,4,6,12,16,4,13,4,845,0,17,862,0
206,1,195,34,1,0,0,4,0,0,0,0,0,0,0,3,1,0,2,0,241,0,1,242,0
207,0,343,145,2,0,2,6,1,0,0,1,2,0,3,1,5,2,8,4,525,0,3,528,0
208,11,339,83,7,0,1,0,1,1,0,0,4,2,8,9,10,8,22,10,516,0,5,521,0
209,1,167,95,1,1,0,7,0,0,0,0,2,0,0,1,1,1,4,1,282,0,1,283,0
210,10,607,132,5,1,1,6,0,1,0,1,4,2,3,8,12,6,8,3,810,0,5,815,0
211,5,213,184,5,1,0,2,0,2,2,2,2,9,10,33,14,4,4,1,493,0,5,498,0
212,1,350,179,4,0,1,2,1,0,1,2,2,3,4,7,11,6,6,4,584,0,6,590,0
213,4,227,191,2,2,0,7,0,1,1,0,2,2,1,2,5,4,9,3,463,0,9,472,0
214,10,271,126,4,0,1,8,1,1,1,0,0,1,2,7,6,7,2,3,451,0,4,455,0
215,4,395,97,0,4,0,0,0,1,1,0,1,1,2,3,5,0,2,2,518,0,0,518,0
216,7,168,374,9,1,0,1,2,0,1,2,7,5,9,9,8,1,3,4,611,0,4,615,0
,1240,88161,31189,518,138,116,1389,125,132,110,153,351,293,576,841,1064,480,1023,574,128473,0,1236,129709,0
,1240,88161,31189,518,138,116,1389,125,132,110,153,351,293,576,841,1064,480,1023,574,128473,0,1236,129709,0
217,5,251,147,3,0,0,1,1,0,2,0,3,2,6,4,11,0,4,2,442,0,0,442,0
218,17,314,242,3,1,0,2,0,2,3,3,0,2,7,6,10,5,9,8,634,0,5,639,0
219,5,250,124,2,0,0,0,0,0,2,1,2,0,3,3,8,3,4,3,410,0,6,416,0
220,14,496,207,6,1,1,1,0,0,0,3,1,4,2,5,6,3,9,3,762,0,15,777,0
221,9,589,55,3,1,0,6,0,0,0,2,0,0,0,3,3,2,1,1,675,0,2,677,0
222,5,162,71,1,1,0,3,0,0,0,0,0,0,4,2,5,1,5,3,263,0,2,265,0
223,0,241,456,0,0,1,3,1,1,1,1,2,1,8,6,4,0,4,6,736,0,6,742,0
224,4,369,224,2,1,0,2,0,2,1,1,5,4,7,15,12,7,6,7,669,0,11,680,0
225,5,274,264,1,1,0,5,0,1,0,0,2,0,0,1,2,2,5,0,563,0,1,564,0
226,7,138,349,3,0,1,7,1,0,1,3,3,4,9,1,9,1,2,1,540,0,1,541,0
227,11,438,175,1,1,0,13,2,1,2,3,3,1,4,8,16,7,7,3,696,0,8,704,0
228,15,233,340,5,1,5,3,4,5,4,4,15,9,16,10,27,10,9,15,730,0,14,744,0
,1337,91916,33843,548,146,124,1435,134,144,126,174,387,320,642,905,1177,521,1088,626,135593,0,1307,136900,0
,1337,91916,33843,548,146,124,1435,134,144,126,174,387,320,642,905,1177,521,1088,626,135593,0,1307,136900,0
229,8,272,85,2,1,1,3,2,1,2,4,3,1,2,4,10,2,7,2,412,0,10,422,0
230,9,479,253,7,0,1,2,0,0,2,0,4,3,5,11,14,1,3,2,796,0,5,801,0
231,8,156,177,2,2,1,0,1,1,0,2,2,1,10,7,11,5,9,3,398,0,9,407,0
232,5,490,137,9,1,0,5,0,1,1,0,1,6,14,10,3,2,2,3,690,0,5,695,0
233,5,166,321,7,2,0,4,0,2,1,0,3,9,12,8,8,4,13,17,582,0,10,592,0
234,3,130,12,2,1,0,0,1,0,0,0,0,1,2,5,0,1,1,1,160,0,1,161,0
235,7,401,185,2,3,0,9,0,2,0,0,3,0,3,0,6,4,4,2,631,0,7,638,0
236,3,311,166,0,1,1,7,0,0,0,1,0,0,4,1,4,1,3,4,507,0,6,513,0
237,13,234,428,11,2,1,2,1,3,0,3,1,4,13,12,10,1,7,19,765,0,4,769,0
238,12,552,213,2,0,3,2,0,0,0,1,3,0,1,6,3,6,15,2,821,0,10,831,0
239,18,612,94,2,1,1,7,1,1,0,1,2,1,1,4,7,2,10,2,767,0,4,771,0
240,4,170,184,1,0,0,2,1,1,1,2,3,2,2,6,16,1,15,10,421,0,5,426,0
,1432,95889,36098,595,160,133,1478,141,156,133,188,412,348,711,979,1269,551,1177,693,142543,0,1383,143926,0
,1432,95889,36098,595,160,133,1478,141,156,133,188,412,348,711,979,1269,551,1177,693,142543,0,1383,143926,0
241,4,429,192,4,2,1,11,0,1,3,1,4,4,8,12,12,2,3,2,695,0,2,697,0
242,1,175,117,0,1,0,1,1,0,0,0,1,0,3,5,3,0,3,1,312,0,2,314,0
,5,604,309,4,3,1,12,1,1,3,1,5,4,11,17,15,2,6,3,1007,0,4,1011,0
,1437,96493,36407,599,163,134,1490,142,157,136,189,417,352,722,996,1284,553,1183,696,143550,0,1387,144937,0
