polling station,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Gamit Movaliyabhai Nopariyabhai.,Chaudhari Tusharbhai Amarsinhbhai.,Chaudhari Revaben Shankarbhai.,Vasava Parbhubhai Nagarbhai.,Chaudhari Chandubhai Machalabhai.,Chaudhari Reniyabhai Shankarbhai.,Jagatsinh Laljibhai Vasava,Bhailalbhai Chhanabhai Rathod,Gamit Surendrabhai Simabhai.,Rathod Rameshbhai Bhikhabhai.,,,,,
1,2,142,2,539,3,0,2,3,1,3,697,0,5,702,0
2,4,283,10,206,6,2,3,5,4,2,525,0,4,529,0
3,4,515,13,232,2,1,2,3,6,4,782,0,11,793,0
4,3,240,10,219,5,1,1,2,0,5,486,0,10,496,0
5,1,14,3,108,8,0,1,0,3,1,139,0,4,143,0
6,10,507,11,253,2,1,1,1,1,12,799,0,22,821,0
7,12,456,6,202,6,1,1,4,2,4,694,0,12,706,0
8,4,537,9,281,9,0,0,4,5,12,861,0,11,872,0
9,7,626,14,165,4,0,2,2,5,11,836,0,25,861,0
10,12,675,10,186,7,0,3,3,3,15,914,0,19,933,0
11,10,613,8,178,7,1,1,3,2,5,828,0,13,841,0
12,7,339,6,104,3,0,2,0,3,3,467,0,14,481,0
13,7,475,8,167,6,0,1,4,5,17,690,0,17,707,0
14,2,265,8,345,2,1,0,2,1,0,626,0,9,635,0
15,2,528,12,147,8,1,1,4,3,8,714,0,15,729,0
16,1,209,3,470,5,0,2,0,1,1,692,0,6,698,0
17,4,210,10,504,4,1,0,1,1,7,742,0,11,753,0
18,6,549,5,223,3,0,0,3,2,7,798,0,13,811,0
19,9,319,3,542,6,0,1,1,2,4,887,0,10,897,0
20,1,51,1,323,1,0,0,0,0,1,378,0,7,385,0
21,1,106,1,407,2,0,2,1,0,1,521,0,2,523,0
22,2,158,2,460,1,0,1,1,0,0,625,0,4,629,0
23,4,560,12,286,4,1,1,6,5,12,891,0,26,917,0
24,5,387,1,421,8,0,2,6,3,5,838,0,12,850,0
25,15,562,19,215,4,1,0,1,0,5,822,0,12,834,0
26,3,193,7,210,4,0,0,3,3,7,430,0,5,435,0
27,6,172,4,248,2,1,1,7,3,7,451,0,15,466,0
28,2,81,4,322,5,2,1,8,4,0,429,0,7,436,0
29,4,216,10,508,13,5,6,6,4,10,782,0,15,797,0
30,3,139,1,458,3,1,0,3,5,4,617,0,20,637,0
31,16,159,13,304,9,5,2,2,4,10,524,0,10,534,0
32,5,155,5,344,9,0,0,1,0,6,525,0,14,539,0
33,6,101,12,393,11,2,3,8,3,10,549,0,15,564,0
34,0,121,2,204,3,1,0,0,2,2,335,0,1,336,0
35,8,392,12,259,9,0,5,7,12,5,709,0,6,715,0
36,3,143,5,228,2,1,2,2,5,13,404,0,13,417,0
37,5,316,12,469,4,2,0,2,0,4,814,0,5,819,0
38,1,151,9,375,4,0,2,2,0,3,547,0,5,552,0
39,4,205,2,44,0,1,0,0,1,1,258,0,1,259,0
40,0,50,3,300,6,0,2,3,3,3,370,0,5,375,0
41,12,266,6,311,9,0,3,3,7,11,628,0,20,648,0
42,14,201,6,391,4,1,1,5,4,8,635,0,14,649,0
43,0,71,4,574,3,0,5,2,0,0,659,0,4,663,0
44,5,140,4,236,7,2,1,5,5,7,412,0,7,419,0
45,9,349,9,167,3,2,1,6,2,6,554,0,28,582,0
46,4,390,3,26,1,1,0,0,1,4,430,0,11,441,0
47,1,237,0,171,2,1,0,0,1,5,418,0,10,428,0
48,4,134,3,362,3,0,0,1,1,2,510,0,6,516,0
49,2,290,2,80,2,0,1,1,0,2,380,0,7,387,0
50,12,585,5,79,3,1,3,6,0,11,705,0,13,718,0
51,11,478,4,120,2,1,2,6,1,4,629,0,12,641,0
52,9,448,5,122,5,1,0,4,7,9,610,0,23,633,0
