Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
,Dilip Patel,Purshottambhai Alias Kanubhai Mathurbhai Chauhan,Solanki Bharatbhai Madhavsinh,Girishbhai Das (Advocate),Padhiyar Vikramsinh (Vakil),Mahida Mahendrasinh Sahebsinh,Ravjibhai S Parmar,Hitendrasinh Mohansinh Parmar,Patel Jayeshbhai Arvindbhai,Patel Dilipbhai Manilal,Patel Naineshkuma r Umedbhai,Parmar Amarsinh Dahyabhai,Rabari Hiteshkumar Laljibhai,Vahora Firojbhai Walimahamad bhai (Kasorwala),Vaghela Bharat P,,,,,
1,170,1,303,3,0,4,0,0,4,1,2,0,4,11,6,509,0,3,512,0
2,513,2,142,3,0,0,1,0,1,4,1,1,2,1,5,676,0,8,684,0
3,287,6,361,0,3,0,2,2,1,2,0,2,0,5,7,678,0,6,684,0
4,107,5,327,2,0,2,0,0,5,1,1,1,0,1,1,453,0,3,456,0
5,600,2,60,0,0,1,0,0,0,1,0,0,0,0,0,664,0,4,668,0
6,132,5,493,5,1,0,0,1,0,2,1,0,3,12,2,657,0,6,663,0
7,183,4,351,3,0,0,0,2,1,0,2,0,0,2,4,552,0,7,559,0
8,154,4,448,2,0,0,1,1,1,0,0,0,1,10,3,625,0,8,633,0
9,222,6,255,3,2,0,3,3,3,1,2,0,1,6,3,510,0,9,519,0
10,164,4,348,4,0,0,4,0,3,0,0,1,2,4,5,539,0,9,548,0
11,693,0,39,0,0,0,2,1,0,0,0,0,0,0,1,736,0,5,741,0
12,368,8,293,12,0,0,0,0,3,1,2,4,8,21,3,723,0,26,749,0
13,249,5,377,2,0,1,0,2,0,1,0,0,1,2,3,643,0,5,648,0
14,317,4,295,3,0,0,2,2,4,2,0,2,4,5,7,647,0,5,652,0
15,140,2,196,1,0,0,1,1,1,1,0,0,0,1,2,346,0,3,349,0
16,127,1,262,7,0,0,0,0,1,2,1,1,2,3,5,412,0,5,417,0
17,478,3,222,2,1,0,1,3,3,1,1,0,1,6,8,730,0,22,752,0
18,149,3,362,4,1,0,0,4,1,1,1,0,6,5,2,539,0,16,555,0
19,170,2,373,2,0,0,0,2,0,2,2,3,2,6,9,573,0,15,588,0
20,97,6,539,6,0,1,0,1,1,0,2,1,1,8,3,666,0,8,674,0
21,146,4,439,1,0,0,0,1,2,0,0,2,3,7,5,610,0,19,629,0
22,247,3,196,0,0,0,2,0,0,3,0,0,1,2,3,457,0,10,467,0
23,225,1,69,1,0,0,0,0,0,0,1,0,0,1,2,300,0,22,322,0
24,144,7,191,2,2,2,1,0,0,1,1,1,2,4,6,364,0,13,377,0
25,119,5,171,5,0,0,1,0,1,2,0,0,0,3,4,311,0,5,316,0
26,68,3,687,3,0,4,1,4,2,0,0,3,2,4,3,784,0,2,786,0
27,83,6,729,8,1,2,0,2,2,0,0,0,1,3,0,837,0,7,844,0
28,38,2,580,2,2,3,3,0,1,0,0,2,0,3,1,637,0,0,637,0
29,469,3,190,0,1,2,0,1,1,1,1,1,1,2,2,675,0,9,684,0
30,155,3,180,7,0,1,0,5,0,3,2,2,1,4,5,368,0,9,377,0
31,572,3,74,1,0,0,1,0,1,0,0,0,1,1,1,655,0,16,671,0
32,282,1,221,2,0,1,5,1,0,1,1,0,0,1,0,516,0,3,519,0
33,82,3,328,1,0,2,0,0,0,1,1,0,3,1,2,424,0,8,432,0
34,455,3,35,0,0,0,0,1,1,0,0,1,0,2,0,498,0,8,506,0
35,131,16,436,3,2,2,7,2,3,2,2,3,4,8,13,634,0,16,650,0
36,269,2,279,3,1,0,1,3,0,0,0,2,6,7,6,579,0,22,601,0
37,110,5,545,7,2,1,3,1,2,0,1,4,3,13,7,704,0,7,711,0
38,73,4,498,7,0,2,2,4,2,1,2,1,2,4,3,605,0,13,618,0
39,110,4,256,5,0,1,0,4,4,1,3,5,4,13,5,415,0,15,430,0
40,175,3,405,2,0,3,0,0,1,0,0,2,2,4,1,598,0,11,609,0
41,308,3,210,3,0,0,0,0,1,1,0,0,0,1,2,529,0,1,530,0
42,459,15,158,2,0,1,1,1,1,3,1,0,3,4,3,652,0,5,657,0
43,256,3,366,3,1,4,0,1,4,1,2,0,1,4,1,647,0,4,651,0
44,213,4,378,3,2,0,0,0,0,1,1,0,0,5,4,611,0,11,622,0
