Serial No of Polling Station,Number of Valid votes cast in favour of,,,,,,,,Total of Valid Votes,Total of Reject - ed Votes,NOTA,Total,No of Tender- ed Votes
,Chudasama Rajeshbhai Naranbhai (Bharatiya Janata Party),Punjabhai Bhimabhai Vansh (Indian National Congress),Atul Govindbhai Shekhada (Aam Aadmi Party),Kadri Ibrahim Saiyed Husen (Samajwadi Party),Solanki Haribhai Boghabhai (Bahujan Mukti Party),Gadhiya Soyeb Hushenbhai (Independent),Saiyed Altaf Husain Abdullah Miyan (Independent),Harilal Ranchhodbhai Chauhan (Independent),,,,,
253,158,268,13,2,1,2,4,6,454,0,12,466,0
254,297,228,10,1,1,1,1,3,542,0,8,550,0
255,95,263,9,2,2,0,1,6,378,0,5,383,0
256,182,210,14,1,2,0,0,6,415,0,10,425,0
257,242,241,9,2,2,0,1,6,503,0,8,511,0
258,183,176,5,2,0,1,1,4,372,0,2,374,0
259,240,344,18,0,3,1,3,8,617,0,15,632,0
260,235,416,22,5,1,1,2,7,689,0,12,701,0
261,314,329,14,1,0,3,2,6,669,0,28,697,0
262,187,197,5,1,0,3,0,3,396,0,7,403,0
263,247,347,6,0,0,0,2,4,606,0,9,615,0
264,221,316,7,4,1,0,2,4,555,0,14,569,0
265,141,215,7,2,1,2,3,2,373,0,5,378,0
266,115,195,5,1,0,1,1,3,321,0,5,326,0
267,171,243,5,2,3,5,3,9,441,0,8,449,0
268,111,171,7,0,0,3,1,7,300,0,14,314,0
269,113,152,5,1,0,2,3,7,283,0,9,292,0
270,296,140,8,3,1,0,1,7,456,0,13,469,0
271,144,132,5,2,2,2,3,5,295,0,8,303,0
272,232,256,8,3,0,2,1,6,508,0,21,529,0
273,292,171,9,0,1,2,6,5,486,0,10,496,0
274,48,271,4,0,1,2,1,14,341,0,6,347,0
275,220,465,16,23,4,4,6,12,750,0,22,772,0
276,140,401,12,4,0,1,1,6,565,0,9,574,0
277,156,276,4,0,0,0,2,3,441,0,10,451,0
278,179,292,5,1,5,1,4,11,498,0,9,507,0
279,208,216,3,0,0,0,2,3,432,0,8,440,0
280,154,240,7,2,1,2,1,6,413,0,6,419,0
281,188,101,1,1,0,3,1,4,299,0,5,304,0
282,82,212,3,0,0,0,2,4,303,0,14,317,0
283,188,248,2,1,3,5,2,8,457,0,11,468,0
284,14,27,2,1,1,1,0,3,49,0,11,60,0
285,244,169,3,1,1,2,3,5,428,0,22,450,0
