Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
,Dilip Patel,Purshottambhai Alias Kanubhai Mathurbhai Chauhan,Solanki Bharatbhai Madhavsinh,Girishbhai Das (Advocate),Padhiyar Vikramsinh (Vakil),Mahida Mahendrasinh Sahebsinh,Ravjibhai S Parmar,Hitendrasinh Mohansinh Parmar,Patel Jayeshbhai Arvindbhai,Patel Dilipbhai Manilal,Patel Naineshkuma r Umedbhai,Parmar Amarsinh Dahyabhai,Rabari Hiteshkumar Laljibhai,Vahora Firojbhai Walimahamad bhai (Kasorwala),Vaghela Bharat P,,,,,
1,467,6,183,2,0,1,0,0,0,4,0,0,1,1,0,665,0,7,672,0
2,395,4,184,1,1,0,1,1,1,1,1,0,0,9,3,602,0,34,636,0
3,319,7,268,5,1,1,1,0,0,0,1,0,3,5,5,616,0,22,638,0
4,448,7,173,2,0,2,0,0,1,1,0,0,0,2,4,640,0,9,649,0
5,213,4,358,3,2,0,0,1,1,2,1,1,5,2,4,597,0,10,607,0
6,404,3,211,3,0,0,1,0,3,0,1,2,1,6,1,636,0,11,647,0
7,165,8,123,4,0,0,1,1,0,1,1,1,5,3,2,315,0,8,323,0
8,420,6,309,2,1,2,1,0,1,2,0,2,5,8,4,763,0,10,773,0
9,412,7,287,5,0,0,1,1,2,2,0,2,3,11,2,735,0,4,739,0
10,346,7,352,1,0,2,1,1,0,0,1,1,0,11,1,724,0,9,733,0
11,545,2,238,3,0,1,2,0,1,1,0,0,0,3,2,798,0,4,802,0
12,538,5,187,1,0,2,0,0,0,0,0,0,0,2,1,736,0,3,739,0
13,402,6,310,1,2,1,1,0,0,0,0,2,2,11,2,740,0,32,772,0
14,201,4,257,3,1,1,0,0,1,1,0,0,4,11,6,490,0,12,502,0
15,254,11,311,6,0,0,2,0,2,1,0,1,0,11,3,602,0,15,617,0
16,272,7,345,1,1,3,0,0,0,2,2,2,2,6,6,649,0,12,661,0
17,138,5,381,6,1,0,1,2,2,2,2,1,4,4,5,554,0,6,560,0
18,563,13,65,4,0,1,1,0,1,1,0,1,0,2,3,655,0,19,674,0
19,419,4,252,5,0,1,0,1,0,2,1,2,2,3,2,694,0,9,703,0
20,401,8,199,4,0,1,0,0,1,1,3,0,4,13,10,645,0,28,673,0
21,253,6,154,0,0,0,0,0,1,0,0,1,3,4,2,424,0,18,442,0
22,349,3,149,0,1,3,0,1,0,0,2,1,2,4,3,518,0,21,539,0
23,273,11,218,4,0,0,0,4,1,0,1,2,0,8,7,529,0,8,537,0
24,608,5,263,3,0,1,1,2,0,0,0,0,7,7,4,901,0,11,912,0
25,197,13,468,4,1,1,0,2,0,0,2,1,4,3,3,699,0,7,706,0
26,478,6,315,5,0,2,1,1,2,1,1,3,5,13,3,836,0,16,852,0
27,455,9,279,3,2,1,1,0,1,1,1,1,2,12,7,775,0,26,801,0
28,283,6,267,4,1,21,2,1,0,0,0,2,1,1,1,590,0,13,603,0
29,186,8,308,4,0,0,1,2,3,1,1,2,2,8,8,534,0,8,542,0
30,223,27,332,1,1,1,0,1,2,0,1,1,2,5,5,602,0,14,616,0
31,343,5,329,5,0,9,0,0,1,0,0,1,4,1,1,699,0,13,712,0
32,312,4,281,2,0,5,1,1,1,3,1,1,2,2,1,617,0,13,630,0
33,237,8,265,3,1,1,0,1,2,0,0,0,0,1,1,520,0,10,530,0
34,195,12,331,3,0,1,1,0,0,0,0,1,1,4,0,549,0,4,553,0
35,383,5,281,5,0,0,2,1,1,0,1,1,2,0,0,682,0,7,689,0
36,201,5,392,7,2,1,1,2,2,0,2,2,5,16,6,644,0,17,661,0
37,215,3,345,2,1,1,1,0,0,1,2,1,0,6,0,578,0,6,584,0
38,444,4,186,2,0,0,0,1,2,0,3,0,1,25,4,672,0,23,695,0
39,428,1,214,2,0,2,1,0,0,1,0,1,0,3,1,654,0,13,667,0
40,441,1,146,1,0,0,0,1,1,1,0,0,0,3,2,597,0,11,608,0
41,384,3,146,0,0,2,0,1,0,0,0,0,1,1,3,541,0,12,553,0
42,492,0,67,1,1,0,0,0,0,1,1,0,1,1,1,566,0,16,582,0
43,239,2,566,1,0,0,1,0,1,4,1,0,4,14,2,835,0,4,839,0
44,396,0,280,1,1,0,3,0,1,2,0,0,0,4,0,688,0,9,697,0
45,536,6,136,2,1,0,1,1,0,1,1,3,0,5,0,693,0,11,704,0
46,271,7,404,1,1,0,2,1,1,1,0,0,1,9,3,702,0,12,714,0
47,375,1,71,0,0,0,1,1,0,1,1,0,0,0,0,451,0,3,454,0
48,357,4,413,7,3,2,1,1,1,3,4,1,6,39,4,846,0,17,863,0
49,423,3,208,1,0,2,0,1,1,1,3,0,0,3,0,646,0,11,657,0
50,181,1,163,3,0,1,1,2,0,0,1,3,1,3,2,362,0,30,392,0
51,113,2,351,3,1,1,0,1,2,1,1,1,1,5,0,483,0,6,489,0
52,604,6,176,1,0,0,1,0,0,0,0,1,0,0,0,789,0,5,794,0
53,785,3,103,0,0,2,1,0,0,1,0,0,1,1,0,897,0,7,904,0
54,580,5,170,3,3,2,1,0,1,2,2,1,1,2,5,778,0,22,800,0
55,336,6,297,1,0,1,4,0,1,3,3,1,4,4,3,664,0,9,673,0
56,235,9,439,4,3,3,0,1,1,2,1,0,4,12,5,719,0,15,734,0
57,216,3,375,1,3,0,0,0,1,2,1,2,4,8,8,624,0,18,642,0
58,447,6,200,3,0,0,0,0,0,1,0,0,0,1,3,661,0,28,689,0
59,651,1,166,1,0,3,1,2,0,0,1,1,1,3,2,833,0,9,842,0
60,130,5,302,1,0,2,1,1,0,2,1,0,2,2,4,453,0,16,469,0
61,255,5,310,5,1,2,1,1,5,2,3,0,5,7,6,608,0,23,631,0
62,318,5,305,8,1,3,0,1,2,2,1,2,5,2,8,663,0,35,698,0
63,247,5,259,1,0,2,1,3,1,1,2,0,2,10,9,543,0,30,573,0
64,167,12,454,4,0,0,1,1,2,3,1,1,3,22,3,674,0,8,682,0
65,113,3,115,0,1,5,1,2,1,2,0,1,2,6,5,257,0,6,263,0
66,37,1,381,2,2,0,1,1,0,1,1,2,5,5,7,446,0,7,453,0
67,68,0,270,1,1,0,0,2,1,0,0,0,1,6,14,364,0,7,371,0
68,269,5,360,2,0,13,0,0,0,1,0,1,0,2,3,656,0,2,658,0
69,297,8,293,4,3,3,2,4,2,1,1,0,0,1,3,622,0,11,633,0
70,567,1,64,1,0,1,1,0,0,0,0,0,0,1,1,637,0,4,641,0
71,211,14,400,3,0,1,1,2,2,0,2,1,6,14,4,661,0,11,672,0
72,368,3,261,4,0,0,0,1,1,0,2,1,1,4,9,655,0,20,675,0
73,344,2,190,1,0,1,0,1,1,0,1,3,0,6,2,552,0,13,565,0
74,327,5,166,3,0,0,0,0,1,1,1,1,2,1,4,512,0,22,534,0
75,339,1,316,13,2,1,1,0,2,0,0,0,4,11,5,695,0,5,700,0
76,321,5,228,1,1,0,0,1,2,0,2,0,6,8,5,580,0,8,588,0
77,261,4,307,4,0,1,2,0,0,0,1,0,4,8,1,593,0,10,603,0
78,284,2,348,2,1,0,3,2,2,1,2,0,5,6,4,662,0,14,676,0
79,344,6,155,2,3,0,2,0,0,0,0,0,1,0,1,514,0,4,518,0
80,368,5,91,5,0,2,3,0,1,0,0,1,2,7,0,485,0,12,497,0
81,272,2,161,2,0,0,2,0,0,1,1,1,6,3,1,452,0,8,460,0
82,248,7,132,2,1,2,6,0,1,0,0,3,0,3,1,406,0,6,412,0
83,362,2,234,2,1,4,8,0,5,0,1,3,9,2,5,638,0,15,653,0
84,365,5,318,0,0,4,1,1,1,0,1,0,1,0,0,697,0,9,706,0
85,219,9,294,7,0,3,0,2,0,1,2,1,1,1,2,542,0,7,549,0
86,309,2,346,3,1,0,4,1,1,0,1,0,3,4,2,677,0,9,686,0
87,358,10,472,7,2,5,1,2,1,3,1,3,4,3,6,878,0,14,892,0
88,399,7,367,4,4,4,3,0,2,0,5,6,2,10,4,817,0,30,847,0
89,404,5,169,2,0,3,1,1,0,1,0,0,2,3,2,593,0,11,604,0
90,329,3,177,5,0,4,2,0,0,0,2,0,3,4,8,537,0,30,567,0
91,231,11,438,5,2,18,3,0,2,1,0,1,2,3,4,721,0,5,726,0
92,60,0,186,1,0,4,0,0,0,0,0,0,0,1,0,252,0,1,253,0
93,155,9,294,1,0,7,1,0,1,0,0,1,3,5,0,477,0,7,484,0
94,475,6,128,2,1,0,0,0,1,0,0,0,6,3,6,628,0,19,647,0
95,113,5,100,5,0,0,0,0,1,0,0,0,0,0,0,224,0,11,235,0
96,588,8,196,2,0,0,1,0,1,1,0,0,6,11,3,817,0,31,848,0
97,309,1,204,3,0,1,1,1,0,0,0,0,0,2,3,525,0,18,543,0
98,246,3,226,2,0,3,1,2,2,1,0,0,2,4,7,499,0,16,515,0
99,542,3,196,2,0,0,4,0,2,0,0,1,3,4,1,758,0,14,772,0
100,134,4,53,1,0,0,1,1,0,0,0,0,0,3,1,198,0,12,210,0
