No & name of polling station,No. of Valid Votes Cast in Favours of,,,,,,,,,,,,,,,Total of Valid Votes,No. of  vote Rejected votes  (test Votes),"Votes for ""NOTA"" option",total
,Chauhan Devusinh  Jesingbhai (Chauhan  Devusinh),Dinsha Patel,Pandav Bhailalbhai  Kalubhai,Abdul Razakkhan  Pathan,Badhiwala Labhubhai  Jivrajbhai,Ranveer Pranayraj  Govindbhai,Khristi Adward  Khushalbhai,Chauhan Devusing  Motishing,Pathan Amanullakhan  Sitabkhan,Parikh Viral  Hasmukbhai,Malek Yakubmiya  Nabimiya,Malek Sadik Hushen  Mahammd Hushen,Malek Sabirhusen  Ismaelbhai,Ratansinh Udesinh  Chauhan,Roshan Priyavadan  Shah,,,,
61,162,891,2,0,0,0,0,0,2,0,0,1,4,2,4,1068,0,3,1071
62,40,646,1,0,3,0,1,1,0,0,1,1,2,1,6,703,0,9,712
63,449,110,1,0,6,0,0,2,0,0,0,0,0,3,2,573,0,4,577
64,335,518,3,2,4,0,0,0,0,0,1,0,0,0,6,869,0,7,876
65,14,644,5,0,7,0,0,0,0,0,0,0,0,0,0,670,0,4,674
66,44,818,4,0,6,0,1,1,0,0,0,0,1,0,0,875,0,2,877
67,21,736,1,0,2,0,0,0,0,0,0,0,1,2,1,764,0,10,774
68,19,762,0,0,2,0,0,0,0,0,4,1,1,0,1,790,0,4,794
69,500,335,3,0,3,1,1,0,1,0,1,3,0,6,9,863,0,24,887
70,319,346,12,0,2,0,0,5,0,1,1,1,2,5,16,710,0,27,737
71,223,287,4,1,0,0,2,1,1,1,2,3,2,2,6,535,0,7,542
72,217,64,0,0,4,0,0,0,0,0,0,0,0,0,0,285,0,7,292
73,467,289,3,0,0,0,0,0,1,3,1,2,4,0,10,780,0,14,794
74,548,54,5,1,6,0,0,3,0,0,1,1,3,1,8,631,0,18,649
75,268,391,3,0,1,0,0,2,0,0,0,0,1,1,11,678,0,4,682
76,485,121,2,1,15,0,0,2,0,0,0,0,1,0,1,628,0,12,640
77,406,284,2,0,7,1,0,0,1,1,0,1,1,0,0,704,0,10,714
78,706,131,0,0,5,0,0,0,0,0,0,0,0,1,0,843,0,13,856
79,637,143,2,0,7,0,0,2,0,0,0,0,0,1,1,793,0,21,814
80,375,230,3,1,3,1,1,0,0,1,0,0,0,0,4,619,0,3,622
81,402,102,1,0,3,0,0,0,0,1,0,0,0,0,4,513,0,8,521
82,202,357,1,0,4,0,0,0,0,1,0,0,0,0,1,566,0,3,569
83,369,225,0,0,0,0,0,0,0,0,0,1,0,3,1,599,0,10,609
84,545,73,3,1,1,0,0,0,0,0,0,1,0,0,0,624,0,6,630
85,307,57,2,0,1,0,1,2,0,1,0,0,0,0,3,374,0,3,377
86,290,150,0,0,1,0,0,0,0,0,0,0,0,1,0,442,0,7,449
87,418,118,1,0,4,0,1,1,0,1,0,0,1,0,1,546,0,10,556
88,353,74,0,1,6,0,0,2,0,0,0,0,1,0,1,438,0,7,445
89,323,68,0,0,3,0,0,1,0,0,0,0,0,0,3,398,0,5,403
90,424,154,1,1,3,0,0,1,0,1,0,0,0,0,0,585,0,14,599
91,220,46,0,0,0,0,1,1,0,1,0,0,1,0,0,270,0,7,277
92,341,168,1,1,4,1,0,1,0,0,0,2,1,0,2,522,0,8,530
93,527,256,2,0,6,0,1,3,0,1,1,0,1,3,4,805,0,10,815
94,254,216,0,1,4,0,0,0,0,0,0,0,0,0,1,476,0,1,477
95,411,125,2,0,5,0,0,3,0,0,0,0,0,0,0,546,0,4,550
96,384,129,3,1,1,0,0,1,0,0,1,0,0,0,1,521,0,6,527
97,439,332,0,0,9,1,2,3,1,1,0,2,0,0,4,794,0,11,805
98,404,256,4,0,8,1,0,1,0,3,0,2,1,0,2,682,0,8,690
99,314,414,3,0,8,0,2,0,0,0,0,1,0,0,2,744,0,8,752
100,424,344,2,0,9,0,1,0,0,0,0,0,1,0,1,782,0,11,793
101,689,204,6,0,6,0,0,3,0,0,2,0,0,2,2,914,0,4,918
102,596,316,0,1,9,0,1,2,2,0,1,4,2,7,7,948,0,23,971
103,460,80,0,0,5,0,0,3,0,0,0,0,2,1,4,555,0,21,576
104,480,224,2,2,2,1,0,1,0,1,1,0,0,1,2,717,0,19,736
105,518,158,1,0,5,0,0,3,0,0,0,0,0,1,0,686,0,12,698
106,571,76,0,0,2,1,0,3,1,0,0,0,0,0,0,654,0,10,664
