Sr.No of Polling Station,No.of Valid Votes Cast Favour of,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,NOTA,Total,No.Tendred Votes
,KOLIPATEL SOMABHAI GANDABHAI,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVJIBHAI GOVINDBHAI,PATEL JETHABHAI MANJIBHAI,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVADA PALABHAI NANJIBHAI,PARMAR PARBHUBHAI GOKABHAI,PARMARVASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRATBHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,ZALA MANSINH SHIVUBHA,VADALIYA KALUBHAI MALUBHAI,VAGEHLA PRAKASHBHAI BACHUBHAI,VORA BHAVABHAI DEVABHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI,,,,,
264,421,6,135,2,0,0,0,2,1,0,0,0,1,5,3,10,6,592,0,4,596,0
265,326,15,347,9,2,2,1,1,2,1,0,2,0,3,2,7,3,723,0,0,723,0
266,216,8,324,2,0,0,1,0,1,0,1,0,1,2,2,6,8,572,0,8,580,0
267,247,13,304,5,4,1,1,3,3,1,0,1,4,4,2,6,11,610,0,12,622,0
268,150,6,320,5,8,1,0,2,0,1,1,0,0,1,2,6,5,508,0,10,518,0
269,311,10,116,4,1,0,2,88,1,0,2,1,1,1,1,2,2,543,0,5,548,0
270,88,2,223,5,0,1,0,0,1,0,0,0,0,3,1,7,6,337,0,3,340,0
271,58,3,291,3,0,0,1,0,0,1,0,1,0,1,1,4,0,364,0,0,364,0
272,213,4,206,4,2,1,1,2,1,0,4,2,2,4,5,14,7,472,0,6,478,0
273,18,6,276,6,0,0,0,2,0,1,0,1,1,3,0,3,1,318,0,4,322,0
274,48,1,482,4,0,0,0,1,1,0,0,0,1,0,0,0,3,541,0,1,542,0
275,218,5,291,4,3,1,1,0,0,0,0,0,0,4,4,10,5,546,0,5,551,0
276,130,2,219,6,0,0,1,0,0,1,0,1,0,4,4,9,11,388,0,6,394,0
277,36,3,114,2,0,0,1,1,0,0,0,0,0,1,0,4,9,171,0,9,180,0
278,58,2,275,5,0,1,0,0,1,2,0,1,1,3,1,5,0,355,0,1,356,0
279,82,6,401,3,0,0,1,2,0,0,1,0,0,5,4,6,4,515,0,6,521,0
280,149,9,342,7,2,1,1,1,0,1,1,3,2,1,2,16,9,547,0,5,552,0
281,200,6,277,3,16,1,1,3,2,1,0,3,0,3,4,9,14,543,0,16,559,0
282,254,6,156,3,1,1,0,3,0,1,2,2,2,1,1,9,10,452,0,5,457,0
283,194,5,125,2,1,0,2,1,2,2,0,1,2,4,3,7,7,358,0,4,362,0
284,210,10,150,4,2,1,1,2,1,0,0,4,4,3,3,12,8,415,0,3,418,0
285,417,6,115,1,6,0,3,0,2,0,0,1,0,3,1,15,10,580,0,5,585,0
286,507,14,196,7,4,2,1,1,3,4,5,2,6,8,13,32,17,822,0,7,829,0
287,227,6,73,1,0,2,2,1,1,0,0,1,1,3,4,11,4,337,0,2,339,0
288,426,10,187,7,1,1,1,1,1,4,1,1,3,5,9,23,9,690,0,4,694,0
289,191,4,407,3,2,3,2,3,6,2,1,3,6,28,9,19,14,703,0,6,709,0
290,46,3,457,6,0,0,1,0,0,0,0,1,0,1,0,1,1,517,0,4,521,0
291,92,5,169,3,0,0,0,0,0,0,0,2,0,3,1,4,7,286,0,1,287,0
292,191,8,169,1,1,2,1,0,3,1,1,1,0,1,0,1,9,390,0,5,395,0
293,8,2,465,3,0,0,0,1,0,0,0,1,1,2,0,5,1,489,0,3,492,0
294,120,7,295,2,0,0,1,1,2,2,1,0,1,4,1,5,3,445,0,1,446,0
295,130,2,370,10,1,3,2,1,1,1,2,1,2,1,7,13,5,552,0,9,561,0
296,196,4,303,3,2,3,0,0,0,0,1,1,1,5,3,6,13,541,0,12,553,0
297,235,7,277,4,2,3,5,7,5,1,5,3,5,9,11,33,18,630,0,22,652,0
298,171,9,221,5,3,1,1,4,2,1,0,1,1,2,3,23,11,459,0,5,464,0
299,86,3,144,6,1,1,0,0,2,1,0,1,3,3,4,4,3,262,0,1,263,0
300,350,7,201,6,3,0,3,3,1,3,2,1,1,6,2,18,14,621,0,10,631,0
301,162,7,260,7,0,0,0,4,1,2,1,3,1,8,3,7,13,479,0,12,491,0
302,326,4,287,10,1,1,0,0,2,0,1,1,1,4,4,31,12,685,0,16,701,0
303,187,4,110,8,1,0,0,0,0,0,2,1,1,2,4,11,16,347,0,4,351,0
304,294,2,105,1,1,0,2,0,0,0,2,2,2,3,5,25,9,453,0,11,464,0
305,285,4,199,9,0,0,0,2,0,0,1,1,2,6,3,10,5,527,0,6,533,0
306,243,5,342,4,0,0,0,1,0,1,1,1,1,2,6,7,5,619,0,2,621,0
307,266,3,116,4,0,0,0,0,1,1,0,0,0,2,4,8,6,411,0,3,414,0
308,248,7,167,2,0,0,1,0,2,1,0,0,0,3,2,8,5,446,0,7,453,0
309,124,4,158,0,2,0,0,1,2,1,1,1,2,3,1,5,3,308,0,2,310,0
310,134,10,151,2,2,2,1,4,1,0,0,3,2,3,8,11,6,340,0,4,344,0
311,156,9,478,12,1,0,0,4,2,0,0,2,1,6,2,4,1,678,0,4,682,0
312,226,6,210,5,2,0,1,1,1,1,3,3,4,6,6,13,7,495,0,8,503,0
313,161,3,135,6,0,1,2,2,0,3,1,1,2,2,3,8,15,345,0,7,352,0
314,273,8,114,7,1,1,0,1,3,1,1,2,3,4,3,11,20,453,0,5,458,0
315,180,5,101,1,0,0,3,2,0,1,0,1,2,0,3,17,5,321,0,5,326,0
316,294,10,309,9,0,2,1,1,1,1,0,0,0,2,1,3,3,637,0,3,640,0
317,230,5,74,1,0,2,0,0,0,0,1,1,3,2,3,11,5,338,0,4,342,0
318,169,2,188,6,0,0,0,0,1,1,0,1,1,6,3,6,1,385,0,4,389,0
319,21,1,90,5,0,0,0,1,0,1,0,0,2,7,2,4,1,135,0,0,135,0
320,279,10,196,5,0,2,1,2,1,2,1,0,3,3,6,11,1,523,0,2,525,0
321,196,8,183,5,2,2,1,3,0,4,2,4,3,7,8,11,4,443,0,4,447,0
322,335,14,228,9,2,2,2,7,4,3,4,1,3,10,4,25,8,661,0,5,666,0
323,246,4,173,5,0,2,1,1,0,2,1,1,1,2,4,12,7,462,0,7,469,0
324,249,12,185,3,1,0,1,2,3,0,1,0,0,4,9,17,48,535,0,27,562,0
325,560,5,39,0,1,0,2,1,0,0,0,1,3,1,3,17,9,642,0,2,644,0
