Sr.No of Polling Station,No.of Valid Votes Cast Favour of,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,NOTA,Total,No.Tendred Votes
,KOLIPATEL SOMABHAI GANDABHAI,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVJIBHAI GOVINDBHAI,PATEL JETHABHAI MANJIBHAI,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVADA PALABHAI NANJIBHAI,PARMAR PARBHUBHAI GOKABHAI,PARMARVASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRATBHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,ZALA MANSINH SHIVUBHA,VADALIYA KALUBHAI MALUBHAI,VAGEHLA PRAKASHBHAI BACHUBHAI,VORA BHAVABHAI DEVABHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI,,,,,
60,93,4,169,0,2,1,1,1,0,0,0,2,1,4,1,1,1,281,0,2,283,0
61,43,2,213,5,2,1,0,0,0,3,1,1,0,3,0,6,4,284,0,0,284,0
62,120,5,286,3,0,0,0,0,1,1,0,0,3,3,2,5,3,432,0,4,436,0
63,217,2,319,2,6,0,1,2,0,0,1,0,1,3,1,6,1,562,0,1,563,0
64,108,10,410,7,1,1,1,0,1,0,0,1,1,3,1,17,4,566,0,8,574,0
65,86,5,213,6,1,0,0,0,0,0,0,1,0,0,2,3,3,320,0,6,326,0
66,111,3,306,5,0,0,0,2,1,0,1,2,1,2,2,3,1,440,0,3,443,0
67,154,4,287,7,1,0,0,1,0,0,1,0,0,1,2,4,5,467,0,0,467,0
68,84,3,254,4,1,0,0,0,0,0,1,0,0,2,2,1,1,353,0,1,354,0
69,123,8,236,3,0,2,0,0,1,0,3,2,4,6,4,24,14,430,0,18,448,0
70,98,5,147,6,0,0,1,0,2,1,0,2,1,3,5,13,13,297,0,13,310,0
71,265,10,157,4,1,0,0,2,1,1,2,1,1,4,6,26,18,499,0,7,506,0
72,192,5,93,2,1,0,0,1,0,2,0,1,2,0,2,10,3,314,0,2,316,0
73,63,2,205,0,0,2,0,0,1,0,0,0,2,0,0,2,2,279,0,2,281,0
74,285,6,204,4,0,0,0,2,0,0,1,0,1,11,2,5,7,528,0,4,532,0
75,131,3,150,6,1,0,0,0,0,0,0,0,0,3,1,4,3,302,0,4,306,0
76,139,3,289,5,1,0,0,0,1,1,0,1,0,1,1,7,1,450,0,2,452,0
77,48,0,151,2,2,0,0,0,0,0,0,0,0,4,3,3,1,214,0,4,218,0
78,117,2,309,5,1,0,2,0,0,2,0,2,0,2,0,1,2,445,0,4,449,0
79,106,1,62,0,0,0,0,1,0,0,0,0,0,1,0,10,0,181,0,0,181,0
80,111,2,126,4,1,0,0,0,0,0,0,1,2,1,1,7,5,261,0,5,266,0
81,89,1,224,0,0,0,0,0,0,0,0,2,1,1,1,5,3,327,0,2,329,0
82,101,5,199,0,0,0,2,1,2,0,0,1,2,1,0,6,0,320,0,0,320,0
83,85,3,280,3,1,0,0,0,1,0,1,2,1,2,1,2,3,385,0,7,392,0
84,256,2,215,1,1,0,0,0,0,0,0,3,2,1,3,15,14,513,0,6,519,0
85,124,2,109,2,0,0,0,0,1,0,1,0,0,1,2,1,7,250,0,4,254,0
86,196,6,320,3,1,0,0,2,0,0,2,0,1,6,3,8,7,555,0,2,557,0
87,46,4,196,1,0,1,1,0,2,0,0,0,0,0,0,5,1,257,0,1,258,0
88,378,12,175,5,2,0,0,0,2,0,1,1,3,1,3,33,18,634,0,15,649,0
89,201,5,254,1,0,0,0,0,1,1,0,0,0,0,1,0,0,464,0,2,466,0
90,128,4,172,1,1,0,0,1,1,0,0,0,1,0,1,3,5,318,0,2,320,0
91,220,6,98,2,1,0,2,1,2,1,1,1,1,1,1,8,11,357,0,4,361,0
92,195,7,372,7,2,1,2,1,1,0,1,0,4,3,5,15,12,628,0,5,633,0
93,214,3,177,4,0,0,0,0,1,0,0,0,3,0,3,5,3,413,0,3,416,0
94,194,7,284,2,1,0,0,0,2,0,1,0,1,1,1,2,5,501,0,4,505,0
95,198,5,232,2,2,1,1,0,0,1,1,0,2,8,4,21,13,491,0,8,499,0
96,299,2,267,2,0,1,1,0,0,0,0,0,0,0,1,5,8,586,0,1,587,0
97,138,4,287,2,0,0,0,0,2,0,0,0,2,0,0,1,6,442,0,2,444,0
98,335,9,208,3,1,1,0,1,1,1,0,0,1,4,3,18,5,591,0,7,598,0
99,183,8,207,4,0,1,0,2,1,1,1,0,0,5,3,10,14,440,0,8,448,0
100,76,1,206,2,0,0,0,0,0,0,0,0,4,1,2,4,4,300,0,2,302,0
101,103,6,155,3,0,1,1,0,1,0,0,1,1,3,3,6,8,292,0,2,294,0
102,40,0,121,1,2,0,0,0,0,0,0,1,0,0,2,5,5,177,0,3,180,0
103,191,4,141,3,0,1,0,0,0,0,0,1,2,2,1,1,4,351,0,3,354,0
104,74,1,129,2,0,0,1,0,0,0,0,0,2,1,2,4,6,222,0,1,223,0
105,65,4,359,3,0,1,1,1,0,0,0,0,2,3,2,9,4,454,0,1,455,0
106,160,7,121,2,1,1,0,0,0,0,0,0,0,2,0,8,3,305,0,7,312,0
107,197,4,47,2,0,0,0,1,1,1,0,0,0,4,1,6,12,276,0,2,278,0
108,34,4,325,2,0,0,0,0,0,0,0,0,1,2,0,0,6,374,0,0,374,0
109,62,4,185,1,0,1,1,1,1,0,0,1,0,1,0,1,2,261,0,1,262,0
110,175,5,417,4,0,0,0,2,0,0,0,1,1,2,1,8,5,621,0,4,625,0
111,231,5,274,7,0,0,2,1,2,1,0,0,2,1,4,19,5,554,0,8,562,0
112,120,5,263,4,1,0,0,0,0,0,0,0,3,4,6,6,10,422,0,3,425,0
113,276,7,243,3,0,0,0,0,0,1,1,0,0,0,0,2,4,537,0,0,537,0
114,339,8,113,1,0,0,1,0,0,0,0,0,1,2,2,7,20,494,0,10,504,0
115,143,4,149,2,0,0,0,0,0,0,0,1,0,0,1,6,6,312,0,6,318,0
116,43,3,132,1,0,0,0,0,0,0,1,0,0,0,2,3,10,195,0,5,200,0
117,296,2,215,1,1,0,1,1,0,0,0,0,0,4,3,9,2,535,0,1,536,0
118,36,1,169,2,1,1,2,0,0,0,1,1,1,1,1,4,3,224,0,1,225,0
119,201,8,300,8,2,4,2,2,3,1,1,1,2,6,3,10,2,556,0,1,557,0
120,140,10,230,9,2,0,2,1,0,3,1,2,2,2,5,19,7,435,0,5,440,0
121,30,4,338,3,1,0,0,0,0,0,0,1,1,0,1,3,2,384,0,2,386,0
122,71,3,172,0,2,1,0,0,1,0,0,0,0,2,2,5,4,263,0,5,268,0
123,20,2,284,3,0,1,0,0,0,0,1,0,0,4,0,3,1,319,0,3,322,0
124,263,5,140,3,0,0,1,1,0,1,1,0,1,1,3,11,10,441,0,7,448,0
125,179,4,74,3,0,0,0,1,1,0,0,1,3,7,4,8,6,291,0,3,294,0
126,149,5,141,8,0,0,0,3,0,2,1,1,0,2,4,9,3,328,0,2,330,0
127,43,1,236,6,2,0,0,0,1,0,0,0,1,2,0,1,1,294,0,0,294,0
128,78,1,140,1,0,0,0,0,0,0,0,0,0,6,0,1,4,231,0,2,233,0
129,157,0,289,6,1,1,1,0,0,1,1,0,0,3,2,4,7,473,0,4,477,0
130,180,6,48,5,0,0,0,0,0,0,1,1,1,0,0,2,5,249,0,5,254,0
131,78,1,222,0,0,0,1,1,0,0,0,1,0,0,0,1,2,307,0,6,313,0
132,230,4,110,5,0,0,0,1,0,0,1,3,2,2,4,9,9,380,0,7,387,0
133,307,8,160,4,1,1,0,0,1,2,1,3,2,1,2,26,15,534,0,5,539,0
134,277,6,170,4,1,1,0,2,3,1,1,1,1,2,2,16,10,498,0,6,504,0
135,218,2,183,1,1,1,0,3,0,1,2,0,3,4,3,17,7,446,0,3,449,0
136,181,4,138,1,0,2,2,0,0,2,0,1,1,2,3,2,6,345,0,4,349,0
137,153,4,110,5,0,0,1,1,0,0,1,0,1,1,1,7,9,294,0,2,296,0
138,106,1,211,3,0,0,0,1,0,0,0,0,1,0,0,3,1,327,0,2,329,0
139,124,8,170,2,0,0,1,1,1,0,0,1,1,2,0,10,2,323,0,4,327,0
140,201,4,238,5,0,1,3,0,1,0,1,2,3,6,4,10,4,483,0,3,486,0
141,52,2,105,1,0,0,1,0,0,0,0,2,0,1,2,3,0,169,0,4,173,0
142,289,6,248,8,1,2,2,0,1,0,0,1,3,4,4,8,26,603,0,13,616,0
143,19,0,305,1,0,0,0,0,0,0,0,0,0,0,1,0,0,326,0,2,328,0
144,65,13,344,10,3,1,0,2,1,1,2,2,3,6,6,9,0,468,0,3,471,0
145,76,4,282,3,2,2,1,0,0,0,0,2,2,4,4,8,1,391,0,2,393,0
146,100,1,229,2,2,0,1,1,3,0,2,0,1,0,2,2,1,347,0,1,348,0
147,50,3,329,2,0,0,0,0,1,1,0,0,3,0,1,4,4,398,0,4,402,0
148,157,5,182,4,0,0,1,0,1,0,0,0,1,1,3,10,8,373,0,3,376,0
149,110,5,212,3,0,1,1,0,0,1,0,1,3,5,4,6,5,357,0,6,363,0
150,503,13,157,2,1,0,0,0,0,0,1,1,0,1,5,7,14,705,0,2,707,0
151,175,0,100,3,1,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,279,0
152,286,4,137,6,0,0,0,2,1,0,0,0,0,0,1,13,9,459,0,7,466,0
153,92,2,117,6,0,1,0,1,0,1,1,1,1,0,1,1,4,229,0,1,230,0
154,196,10,391,6,0,1,1,2,2,0,1,2,3,7,1,11,3,637,0,5,642,0
155,42,4,228,2,0,0,1,0,1,0,0,0,0,1,0,1,3,283,0,4,287,0
156,137,4,286,4,0,2,3,0,2,1,1,0,2,4,3,14,3,466,0,5,471,0
157,67,6,335,6,0,1,1,1,0,0,0,0,0,2,6,8,5,438,0,12,450,0
