polling station,Giri  Ramchandra  Vaijnath,Chauhan  Prabhatsinh  Pratapsinh,Ramsinh  Parmar,Piyushkumar  Dilipbhai  Parmar ,Shaikh  Kalim  Abdul  Latif,Shaikh  Majitmiya  Jivamiya,Gora  Shoeb  Mohmadh anif,S.N.  Chavada  (Chavada  Vakil),Chavada  Harishchandr asinh  Prabhatsinh,Patel  Pankajbhai  Ravjibhai,Mansuri  Mukhatyar  Mohammad   (Panter  M.Lala),Vankar  Manilal  Bhanabhai,Total of  Valid  Votes ,No of  rejected  Votes ,Votes for  'NOTA'  Option,Total  Votes,No of  tender  Votes 
1,6,163,286,8,1,2,0,1,3,3,3,8,484,0,9,493,0
2,5,182,90,3,0,0,0,0,0,1,4,2,287,0,10,297,0
3,1,165,94,2,0,0,1,1,0,1,0,2,267,0,6,273,0
4,5,297,111,2,2,1,0,0,0,6,3,12,439,0,6,445,0
5,7,180,154,1,2,0,1,0,1,1,3,8,358,0,2,360,0
6,5,298,24,1,0,0,0,3,1,1,5,7,345,0,18,363,0
7,19,234,237,3,4,2,4,2,9,7,9,10,540,0,19,559,0
8,12,312,118,9,1,3,2,2,9,5,13,10,496,0,29,525,0
9,8,71,252,7,0,1,1,1,5,1,5,8,360,0,16,376,0
10,3,27,121,5,1,0,1,1,1,2,3,5,170,0,18,188,0
11,4,218,212,4,0,0,2,1,2,5,5,8,461,0,24,485,0
12,10,253,139,4,2,0,2,1,3,3,8,9,434,0,21,455,0
13,13,276,82,3,2,1,1,4,0,4,9,10,405,0,10,415,0
14,11,128,177,3,1,0,1,2,5,5,12,9,354,0,6,360,0
15,8,257,97,5,0,1,1,1,2,1,9,6,388,0,16,404,0
16,7,314,59,0,1,0,0,2,2,5,18,9,417,0,28,445,0
17,11,352,133,1,0,1,1,2,3,1,4,6,515,0,32,547,0
18,13,201,232,3,1,0,1,2,9,6,8,11,487,0,42,529,0
19,10,364,125,5,6,3,4,6,4,5,9,8,549,0,18,567,0
20,8,407,118,3,1,0,1,4,0,6,8,12,568,0,27,595,0
21,10,347,90,3,0,0,2,3,5,7,16,14,497,0,50,547,0
22,7,335,64,8,3,1,2,2,2,4,11,11,450,0,28,478,0
23,6,204,93,3,2,2,0,1,3,2,6,4,326,0,10,336,0
24,4,236,102,3,4,3,1,0,2,6,6,7,374,0,8,382,0
25,9,285,143,4,0,1,1,3,5,1,9,11,472,0,20,492,0
26,13,224,118,8,1,0,3,4,8,2,7,11,399,0,22,421,0
27,20,275,66,3,1,1,0,1,1,2,4,9,383,0,27,410,0
28,10,335,201,3,1,0,1,3,3,4,7,10,578,0,15,593,0
29,4,328,76,3,3,0,3,2,1,6,8,11,445,0,30,475,0
30,10,180,326,3,5,1,0,2,3,3,9,3,545,0,13,558,0
31,11,296,159,2,2,1,1,1,1,7,13,5,499,0,17,516,0
32,8,243,209,8,1,2,2,2,5,9,15,3,507,0,10,517,0
33,17,357,99,4,0,3,0,4,2,2,6,5,499,0,17,516,0
34,18,386,155,4,4,1,2,4,5,4,20,9,612,0,20,632,0
35,14,320,156,5,2,2,1,4,6,5,8,10,533,0,18,551,0
