Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
,Dilip Patel,Purshottambhai Alias Kanubhai Mathurbhai Chauhan,Solanki Bharatbhai Madhavsinh,Girishbhai Das (Advocate),Padhiyar Vikramsinh (Vakil),Mahida Mahendrasinh Sahebsinh,Ravjibhai S Parmar,Hitendrasinh Mohansinh Parmar,Patel Jayeshbhai Arvindbhai,Patel Dilipbhai Manilal,Patel Naineshkuma r Umedbhai,Parmar Amarsinh Dahyabhai,Rabari Hiteshkumar Laljibhai,Vahora Firojbhai Walimahamad bhai (Kasorwala),Vaghela Bharat P,,,,,
1,182,2,448,1,1,0,1,0,1,0,0,1,5,14,2,658,0,6,664,0
2,183,2,149,5,1,0,0,0,0,1,1,2,2,5,6,357,0,14,371,0
3,695,4,166,2,1,0,1,0,1,1,0,0,1,3,0,875,0,19,894,0
4,225,3,220,3,2,0,1,0,0,2,2,1,2,3,3,467,0,8,475,0
5,167,3,309,3,0,2,0,2,2,0,0,1,1,10,4,504,0,13,517,0
6,447,3,308,5,0,0,1,2,0,0,1,0,3,6,5,781,0,9,790,0
7,363,1,444,6,0,2,1,2,3,0,2,1,3,6,3,837,0,8,845,0
8,87,1,404,5,1,2,0,7,0,0,0,1,2,11,2,523,0,7,530,0
9,134,6,547,9,0,0,1,6,2,2,1,0,2,14,10,734,0,12,746,0
10,351,4,429,5,2,1,1,1,0,0,0,2,5,10,2,813,0,8,821,0
11,189,2,438,5,1,2,0,2,0,0,1,0,1,3,1,645,0,5,650,0
12,72,5,988,6,0,2,4,1,1,0,1,1,1,8,1,1091,0,9,1100,0
13,356,8,538,2,4,1,1,0,1,2,1,1,5,9,1,930,0,10,940,0
14,740,2,214,1,0,4,0,0,0,4,1,1,4,10,6,987,0,32,1019,0
15,257,2,206,1,0,0,1,0,1,1,0,0,1,2,0,472,0,9,481,0
16,259,0,142,1,0,0,1,0,0,3,0,0,3,0,0,409,0,5,414,0
17,471,0,66,0,0,0,1,0,0,0,0,0,0,0,0,538,0,11,549,0
18,668,3,196,2,0,1,6,0,1,3,0,1,1,1,0,883,0,11,894,0
19,710,1,126,0,0,0,9,0,0,0,0,0,1,0,0,847,0,21,868,0
20,251,0,34,0,0,1,1,0,0,1,0,0,0,0,0,288,0,6,294,0
21,164,2,302,4,1,0,0,0,1,0,0,0,1,6,0,481,0,7,488,0
22,697,2,289,5,3,1,3,0,0,1,0,1,7,5,5,1019,0,19,1038,0
23,304,0,70,1,1,0,3,5,1,3,0,0,1,1,0,390,0,2,392,0
24,415,12,424,6,1,1,1,2,0,1,1,0,1,0,0,865,0,4,869,0
25,602,2,109,0,0,0,10,0,1,0,1,1,0,1,1,728,0,6,734,0
26,512,0,137,1,0,0,7,0,0,1,0,0,0,0,0,658,0,14,672,0
27,386,3,126,0,0,0,8,0,2,2,0,0,1,0,1,529,0,6,535,0
28,404,0,68,0,0,0,10,0,0,3,0,0,1,1,1,488,0,7,495,0
29,240,8,555,5,1,2,2,0,0,0,0,1,1,3,0,818,0,7,825,0
30,164,3,352,3,2,2,4,1,1,0,4,4,5,12,5,562,0,16,578,0
