Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,,,,,,
1,557,63,1,1,0,0,0,28,0,0,0,0,0,1,0,3,0,1,16,671,0,671,0,0
2,377,41,3,3,3,3,3,13,3,5,4,3,3,3,2,3,2,2,15,491,0,491,0,0
3,288,156,4,2,2,0,0,15,0,0,0,0,0,0,2,5,2,0,13,489,0,489,0,0
4,521,72,0,0,0,0,0,21,0,0,1,0,0,0,0,3,1,1,20,640,0,640,0,0
5,562,38,0,0,0,0,2,15,0,0,1,0,0,0,1,2,0,0,15,636,0,636,0,0
6,470,96,0,1,1,0,0,13,1,1,0,3,1,1,0,7,2,0,8,605,0,605,0,0
7,708,67,3,2,0,0,1,26,0,0,0,0,1,1,2,4,4,1,22,842,0,842,0,0
8,633,68,1,0,0,0,0,25,0,0,0,0,0,0,0,1,1,0,14,743,0,743,0,0
9,661,61,0,0,0,1,0,26,1,1,0,0,0,0,3,2,0,1,13,770,0,770,0,0
10,496,186,5,0,1,1,1,13,0,2,0,0,0,5,6,8,5,3,8,740,0,740,0,0
11,293,63,0,2,4,1,0,2,2,0,2,1,2,0,1,19,1,0,4,397,0,397,0,0
12,442,98,1,0,0,1,0,7,3,0,0,1,0,1,3,2,3,0,10,572,0,572,0,0
13,351,77,0,0,0,0,0,8,0,0,0,1,0,0,0,1,3,0,5,446,0,446,0,0
14,397,88,1,0,0,0,1,21,0,0,0,0,0,0,0,1,1,0,6,516,0,516,0,0
15,604,73,2,0,0,0,0,31,1,0,0,0,1,2,0,2,1,1,19,737,0,737,0,0
16,638,42,0,0,0,0,0,29,0,0,0,0,0,0,0,1,1,0,17,728,0,728,0,0
17,630,35,1,0,1,0,0,14,0,0,0,0,0,0,0,2,1,1,21,706,0,706,0,0
18,706,70,2,1,1,0,0,26,0,0,0,0,0,0,0,1,0,2,11,820,0,820,0,0
19,649,49,1,0,0,0,1,19,0,0,0,0,0,0,1,3,0,0,15,738,0,738,0,0
20,447,38,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,502,0,502,0,0
21,321,27,0,0,1,0,0,11,0,0,0,0,0,0,0,3,0,0,15,378,0,378,0,0
22,591,54,0,0,0,0,0,10,0,0,0,0,0,0,0,1,3,0,15,674,0,674,0,0
23,757,63,2,0,0,0,0,22,0,0,0,1,0,0,0,1,2,0,26,874,0,874,0,0
24,765,55,0,0,0,0,0,29,0,0,0,0,0,0,0,2,2,0,16,869,0,869,0,0
25,373,53,2,0,0,0,0,50,0,1,0,0,0,0,0,2,1,0,14,496,0,496,0,0
26,455,51,3,0,0,0,0,47,0,0,0,0,0,0,0,1,0,0,5,562,0,562,0,0
27,859,51,0,0,0,0,0,22,0,2,0,1,0,0,0,2,1,0,12,950,0,950,0,0
28,571,89,0,0,0,1,0,19,0,1,0,0,1,0,0,1,0,0,13,696,0,696,0,0
29,549,49,1,0,0,0,0,31,0,0,0,0,0,1,0,6,3,0,9,649,0,649,0,0
30,487,60,0,0,0,1,0,16,0,0,1,0,1,1,0,2,0,0,8,576,0,576,0,0
31,389,147,3,0,0,0,0,16,0,0,2,0,2,0,1,8,8,3,5,582,0,582,0,0
32,584,50,2,0,0,0,0,28,0,0,0,0,0,0,0,1,0,0,15,680,0,680,0,0
33,664,47,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,12,742,0,742,0,0
