Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
,KACHHADIYA NARANBHAI BHIKHABHAI,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR),DAFADA RAMJIBHAI NANJIBHAI,CHAVADA MANUBHAI PARSHOTTMBHAI,RATHOD JIVANBHAI R.,SANGANI VIJAYBHAI DINESHBHAI,SUKHADIYA NATHALAL VALLABHBHAI,USMANBHAI P. MAGHARA,JADAV MUSTAKBHAI,DHIMECHA NARESHBHAI NANJIBHAI,NATHABHAI DAYABHAI TOTA,MEHULBHAI HIMATBHAI SUKHADIA,RAMANI SURESHBHAI DHIRUBHAI,VALODARA VRAJLAL JIVABHAI,,,,,
1,298,54,10,71,2,0,7,1,1,5,13,12,10,4,488,0,17,505,0
2,179,51,2,106,2,3,4,3,2,2,9,3,3,4,373,0,10,383,0
3,111,8,0,0,0,0,0,0,0,0,0,2,2,0,123,0,3,126,0
4,303,214,2,12,1,1,1,3,1,0,1,1,1,9,550,0,9,559,0
5,183,67,4,2,1,1,0,1,0,1,1,1,7,0,269,0,3,272,0
6,226,32,1,1,1,1,0,0,0,0,1,3,4,4,274,0,8,282,0
7,163,186,4,19,2,1,1,1,0,0,7,3,7,4,398,0,4,402,0
8,258,83,4,21,1,0,2,2,1,0,3,0,0,1,376,0,9,385,0
9,121,72,12,63,1,3,5,1,1,2,3,2,6,4,296,0,7,303,0
10,199,140,4,4,0,1,0,0,1,0,1,2,1,7,360,0,4,364,0
11,353,66,2,4,4,2,1,0,1,1,1,1,4,4,444,0,4,448,0
12,205,119,4,0,0,0,0,0,2,2,2,0,4,5,343,0,4,347,0
13,149,201,4,5,4,3,6,0,1,0,5,1,5,1,385,0,9,394,0
14,247,211,5,8,0,5,6,1,2,2,0,0,1,5,493,0,4,497,0
15,179,302,4,3,2,3,3,1,0,0,1,0,4,5,507,0,17,524,0
16,348,168,8,5,0,2,1,0,0,1,4,4,4,5,550,0,10,560,0
17,209,180,6,8,2,1,2,0,0,3,1,3,4,13,432,0,12,444,0
18,366,146,8,26,1,1,3,2,2,2,1,1,6,4,569,0,14,583,0
19,347,272,10,12,3,1,4,2,0,5,4,4,10,12,686,0,19,705,0
20,217,320,7,8,1,0,3,2,1,5,3,0,7,8,582,0,12,594,0
21,268,231,8,2,1,1,3,0,0,1,0,0,3,4,522,0,3,525,0
22,157,119,0,0,1,3,2,0,0,0,8,0,2,2,294,0,6,300,0
23,208,31,2,156,1,2,8,0,0,1,15,4,4,7,439,0,16,455,0
24,182,105,3,49,3,0,3,2,1,3,6,3,5,1,366,0,3,369,0
25,225,149,8,123,3,5,5,3,2,2,13,1,6,7,552,0,9,561,0
26,98,184,1,1,1,1,2,0,0,0,0,0,1,1,290,0,2,292,0
27,113,105,9,1,0,1,3,1,0,1,1,0,2,0,237,0,6,243,0
28,191,123,8,2,0,1,1,1,1,1,2,7,1,3,342,0,8,350,0
29,258,128,4,34,1,0,0,2,0,0,0,2,0,4,433,0,6,439,0
30,182,148,6,9,0,0,0,0,0,1,0,2,2,6,356,0,4,360,0
31,190,102,2,0,0,0,2,0,0,1,0,0,2,1,300,0,1,301,0
32,298,106,6,65,1,1,2,3,2,0,18,5,6,8,521,0,17,538,0
33,262,267,10,17,2,0,2,0,0,3,7,3,7,9,589,0,15,604,0
34,441,112,15,38,2,4,4,5,1,7,19,3,9,8,668,0,15,683,0
35,255,267,4,4,1,1,3,2,2,1,1,6,4,11,562,0,20,582,0
36,357,83,9,19,3,0,3,3,2,1,4,0,6,5,495,0,10,505,0
37,135,40,2,1,6,1,0,0,0,0,0,2,1,1,189,0,0,189,0
38,118,104,9,5,1,2,1,1,0,0,5,0,4,4,254,0,7,261,0
39,311,230,7,6,1,0,14,3,0,2,5,3,12,4,598,0,23,621,0
40,284,315,9,1,2,2,0,3,1,2,1,3,5,14,642,0,18,660,0
41,246,163,20,5,3,1,2,4,2,1,25,2,10,7,491,0,18,509,0
42,257,27,4,1,1,1,1,1,0,2,3,3,6,9,316,0,16,332,0
43,125,28,3,0,0,0,0,0,0,2,1,0,0,2,161,0,2,163,0
44,182,114,5,2,4,2,2,5,2,2,1,0,4,7,332,0,8,340,0
