polling station,,,,,,,,,,,,,,,
,Kishanbhai Vestabhai Patel,Thakriya Ratilal Vajirbhai,Dr.K.C.Patel,Gaurangbhai Rameshbhai Patel,Talaviya Babubhai Chhaganbhai,Patel Govindbhai Ranchhodbhai,Patel Shaileshbhai Gandabhai,Dr.Pankajku mar Parabhubhai Patel,Vadiya Laxmanbhai Chhaganbhai,Patel Budhabhai Ranchhodbhai,None of The Above (NOTA),valid votes,rejected votes,total,tendered votes
183,182,7,285,12,2,1,1,1,12,11,11,525,0,525,0
184,638,17,249,21,5,4,2,2,23,25,72,1058,0,1058,0
185,354,27,418,22,5,7,7,8,20,29,52,949,0,949,0
186,439,31,449,15,2,2,0,5,5,7,11,966,0,966,0
187,158,11,316,10,3,3,3,10,16,13,40,583,0,583,0
188,353,25,300,19,7,1,1,4,7,12,28,757,0,757,0
189,295,31,518,33,3,8,3,9,5,17,32,954,0,954,0
190,206,19,536,21,5,4,4,6,12,33,42,888,0,888,0
191,154,14,393,18,5,4,4,8,11,18,19,648,0,648,0
192,190,6,265,10,3,1,0,2,7,15,14,513,0,513,0
193,174,19,362,19,1,4,3,4,13,25,27,651,0,651,0
194,55,12,211,15,4,7,2,2,5,26,40,379,0,379,0
195,51,5,241,7,0,2,2,0,5,6,3,322,0,322,0
196,146,5,400,21,2,1,4,2,5,13,23,622,0,622,0
197,307,14,350,27,5,2,7,5,16,23,28,784,0,784,0
198,47,7,283,12,3,0,2,3,13,20,23,413,0,413,0
199,326,41,271,11,11,9,5,10,12,19,36,751,0,751,0
200,227,31,227,28,10,10,8,20,14,33,71,679,0,679,0
201,41,4,159,12,6,8,3,0,17,20,25,295,0,295,0
202,73,6,313,15,9,7,7,9,19,36,42,536,0,536,0
203,106,13,179,8,4,1,0,2,5,14,7,339,0,339,0
204,160,15,173,7,3,2,2,3,7,10,23,405,0,405,0
205,28,9,237,17,1,0,1,1,6,14,10,324,0,324,0
206,259,15,167,19,1,2,2,1,5,12,24,507,0,507,0
207,214,11,172,6,4,2,3,2,2,19,20,455,0,455,0
208,407,25,237,12,4,4,4,3,13,12,19,740,0,740,0
209,323,12,252,22,4,4,3,3,6,17,11,657,0,657,0
210,281,19,350,15,3,3,1,2,4,24,23,725,0,725,0
211,65,3,240,14,3,1,1,2,2,14,14,359,0,359,0
212,99,11,284,9,4,1,1,2,2,7,5,425,0,425,0
213,34,10,597,14,6,0,1,5,5,10,8,690,0,690,0
214,12,5,186,19,0,0,0,1,4,9,8,244,0,244,0
215,355,14,385,10,2,1,4,3,8,17,34,833,0,833,0
216,214,16,248,11,6,5,3,2,6,11,17,539,0,539,0
217,263,10,221,4,1,3,0,3,8,12,18,543,0,543,0
218,101,6,533,12,4,1,0,4,4,7,4,676,0,676,0
219,218,20,386,11,8,3,8,9,11,16,33,723,0,723,0
220,78,7,217,14,1,0,1,1,4,12,21,356,0,356,0
221,119,12,307,19,5,4,7,6,9,20,13,521,0,521,0
222,168,8,303,23,4,0,4,9,11,24,35,589,0,589,0
223,155,9,259,10,7,2,1,4,5,17,21,490,0,490,0
224,294,18,216,16,2,3,2,2,11,16,26,606,0,606,0
225,271,7,239,16,2,5,3,5,8,14,45,615,0,615,0
226,202,22,355,11,2,0,2,4,5,7,27,637,0,637,0
227,229,23,439,15,3,1,1,5,8,6,14,744,0,744,0
228,75,9,113,5,2,1,5,2,1,10,9,232,0,232,0
229,248,19,241,13,3,0,2,6,11,16,15,574,0,574,0
230,432,25,381,34,1,5,6,6,9,17,24,940,0,940,0
231,332,20,309,20,7,3,0,11,5,24,17,748,0,748,0
232,236,30,395,24,5,8,2,16,9,29,36,790,0,790,0
233,129,10,208,9,4,2,2,4,10,9,18,405,0,405,0
234,53,16,331,22,6,1,6,13,21,14,33,516,0,516,0
235,254,45,384,34,6,5,3,8,23,24,25,811,0,811,0
236,334,25,295,23,11,4,0,10,25,24,65,816,0,816,0
237,539,35,337,42,10,5,7,16,8,33,35,1067,0,1067,0
238,387,36,374,41,10,13,6,11,27,33,85,1023,0,1023,0
239,229,16,173,17,8,4,1,7,26,22,36,539,0,539,0
240,451,14,269,28,7,3,4,8,8,21,22,835,0,835,0
241,184,10,154,8,4,4,1,6,31,13,15,430,0,430,0
242,369,33,214,26,6,3,0,9,17,18,37,732,0,732,0
243,205,27,112,6,1,3,0,1,4,6,4,369,0,369,0
244,334,14,128,12,4,2,8,4,4,8,25,543,0,543,0
245,77,3,336,8,1,2,0,5,8,5,8,453,0,453,0
246,95,8,243,32,5,3,1,4,5,9,12,417,0,417,0
247,175,23,335,13,4,2,1,3,7,21,13,597,0,597,0
248,239,33,383,25,12,4,8,13,21,32,51,821,0,821,0
249,78,15,179,30,7,3,2,6,12,28,21,381,0,381,0
250,492,34,310,23,5,4,5,11,14,35,73,1006,0,1006,0
251,85,8,166,4,1,1,1,0,5,6,2,279,0,279,0
252,155,17,183,10,2,2,3,7,7,27,22,435,0,435,0
