polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid Votes,No. of  rejected  votes,NOTA,Total,No.of      tendered  votes
,Katara  Singjibhai  Jaljibhai,Jasvantsinh  Sumanbhai  Bhabhor,Taviyad  Dr.Prabhaben  Kishorsinh,Bamaniya  Jyotishkumar  Bapubhai,Bhabhor  Mavjibhai  Titubhai,K. C.  Muniya  Advocate,Meda  Jagdishbha i Manilal,Ramsingbhai  Nanjibhai  Kalara,Kumari  Induben  Nathubhai  Sangada,Bhura  Navalbhai  Manabhai,,,,,
,1954,39702,28851,1156,372,681,383,361,663,1055,75178,0,2888,78066,0
,1954,39702,28851,1156,372,681,383,361,663,1055,75178,0,2888,78066,0
155,11,204,221,9,4,2,1,0,3,4,459,Nil,7,466,0
156,11,183,112,14,2,0,0,0,3,3,328,Nil,3,331,0
157,18,633,88,7,2,0,2,0,2,2,754,Nil,6,760,0
158,2,460,51,1,2,1,0,0,0,2,519,Nil,0,519,0
159,5,373,114,6,0,1,1,0,2,0,502,Nil,10,512,0
160,16,601,166,8,3,1,0,6,8,12,821,Nil,25,846,0
161,19,317,235,10,4,2,5,4,8,6,610,Nil,20,630,0
162,11,169,66,5,2,0,0,2,2,2,259,Nil,5,264,0
163,14,320,258,11,2,12,3,2,5,4,631,Nil,14,645,0
164,12,279,313,18,2,12,2,2,5,2,647,Nil,17,664,0
165,6,464,108,3,0,6,1,0,0,4,592,Nil,6,598,0
166,4,453,39,3,2,1,1,0,0,1,504,Nil,0,504,0
167,17,191,215,9,5,2,4,0,4,5,452,Nil,12,464,0
168,5,215,138,4,1,1,2,1,1,1,369,Nil,3,372,0
,2105,44564,30975,1264,403,722,405,378,706,1103,82625,0,3016,85641,0
,2105,44564,30975,1264,403,722,405,378,706,1103,82625,0,3016,85641,0
169,9,396,160,2,5,2,3,3,6,2,588,Nil,13,601,0
170,17,164,394,13,2,3,2,2,3,8,608,Nil,24,632,0
171,11,210,329,10,1,4,3,2,4,5,579,Nil,21,600,0
172,38,291,177,7,0,1,2,4,2,4,526,Nil,6,532,0
173,17,293,172,9,2,5,4,1,5,5,513,Nil,17,530,0
174,19,192,281,10,3,8,3,2,2,9,529,Nil,49,578,0
