polling station,No. of Valid Votes cast in favor of,,,,,,,,,,,,,,,Total of valied votes  tendered,No. of rejected votes (Test  votes),Votes for NOTA option,Total votes
,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),Dinsha Patel,Pandav Bhailalbhai Kalubhai,Abdul Razakkhan Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj Govindbhai,Khristi Adward Khushalbhai,Chauhan Devusing Motishing,Pathan Amanullakha Sitabkha,Parikh Viral Hasmukhbhai,Malek Yakubmiya Nabhimiya,Malek Sadik Hushen Mahammd Hushen,Malek Sabirhusen Ismaelbhai,Ratansinh Udesinh Chauhan,Roshan Priyavadan  Shah,,,,
72,208,120,2,1,1,0,0,1,1,0,1,0,0,0,5,340,0,12,352
73,137,91,0,0,0,0,0,1,1,0,0,0,0,1,2,233,0,4,237
74,405,50,1,0,1,0,0,1,0,0,0,0,0,2,1,461,0,20,481
75,327,119,3,0,0,0,0,1,0,0,1,2,2,2,1,458,0,15,473
76,303,108,2,0,0,1,0,1,0,0,0,0,0,1,5,421,0,14,435
77,304,160,0,0,1,1,1,1,3,0,0,1,4,3,8,487,0,11,498
78,254,121,2,0,1,0,0,0,0,0,0,0,1,1,2,382,0,5,387
79,310,99,2,1,8,0,0,2,0,0,1,0,3,0,4,430,0,11,441
80,333,82,1,1,0,0,0,0,0,2,0,0,0,1,4,424,0,6,430
81,305,206,0,1,1,0,1,0,0,0,0,1,1,2,6,524,0,7,531
82,157,161,1,1,0,0,0,0,0,0,0,0,2,1,1,324,0,8,332
83,119,477,2,2,1,1,0,0,0,2,0,0,3,3,15,625,0,16,641
84,69,247,1,0,0,0,0,1,0,1,0,0,0,0,10,329,0,1,330
85,302,161,2,0,0,0,1,1,0,0,0,0,2,2,3,474,0,7,481
86,131,166,3,0,0,0,0,0,0,0,0,0,1,0,3,304,0,3,307
87,304,244,4,0,2,0,1,3,0,1,0,4,3,7,3,576,0,5,581
88,174,182,5,0,0,0,0,1,1,0,0,0,4,3,8,378,0,6,384
89,221,154,2,0,0,1,1,0,0,0,0,0,3,0,5,387,0,4,391
90,207,305,2,1,0,1,0,1,1,1,0,2,5,4,10,540,0,13,553
91,266,185,3,0,0,0,1,2,0,0,0,0,1,2,3,463,0,6,469
92,142,124,2,0,2,0,0,0,0,0,0,1,1,0,7,279,0,0,279
93,189,127,2,0,0,0,0,1,1,1,0,1,2,2,3,329,0,27,356
94,224,202,3,0,2,1,0,1,0,0,0,1,0,0,2,436,0,9,445
95,633,86,1,0,0,1,0,4,0,0,0,0,1,0,1,727,0,4,731
96,121,254,3,0,1,0,1,0,0,0,0,2,2,1,6,391,0,9,400
