No. of Polling Station,,,,,,,,,
,NARANBHAI JEMALABHAI RATHAVA,RAMSINH RATHAVA,PRO. ARJUNBHAI VERSINGBHA I RATHAVA,VASAVA PRAFULBHAI DEVJIBHAI,Total of Valid Votes,No.of Rejecte d Votes,NOTA,Total,tender ed votes
196,193,266,5,3,467,0,4,471,0
197,77,269,3,4,353,0,2,355,0
198,240,393,13,0,646,0,5,651,0
199,417,14,0,0,431,0,3,434,0
200,485,115,0,2,602,0,4,606,0
201,214,483,14,1,712,0,15,727,0
202,214,254,2,4,474,0,7,481,0
203,95,177,3,2,277,0,3,280,0
204,181,355,10,3,549,0,3,552,0
205,80,170,5,2,257,0,6,263,0
206,123,302,9,2,436,0,5,441,0
207,230,219,5,6,460,0,5,465,0
208,253,142,3,0,398,0,5,403,0
209,90,287,4,4,385,0,5,390,0
210,129,124,1,0,254,0,5,259,0
211,186,291,0,0,477,0,4,481,0
212,211,588,10,8,817,0,8,825,0
213,142,396,8,3,549,0,4,553,0
214,213,280,1,1,495,0,4,499,0
215,231,481,7,3,722,0,20,742,0
216,358,137,2,2,499,0,3,502,0
217,414,90,5,1,510,0,14,524,0
218,201,419,8,8,636,0,15,651,0
