polling station,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Gamit Movaliyabhai Nopariyabhai.,Chaudhari Tusharbhai Amarsinhbhai.,Chaudhari Revaben Shankarbhai.,Vasava Parbhubhai Nagarbhai.,Chaudhari Chandubhai Machalabhai.,Chaudhari Reniyabhai Shankarbhai.,Jagatsinh Laljibhai Vasava,Bhailalbhai Chhanabhai Rathod,Gamit Surendrabhai Simabhai.,Rathod Rameshbhai Bhikhabhai.,,,,,
260,1,43,4,675,6,1,2,2,1,0,735,0,8,743,0
261,0,125,3,627,9,0,1,1,1,0,767,0,3,770,0
262,0,39,3,711,7,0,0,0,1,0,761,0,6,767,0
263,1,53,2,688,9,1,0,1,0,2,757,0,7,764,0
264,2,73,4,720,22,1,1,2,1,0,826,0,0,826,0
265,1,58,4,668,12,0,2,1,0,0,746,0,13,759,0
266,1,52,5,686,3,0,0,1,1,0,749,0,2,751,0
267,0,25,2,459,9,0,1,0,0,0,496,0,3,499,0
268,0,38,1,546,2,0,0,1,0,0,588,0,2,590,0
269,3,86,5,513,18,0,0,0,3,0,628,0,5,633,0
270,6,97,6,665,11,2,0,0,0,1,788,0,9,797,0
271,1,58,0,327,3,0,1,0,1,1,392,0,4,396,0
272,0,35,1,544,9,0,2,1,1,2,595,0,3,598,0
273,1,62,2,430,11,1,1,0,2,1,511,0,2,513,0
274,0,100,3,646,11,1,0,0,0,1,762,0,6,768,0
275,2,88,2,1000,7,0,0,1,2,0,1102,0,8,1110,0
276,4,138,3,886,18,0,0,1,2,0,1052,0,11,1063,0
277,6,84,5,394,4,1,1,2,3,1,501,0,6,507,0
278,2,88,5,260,7,1,1,0,3,3,370,0,10,380,0
279,1,98,6,645,9,4,1,0,1,2,767,0,3,770,0
280,1,52,2,373,5,0,0,0,1,0,434,0,4,438,0
281,0,32,1,414,8,0,0,0,0,0,455,0,0,455,0
282,3,115,4,707,6,0,1,0,1,4,841,0,4,845,0
283,1,106,3,391,8,0,2,0,0,0,511,0,4,515,0
284,0,93,1,539,2,2,0,0,1,0,638,0,2,640,0
285,0,37,1,486,3,0,0,2,0,0,529,0,5,534,0
286,1,40,3,567,12,1,0,2,2,0,628,0,5,633,0
287,1,94,0,334,2,1,0,1,0,1,434,0,0,434,0
288,3,111,2,661,7,0,0,1,0,0,785,0,4,789,0
289,1,102,1,568,9,1,0,0,0,1,683,0,4,687,0
290,1,72,2,517,10,0,1,0,0,0,603,0,5,608,0
291,5,62,1,654,9,0,1,0,0,3,735,0,5,740,0
292,3,286,4,374,0,3,0,2,1,0,673,0,14,687,0
293,0,208,4,497,4,1,0,0,0,0,714,0,2,716,0
294,2,61,3,775,9,1,1,0,3,1,856,0,9,865,0
295,2,52,5,798,9,1,1,1,3,1,873,0,7,880,0
296,4,71,5,750,17,3,0,5,0,0,855,0,1,856,0
297,3,53,0,685,11,3,0,0,0,1,756,0,7,763,0
298,0,72,1,564,14,0,0,1,0,0,652,0,2,654,0
299,2,30,0,438,7,0,0,1,2,0,480,0,1,481,0
300,0,72,3,780,7,0,0,2,3,1,868,0,3,871,0
301,1,76,0,541,18,2,0,0,0,0,638,0,3,641,0
302,4,53,4,678,14,0,1,0,0,0,754,0,6,760,0
303,1,33,2,524,6,1,0,0,0,0,567,0,1,568,0
304,3,41,1,509,4,0,1,1,0,1,561,0,6,567,0
305,2,78,3,756,10,0,2,0,0,1,852,0,2,854,0
306,0,46,2,482,6,1,3,1,0,3,544,0,3,547,0
306,0,27,1,424,6,2,1,0,0,1,462,0,5,467,0
307,6,95,3,717,4,1,1,1,1,1,830,0,12,842,0
308,4,53,2,815,16,0,0,0,0,0,890,0,8,898,0
309,1,44,4,775,10,0,0,0,0,1,835,0,3,838,0
310,0,22,1,487,7,0,0,0,0,0,517,0,4,521,0
311,1,51,3,631,2,0,0,2,0,0,690,0,7,697,0
312,0,32,3,558,4,0,0,0,0,0,597,0,1,598,0
313,1,61,2,574,7,1,0,1,0,2,649,0,3,652,0
314,2,56,6,641,9,0,0,0,0,2,716,0,4,720,0
315,1,40,4,538,13,0,1,0,2,2,601,0,2,603,0
316,0,22,3,587,6,0,0,0,0,0,618,0,5,623,0
317,2,44,1,615,12,2,0,0,0,0,676,0,3,679,0
318,2,28,2,501,16,1,0,0,0,0,550,0,1,551,0
319,0,36,2,565,21,0,0,0,0,0,624,0,3,627,0
320,1,23,4,495,12,2,1,0,1,0,539,0,4,543,0
321,2,33,1,464,12,0,0,0,1,1,514,0,5,519,0
322,1,34,1,653,13,0,0,0,1,1,704,0,2,706,0
323,1,30,3,614,4,1,0,1,0,0,654,0,4,658,0
324,1,76,1,563,10,1,0,0,0,0,652,0,3,655,0
325,0,32,3,372,8,0,0,0,1,1,417,0,1,418,0
326,2,48,1,397,10,0,1,0,1,0,460,0,3,463,0
327,3,45,2,423,6,1,0,1,0,1,482,0,3,485,0
328,0,45,0,745,8,0,0,0,0,1,799,0,1,800,0
329,1,61,0,643,2,0,0,0,0,0,707,0,1,708,0
330,0,88,3,576,10,1,0,1,1,0,680,0,6,686,0
331,0,40,1,474,9,0,0,0,0,0,524,0,4,528,0
332,1,70,2,356,3,0,0,0,1,0,433,0,1,434,0
333,0,107,0,597,7,0,1,0,2,4,718,0,2,720,0
334,6,128,3,309,11,0,0,0,0,2,459,0,4,463,0
335,0,31,0,481,4,1,0,0,0,1,518,0,0,518,0
336,1,143,6,676,7,0,0,0,0,0,833,0,2,835,0
337,3,232,2,688,8,2,1,0,1,1,938,0,10,948,0
338,0,61,2,1010,4,0,0,1,0,0,1078,0,2,1080,0
339,2,41,1,584,10,0,0,0,1,1,640,0,3,643,0
340,0,22,1,775,6,0,0,0,0,0,804,0,4,808,0
341,0,116,1,394,3,0,0,0,1,0,515,0,3,518,0
341,1,18,1,472,6,0,0,0,0,0,498,0,3,501,0
342,3,36,0,1057,18,0,1,0,1,0,1116,0,3,1119,0
343,1,94,1,473,8,1,0,0,0,2,580,0,3,583,0
344,1,54,3,676,12,2,0,1,0,4,753,0,4,757,0
345,4,393,10,257,6,1,2,1,2,2,678,0,21,699,0
346,3,129,5,596,2,0,0,2,1,2,740,0,13,753,0
347,7,223,9,280,4,0,5,1,1,9,539,0,7,546,0
348,3,52,5,457,4,1,1,0,0,0,523,0,1,524,0
,917,44364,1231,179275,2562,217,298,447,371,769,230451,0,2012,232463,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,917,44364,1231,179275,2562,217,298,447,371,769,230451,0,2012,232463,0
