polling station,,,,,,,,,,,,,,,,valid,No. of Rejected Votes,Total,Numbe r of tendere d votes
,Parmar Maganbhai Amarabhai,Rathod Bhavsinhbhai Dahyabhai,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus Abdulmajid,Vaghda Jivabhai Devabhai,None Of The Above,,,,
205,3,102,94,3,0,0,0,0,1,0,1,1,2,1,2,208,0,210,0
206,8,113,63,3,0,0,1,1,0,0,0,2,3,2,6,196,0,202,0
207,13,114,137,4,0,0,0,0,1,3,2,1,3,6,10,284,0,294,0
208,11,277,153,1,0,0,0,5,3,2,1,4,0,2,9,459,0,468,0
209,10,275,158,10,1,0,0,1,2,3,4,4,5,15,9,488,0,497,0
210,3,63,208,6,1,1,2,0,2,2,2,1,4,1,8,296,0,304,0
211,10,264,281,4,6,2,0,0,1,1,2,3,2,4,7,580,0,587,0
212,8,211,222,3,7,3,0,2,1,3,2,1,3,16,7,482,0,489,0
213,6,100,184,7,3,1,3,3,2,0,2,1,4,8,3,324,0,327,0
214,3,152,61,4,0,0,0,0,1,0,0,0,2,2,0,225,0,225,0
215,1,87,325,1,0,1,1,0,7,0,0,0,2,0,2,425,0,427,0
216,6,407,169,1,2,0,1,1,2,0,0,1,2,5,5,597,0,602,0
217,12,263,312,4,3,2,0,2,36,0,3,2,8,7,6,654,0,660,0
218,11,273,376,6,0,4,3,3,8,1,1,6,12,7,11,711,0,722,0
219,11,313,448,11,2,1,1,1,5,4,2,5,10,11,10,825,0,835,0
220,3,67,178,2,0,0,0,0,1,3,3,4,1,4,11,266,0,277,0
221,1,12,237,9,0,0,0,1,3,0,0,1,0,3,1,267,0,268,0
222,5,102,344,4,1,0,0,0,0,0,0,1,3,2,4,462,0,466,0
223,10,124,488,5,3,1,1,1,1,1,1,0,4,1,3,641,0,644,0
224,17,239,483,16,3,1,1,0,2,2,3,2,3,6,9,778,0,787,0
225,4,92,439,3,3,0,0,0,0,0,1,1,9,4,13,556,0,569,0
226,7,40,451,3,1,0,0,0,2,1,1,2,2,2,6,512,0,518,0
227,15,177,370,2,0,2,0,0,3,0,0,0,1,6,4,576,0,580,0
228,9,287,316,2,2,0,0,3,2,0,1,0,0,4,6,626,0,632,0
229,2,144,236,2,0,1,0,2,0,0,0,2,3,5,3,397,0,400,0
230,3,96,255,0,0,0,0,1,4,1,0,0,2,1,3,363,0,366,0
231,14,448,171,6,0,0,1,1,1,2,0,2,2,6,5,654,0,659,0
232,10,90,389,7,2,0,0,1,0,1,1,2,3,2,5,508,0,513,0
233,5,217,360,3,0,0,1,1,0,1,0,0,4,2,2,594,0,596,0
234,7,155,430,2,1,1,0,1,4,3,3,2,3,4,13,616,0,629,0
235,6,266,356,5,0,0,0,1,3,4,3,4,11,18,11,677,0,688,0
236,6,284,340,9,1,2,2,2,3,1,1,1,5,11,10,668,0,678,0
237,11,87,325,6,0,1,3,0,3,0,4,2,3,8,6,453,0,459,0
238,3,61,442,1,0,0,1,0,0,0,0,0,0,2,1,510,0,511,0
239,2,89,369,3,0,0,0,1,1,0,0,1,2,3,7,471,0,478,0
240,9,216,362,5,2,1,2,1,1,0,0,1,7,3,8,610,0,618,0
241,4,80,231,2,1,0,0,0,0,0,1,3,1,0,3,323,0,326,0
242,6,122,302,1,0,0,0,0,1,2,3,3,3,3,1,446,0,447,0
243,7,329,134,5,4,0,0,1,0,1,0,3,7,8,11,499,0,510,0
244,3,225,302,7,3,2,4,6,3,8,2,3,3,8,9,579,0,588,0
245,5,136,327,7,0,0,1,0,2,2,1,2,8,5,9,496,0,505,0
246,5,125,259,3,0,0,1,2,2,1,1,1,4,3,14,407,0,421,0
247,16,266,371,6,3,0,1,1,1,1,3,6,2,7,11,684,0,695,0
248,6,257,121,3,0,2,1,2,1,0,0,0,2,1,6,396,0,402,0
249,7,47,157,4,1,0,0,0,1,0,2,0,1,4,1,224,0,225,0
250,18,191,399,17,4,1,1,1,2,1,4,1,1,6,13,647,0,660,0
251,8,106,173,4,3,1,2,3,3,2,2,0,3,5,5,315,0,320,0
252,9,155,480,10,1,1,1,1,2,0,6,2,5,3,15,676,0,691,0
253,8,257,239,2,1,0,1,1,1,1,1,0,4,16,19,532,0,551,0
254,29,198,378,6,0,2,4,0,2,0,1,1,2,3,10,626,0,636,0
255,17,276,177,6,0,1,0,0,1,0,0,0,1,1,2,480,0,482,0
256,5,178,175,2,1,1,16,0,0,0,2,4,1,5,6,390,0,396,0
257,10,281,169,2,0,1,0,1,1,0,1,1,0,2,4,469,0,473,0
258,6,198,318,9,2,2,2,0,0,2,2,7,3,5,25,556,0,581,0
259,3,132,360,5,1,1,0,0,1,0,1,1,3,3,2,511,0,513,0
260,5,73,319,2,1,1,0,0,0,0,0,1,2,4,5,408,0,413,0
261,1,112,256,4,2,1,0,0,0,0,0,0,1,0,4,377,0,381,0
262,7,221,494,2,0,0,0,1,1,3,1,0,5,11,13,746,0,759,0
263,2,176,308,6,0,0,1,1,3,2,1,1,3,1,5,505,0,510,0
264,10,161,133,1,3,0,0,0,1,0,0,2,4,2,2,317,0,319,0
265,12,304,249,5,1,0,2,3,1,2,1,0,4,16,14,600,0,614,0
266,3,178,120,4,0,0,0,0,1,1,0,2,0,1,0,310,0,310,0
267,3,151,199,2,0,1,0,4,1,1,0,0,3,3,3,368,0,371,0
268,5,189,204,0,0,0,0,0,0,0,0,0,2,4,1,404,0,405,0
269,11,284,350,7,0,0,1,1,4,2,0,3,4,9,21,676,0,697,0
270,22,310,287,6,0,1,3,2,1,3,2,5,11,13,19,666,0,685,0
