polling station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,,Total,Tendered Votes
,Patel Jayeshbhai Ambalalbhai (Jayesh kaka) - INC,Vasava Mansukhbhai Dhanjibhai - BJP,Sukhramsingh - BSP,Anilkumar Chhitubhai Bhagat - JD(U),Jayendrasinh Rana - AAP,Sayyed Asif Zafar Ali ADP,Saiyad Mohsin Bapu Nanumiyawala - BMP,Anandkumar Sarvarsinh Vasava - IND,Nitin Ishwarlal Vakil (Advocate ) - IND,Bhura Shabbirbhai Valibhai - IND,Rafikbhai Suleman Sapa - IND,Virsangbhai Parbatbhai Gohil - IND,Shaileshkumar Maganbhai Parmar - IND,Sindhi Mayyudeen Umarbhai - IND,,,None Of the Above,,
203,107,420,6,16,1,0,0,20,6,8,4,7,11,11,617,0,25,642,0
204,224,236,10,13,2,1,2,6,4,1,0,3,4,6,512,0,8,520,0
205,195,530,11,29,5,6,1,16,12,12,16,13,15,23,884,0,40,924,0
206,216,404,9,13,3,1,7,9,5,6,8,9,10,11,711,0,15,726,0
207,104,323,10,16,5,0,3,7,6,6,4,2,8,7,501,0,24,525,0
208,326,389,6,80,16,5,3,7,9,13,12,8,21,20,915,0,48,963,0
209,145,228,8,89,6,1,2,7,10,4,1,5,3,12,521,0,27,548,0
210,142,136,5,6,1,1,0,0,2,2,6,0,4,10,315,0,24,339,0
211,383,554,21,48,5,1,6,10,8,12,18,13,14,25,1118,0,36,1154,0
212,243,322,4,32,0,1,4,4,6,4,4,1,0,6,631,0,15,646,0
213,164,83,3,35,4,2,0,1,1,3,2,6,7,4,315,0,14,329,0
214,132,450,5,13,0,1,0,1,4,0,0,1,3,4,614,0,15,629,0
215,163,453,19,11,2,0,1,1,1,2,3,0,5,7,668,0,16,684,0
216,343,474,12,53,2,0,0,3,6,9,8,8,18,17,953,0,27,980,0
217,315,354,5,94,7,1,1,0,4,5,5,8,4,11,814,0,32,846,0
218,257,60,0,12,2,2,1,5,1,3,2,1,1,8,355,0,24,379,0
219,155,86,1,24,8,0,1,1,5,2,1,2,3,1,290,0,2,292,0
220,348,364,28,22,0,3,0,6,5,3,4,5,7,7,802,0,23,825,0
221,70,172,4,6,1,0,0,0,1,3,2,2,3,1,265,0,3,268,0
222,546,270,7,41,8,1,3,13,6,5,4,5,9,16,934,0,29,963,0
223,183,282,4,120,6,0,2,3,7,2,6,8,6,15,644,0,26,670,0
224,173,108,3,18,2,2,2,1,1,1,1,1,2,5,320,0,26,346,0
225,321,171,4,30,13,1,1,6,10,7,3,3,7,17,594,0,33,627,0
226,206,360,7,22,3,1,2,3,3,4,2,4,3,9,629,0,15,644,0
227,152,210,8,170,5,2,1,2,5,2,2,3,1,2,565,0,6,571,0
228,48,265,3,1,1,0,0,0,2,1,1,0,1,2,325,0,6,331,0
229,217,328,6,11,7,0,3,5,4,5,0,4,5,5,600,0,12,612,0
230,58,468,7,2,12,1,2,0,1,0,2,2,3,2,560,0,4,564,0
231,86,184,4,2,2,1,1,0,3,4,0,3,6,8,304,0,3,307,0
232,332,210,6,16,12,1,3,3,3,4,2,3,3,5,603,0,13,616,0
233,146,335,8,9,4,2,3,5,6,9,6,6,4,3,546,0,6,552,0
234,251,182,9,21,33,0,1,0,6,9,2,3,4,2,523,0,13,536,0
235,223,225,2,4,1,1,0,1,3,3,3,0,3,1,470,0,13,483,0
236,66,168,1,12,0,0,0,1,2,4,2,0,1,2,259,0,3,262,0
237,378,294,7,24,0,1,2,2,5,4,10,5,9,11,752,0,12,764,0
238,182,206,1,54,6,1,1,1,1,2,2,6,7,7,477,0,17,494,0
239,286,261,3,18,3,1,2,0,3,1,5,3,14,10,610,0,34,644,0
240,345,123,3,33,12,0,0,0,4,3,2,5,4,2,536,0,12,548,0
241,369,112,4,211,7,0,0,4,1,5,1,0,3,3,720,0,6,726,0
242,362,165,3,61,5,1,1,0,5,2,4,1,3,5,618,0,9,627,0
243,177,235,3,80,5,1,1,4,1,6,9,6,7,11,546,0,25,571,0
244,529,135,5,29,12,2,3,3,5,3,1,2,13,6,748,0,24,772,0
245,235,155,7,9,10,2,2,2,1,4,7,5,12,5,456,0,19,475,0
246,372,246,8,41,4,1,1,8,1,5,1,2,6,7,703,0,14,717,0
247,238,91,1,3,12,1,0,3,0,1,0,0,3,2,355,0,5,360,0
248,476,495,16,13,6,1,3,0,0,6,2,1,11,11,1041,0,16,1057,0
249,240,352,10,22,4,2,0,1,5,6,0,5,6,8,661,0,12,673,0
250,180,118,2,31,1,0,3,0,1,3,2,0,5,6,352,0,9,361,0
251,211,67,1,4,1,0,1,1,0,1,0,1,0,3,291,0,9,300,0
252,433,251,10,75,21,3,2,12,13,17,14,11,9,24,895,0,33,928,0
253,197,161,5,55,4,1,2,3,13,8,3,9,14,27,502,0,37,539,0
254,611,215,10,69,6,9,2,4,9,13,7,5,10,10,980,0,48,1028,0
255,148,495,8,94,10,1,0,2,8,3,12,4,5,11,801,0,27,828,0
256,197,279,8,12,0,1,3,1,2,2,5,2,12,6,530,0,27,557,0
257,71,425,8,21,3,1,0,1,1,6,1,6,5,5,554,0,19,573,0
258,335,197,6,10,5,4,4,2,2,2,3,6,12,14,602,0,20,622,0
259,248,248,4,11,4,0,2,4,3,7,5,9,3,7,555,0,13,568,0
260,198,475,14,10,3,0,1,3,7,4,0,0,8,13,736,0,20,756,0
261,212,141,3,8,0,0,1,1,4,0,4,4,4,11,393,0,15,408,0
262,433,276,9,16,3,3,0,2,5,2,3,3,15,12,782,0,21,803,0
263,137,52,0,0,3,0,0,0,0,0,0,0,1,0,193,0,3,196,0
264,260,423,11,29,8,3,3,5,9,8,10,7,8,11,795,0,31,826,0
265,198,429,11,20,7,3,2,9,6,6,5,5,5,6,712,0,26,738,0
266,118,145,6,1,1,2,0,3,3,4,5,1,5,10,304,0,13,317,0
267,188,234,8,19,0,2,0,1,2,6,4,4,3,6,477,0,15,492,0
268,177,393,8,3,1,2,1,4,2,3,3,6,7,16,626,0,13,639,0
269,70,125,3,3,0,0,0,0,1,1,1,2,2,3,211,0,5,216,0
270,193,272,4,18,0,0,0,2,1,0,0,2,4,5,501,0,6,507,0
271,217,531,10,40,1,0,1,4,4,6,2,4,4,17,841,0,17,858,0
272,123,227,7,3,2,0,1,2,3,0,1,1,2,1,373,0,3,376,0
273,20,82,1,5,0,0,0,0,0,2,0,4,3,1,118,0,2,120,0
