Polling Station,,,,,,,,,,,,,,,valid,Total of Reject ed Votes (Test Vote),Votes for NOTA Option,No of Tender ed Votes,total
,Jadeja Kandhalbh ai Saramanb hai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhada s,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G.R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbh ai,,,,,
172,94,306,8,8,6,1,9,1,0,2,2,2,3,7,449,0,11,0,460
173,43,428,2,5,19,2,1,0,1,1,0,1,1,1,505,0,6,0,511
174,96,444,7,14,12,0,5,3,3,2,0,3,4,3,596,0,9,0,605
175,360,126,9,12,12,2,4,7,3,2,2,4,3,5,551,0,25,0,576
176,197,303,19,4,1,2,2,3,1,0,2,6,5,4,549,0,17,0,566
177,156,139,8,3,2,0,1,1,0,0,2,1,1,1,315,0,8,0,323
178,125,172,3,4,3,3,0,0,0,1,1,2,1,2,317,0,6,0,323
179,114,410,11,3,5,1,3,3,1,2,1,1,4,3,562,0,17,0,579
180,61,281,2,5,2,3,1,0,0,0,0,0,2,6,363,0,9,0,372
181,135,232,8,1,3,1,1,3,0,3,0,1,1,1,390,0,9,0,399
182,153,416,15,6,7,2,3,1,0,0,1,1,2,1,608,0,7,0,615
183,116,204,2,2,0,1,0,2,1,0,2,0,1,0,331,0,2,0,333
184,102,141,1,2,0,2,1,0,0,0,0,1,0,0,250,0,1,0,251
185,130,226,31,3,3,0,1,0,3,0,2,2,3,2,406,0,12,0,418
186,144,243,7,3,1,0,0,2,0,1,4,2,0,6,413,0,12,0,425
187,37,495,8,1,2,1,0,0,1,1,1,0,0,1,548,0,2,0,550
188,58,482,12,8,12,0,1,1,2,0,2,2,3,5,588,0,8,0,596
189,81,95,1,2,3,0,1,0,0,1,0,0,0,3,187,0,7,0,194
190,100,194,6,6,11,1,1,1,1,0,1,1,1,1,325,0,9,0,334
191,22,299,0,0,3,1,2,1,1,0,1,2,0,0,332,0,6,0,338
192,15,554,1,3,6,1,0,0,0,0,2,0,0,5,587,0,2,0,589
193,88,231,8,2,6,0,2,0,0,0,1,0,0,2,340,0,2,0,342
194,95,217,11,6,3,0,1,1,3,2,2,3,5,3,352,0,11,0,363
195,174,234,3,3,2,0,2,3,0,0,0,1,1,2,425,0,8,0,433
196,247,203,6,1,3,3,1,1,0,0,0,1,1,0,467,0,4,0,471
197,45,242,2,0,2,0,0,0,0,0,2,1,1,1,296,0,6,0,302
198,57,376,3,3,2,0,1,1,0,0,1,1,1,0,446,0,3,0,449
199,214,323,18,1,1,1,0,5,1,3,1,1,0,3,572,0,11,0,583
200,115,311,11,3,33,2,1,0,2,1,2,2,1,1,485,0,2,0,487
201,101,103,4,1,3,0,1,1,1,0,1,0,3,0,219,0,5,0,224
202,209,248,10,1,2,0,1,2,2,1,0,2,1,4,483,0,11,0,494
203,80,238,5,4,1,0,2,0,1,0,0,0,1,1,333,0,5,0,338
204,67,282,3,3,5,1,1,2,0,0,1,2,1,3,371,0,6,0,377
205,96,322,5,6,2,1,1,0,2,0,1,0,2,6,444,0,10,0,454
206,132,340,12,2,4,2,1,0,0,1,0,0,0,3,497,0,10,0,507
207,72,177,2,3,8,1,0,0,0,0,1,0,0,1,265,0,4,0,269
208,38,354,6,0,6,0,0,1,0,0,0,0,0,4,409,0,7,0,416
209,147,354,4,1,2,0,1,2,2,1,0,2,1,2,519,0,9,0,528
210,74,274,1,2,9,0,1,0,0,0,0,1,1,2,365,0,2,0,367
211,92,342,14,2,1,1,1,1,0,1,2,3,1,3,464,0,6,0,470
212,16,239,1,0,0,1,2,0,0,0,1,0,0,0,260,0,3,0,263
213,47,204,2,1,2,0,0,0,0,0,0,0,0,0,256,0,4,0,260
214,69,277,7,3,8,2,0,2,0,0,1,2,0,1,372,0,4,0,376
215,104,504,7,1,5,0,1,0,1,1,1,2,1,4,632,0,8,0,640
216,140,271,2,2,6,1,2,3,1,0,1,1,2,0,432,0,13,0,445
217,46,204,1,2,2,0,1,2,0,0,2,1,1,1,263,0,8,0,271
218,61,258,1,1,1,1,0,0,1,1,1,1,2,3,332,0,2,0,334
219,105,468,9,6,3,3,1,0,1,0,3,3,7,4,613,0,10,0,623
220,83,491,6,5,4,1,0,2,0,0,0,2,1,1,596,0,11,0,607
221,57,273,0,3,4,0,2,2,1,0,0,0,1,3,346,0,1,0,347
