No Polling St.,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,OMPRAK ASH SHRIVAS TAV,DARSHA NA VIKRAM JARDOSH,DESAI NAISHAD HBHAI BHUPATB,KIRITBHA I HARJIBH AI,MOHANB HAI B. PATEL,VASAVA KISHORB HAI CHHOTU,MAVJIBH AI LAXMAN BHAI,MUKESH BHAI LAVJIBH AI,,,,,
1,3,738,68,2,5,0,1,1,818,0,4,822,0
2,7,587,205,1,25,0,0,7,832,0,8,840,0
3,2,706,33,2,18,0,0,1,762,0,3,765,0
4,4,839,37,2,12,1,0,1,896,0,6,902,0
5,1,748,25,1,22,1,0,1,799,0,13,812,0
6,1,857,23,0,12,0,1,0,894,0,10,904,0
7,16,558,166,3,6,6,4,7,766,0,17,783,0
8,8,551,145,1,11,1,1,2,720,0,12,732,0
9,3,459,42,0,6,1,0,1,512,0,4,516,0
10,11,714,121,1,19,1,0,2,869,0,4,873,0
11,6,516,39,2,8,1,0,1,573,0,3,576,0
12,3,549,30,1,7,0,0,4,594,0,7,601,0
13,4,574,44,2,9,0,2,1,636,0,9,645,0
14,0,852,52,2,20,0,0,1,927,0,1,928,0
15,6,433,237,3,6,2,1,12,700,0,21,721,0
16,2,826,39,0,16,0,0,2,885,0,7,892,0
17,0,831,31,0,42,1,0,0,905,0,10,915,0
18,3,866,21,1,19,0,0,0,910,0,7,917,0
19,3,957,74,1,10,0,0,24,1069,0,6,1075,0
20,10,762,69,1,16,1,2,2,863,0,6,869,0
21,1,382,66,1,3,0,1,2,456,0,1,457,0
22,4,614,94,1,15,2,1,9,740,0,9,749,0
23,2,703,15,0,15,0,2,1,738,0,7,745,0
24,0,677,20,1,9,0,1,1,709,0,4,713,0
25,2,743,30,0,12,1,0,6,794,0,4,798,0
26,1,657,15,0,33,0,0,1,707,0,4,711,0
27,4,480,47,0,2,1,0,4,538,0,8,546,0
28,4,716,65,3,5,2,4,16,815,0,4,819,0
29,4,629,24,1,7,0,3,8,676,0,7,683,0
30,5,805,115,0,16,1,1,2,945,0,10,955,0
31,3,795,65,1,15,2,1,0,882,0,10,892,0
32,3,840,17,2,26,1,0,0,889,0,5,894,0
33,2,972,26,2,17,0,0,0,1019,0,4,1023,0
34,5,886,44,1,18,0,1,0,955,0,9,964,0
35,4,726,177,7,24,2,3,2,945,0,13,958,0
36,2,743,24,1,14,0,0,2,786,0,18,804,0
37,5,505,52,1,4,0,0,2,569,0,5,574,0
38,2,559,22,0,7,1,0,12,603,0,5,608,0
39,5,352,25,1,5,0,0,9,397,0,3,400,0
40,2,748,120,2,17,1,3,0,893,0,11,904,0
41,4,855,20,1,18,0,0,0,898,0,5,903,0
42,4,540,22,2,13,1,2,16,600,0,7,607,0
43,1,484,40,0,4,1,0,16,546,0,5,551,0
44,3,780,43,1,11,0,1,10,849,0,4,853,0
45,1,873,37,2,10,2,1,5,931,0,8,939,0
46,6,587,195,5,13,3,3,2,814,0,7,821,0
47,3,590,131,3,33,5,1,2,768,0,16,784,0
48,11,631,154,5,11,2,0,6,820,0,10,830,0
49,4,565,125,4,7,2,5,4,716,0,5,721,0
50,2,589,15,0,10,0,0,4,620,0,3,623,0
51,1,618,32,0,15,1,0,6,673,0,5,678,0
52,2,695,18,2,9,1,0,0,727,0,2,729,0
53,2,589,19,0,16,0,0,0,626,0,6,632,0
54,4,656,243,3,27,0,7,2,942,0,13,955,0
55,1,463,137,1,8,2,1,3,616,0,7,623,0
56,2,844,30,0,11,0,0,4,891,0,5,896,0
57,4,595,134,1,19,0,2,3,758,0,13,771,0
58,8,562,319,4,7,1,9,1,911,0,4,915,0
59,3,814,51,1,11,2,1,6,889,0,4,893,0
