Sr. No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Varde Rajubhai Bhimrav,Sonal Kelog,Arun S. Pathak (Patrakar),Keshavji L. Sardva,Parsi Munsi,Ramzan Mansuri (Patrakar),Ravsaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhel),Saiyad Mehmud Aehmad,Hasan Sheikh,,,,,
120,4,598,218,1,0,2,3,0,1,0,1,2,0,2,1,5,1,3,1,843,0,4,847,0
121,8,569,222,3,1,2,1,0,1,2,0,1,5,7,11,23,0,14,3,873,0,1,874,0
122,11,515,263,5,0,1,2,2,2,1,3,5,6,9,7,12,5,6,7,862,0,11,873,0
123,4,361,240,2,0,0,9,1,0,2,0,0,0,2,2,3,0,7,5,638,0,1,639,0
124,5,383,200,0,0,0,0,1,1,0,0,1,1,3,2,15,2,3,2,619,0,4,623,0
125,0,411,74,0,0,1,5,2,0,0,0,0,0,0,0,1,1,3,3,501,0,2,503,0
126,4,632,57,2,0,0,4,0,2,0,0,2,1,2,0,3,1,5,0,715,0,3,718,0
127,4,665,47,0,0,1,1,0,0,0,0,1,1,1,3,1,0,1,1,727,0,2,729,0
128,1,599,30,0,1,0,2,0,1,0,2,0,0,0,3,0,0,2,1,642,0,2,644,0
,769,60737,17093,216,139,53,600,60,72,53,87,164,129,186,322,609,265,572,272,82398,0,725,83123,0
,,,,,,,,,,,,,,,,,,,,,,,,
,769,60737,17093,216,139,53,600,60,72,53,87,164,129,186,322,609,265,572,272,82398,0,725,83123,0
129,2,475,35,3,2,0,3,0,0,0,1,1,0,0,0,3,2,5,2,534,0,5,539,0
130,2,567,27,1,1,0,4,0,1,1,1,2,0,2,4,9,3,2,1,628,0,2,630,0
131,7,533,44,2,0,2,0,0,0,1,1,0,1,0,2,2,0,5,2,602,0,4,606,0
132,5,503,33,2,2,0,3,0,0,0,0,2,1,1,5,8,1,10,0,576,0,7,583,0
133,3,591,10,0,1,0,1,0,0,0,0,1,0,0,2,4,0,2,0,615,0,5,620,0
134,10,794,24,1,0,0,3,0,0,0,2,2,0,1,2,4,0,2,1,846,0,2,848,0
135,7,514,23,2,0,1,1,0,0,0,0,1,0,1,3,3,1,6,0,563,0,2,565,0
136,4,514,11,1,0,0,1,0,0,0,1,0,1,0,2,1,0,1,0,537,0,3,540,0
137,10,474,15,1,0,0,1,1,0,0,0,2,1,0,2,5,0,2,2,516,0,1,517,0
138,0,174,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,182,0,1,183,0
139,2,514,47,2,0,0,2,0,2,1,0,2,0,0,1,1,2,3,0,579,0,2,581,0
140,4,444,43,0,0,0,6,0,0,0,0,0,0,1,0,3,2,2,2,507,0,2,509,0
141,3,458,27,0,2,0,2,0,0,0,1,1,0,0,0,1,2,3,4,504,0,4,508,0
142,0,626,65,1,1,0,1,0,0,0,0,3,4,1,4,4,9,10,2,731,0,7,738,0
,828,67918,17503,232,148,56,629,61,75,56,94,181,137,193,349,657,287,625,289,90318,0,772,91090,0
,,,,,,,,,,,,,,,,,,,,,,,,
,828,67918,17503,232,148,56,629,61,75,56,94,181,137,193,349,657,287,625,289,90318,0,772,91090,0
143,7,594,98,3,1,2,1,0,0,2,0,1,3,1,3,9,3,2,4,734,0,11,745,0
144,0,360,35,3,1,1,4,0,1,0,0,2,0,1,0,5,1,3,0,417,0,3,420,0
145,7,709,37,1,1,1,3,0,1,0,1,2,3,3,7,2,1,2,2,783,0,3,786,0
146,6,513,122,2,2,0,6,0,2,1,6,4,3,2,6,16,4,10,3,708,0,6,714,0
147,4,675,68,1,1,0,3,1,2,0,0,1,0,1,4,6,3,0,0,770,0,6,776,0
148,2,538,182,2,0,0,2,1,0,0,1,1,0,0,2,4,6,5,2,748,0,7,755,0
149,13,547,193,2,0,3,11,1,3,1,5,1,2,3,8,17,3,10,3,826,0,3,829,0
150,7,482,190,7,2,2,7,5,0,0,3,1,3,3,1,10,5,2,2,732,0,1,733,0
151,7,232,359,5,0,0,3,0,4,2,0,3,5,7,7,10,5,5,8,662,0,2,664,0
152,7,361,225,4,1,1,2,0,2,1,3,4,0,3,0,18,3,5,5,645,0,8,653,0
153,6,214,336,7,3,1,2,2,1,1,1,0,2,0,5,7,1,6,5,600,0,5,605,0
154,8,229,164,4,2,1,4,3,0,1,2,3,3,17,31,21,5,18,1,517,0,7,524,0
155,10,475,206,4,1,1,7,0,1,0,1,4,2,2,20,9,3,4,9,759,0,5,764,0
156,1,539,100,2,0,0,3,1,0,1,1,3,1,3,7,16,2,2,3,685,0,9,694,0
,913,74386,19818,279,163,69,687,75,92,66,118,211,164,239,450,807,332,699,336,99904,0,848,100752,0
,,,,,,,,,,,,,,,,,,,,,,,,
,913,74386,19818,279,163,69,687,75,92,66,118,211,164,239,450,807,332,699,336,99904,0,848,100752,0
157,5,480,199,4,0,0,5,3,1,0,1,0,3,2,6,3,2,5,1,720,0,7,727,0
158,5,547,251,4,1,2,4,0,0,0,1,2,1,4,3,2,3,3,1,834,0,2,836,0
159,7,503,212,4,1,0,2,2,1,0,4,4,5,5,5,15,1,10,8,789,0,2,791,0
160,11,485,252,12,1,1,1,2,1,3,1,2,3,3,11,12,5,14,8,828,0,12,840,0
161,5,415,194,3,0,0,3,1,1,3,3,7,2,4,3,8,4,7,7,670,0,4,674,0
162,3,566,246,2,0,0,2,1,4,3,0,5,1,4,4,11,4,7,9,872,0,3,875,0
163,17,304,273,12,1,3,4,3,5,2,4,10,4,3,8,11,5,5,6,680,0,7,687,0
164,7,468,169,2,2,2,1,1,2,2,2,13,1,5,8,18,4,5,9,721,0,3,724,0
165,6,267,354,8,3,0,6,1,2,0,0,1,1,1,6,3,3,6,5,673,0,13,686,0
166,13,337,298,8,4,2,7,0,1,1,1,2,2,2,7,3,1,5,7,701,0,4,705,0
167,3,217,202,5,0,1,2,2,2,0,0,1,2,5,1,4,1,5,1,454,0,3,457,0
168,9,327,313,13,2,0,0,1,0,4,3,9,8,9,5,17,4,5,6,735,0,5,740,0
169,3,335,284,5,1,0,1,0,3,1,0,4,7,0,8,7,1,8,2,670,0,4,674,0
170,8,419,127,1,1,1,9,0,1,0,0,1,3,2,3,9,4,3,2,594,0,7,601,0
,1015,80056,23192,362,180,81,734,92,116,85,138,272,207,288,528,930,374,787,408,109845,0,924,110769,0
,,,,,,,,,,,,,,,,,,,,,,,,
,1015,80056,23192,362,180,81,734,92,116,85,138,272,207,288,528,930,374,787,408,109845,0,924,110769,0
171,4,542,195,2,3,1,5,3,1,1,3,3,3,9,2,12,3,4,3,799,0,9,808,0
172,9,522,168,2,0,0,1,0,0,2,1,4,1,2,1,12,2,4,1,732,0,5,737,0
173,6,464,305,5,1,0,5,0,0,1,0,3,4,2,7,10,4,15,7,839,0,17,856,0
174,10,266,249,3,1,1,4,3,2,4,2,4,1,3,7,14,6,3,4,587,0,8,595,0
175,8,203,260,4,2,0,5,0,1,0,2,3,3,8,7,12,7,14,13,552,0,5,557,0
176,4,128,143,2,2,0,1,1,0,0,0,1,0,1,0,2,1,1,1,288,0,2,290,0
177,4,261,138,4,0,0,2,0,2,0,0,7,2,6,9,20,0,5,1,461,0,5,466,0
178,4,175,302,5,0,0,3,0,0,2,0,3,1,1,3,3,1,8,13,524,0,5,529,0
179,3,171,493,3,0,2,9,1,3,3,0,12,7,23,16,16,0,3,7,772,0,0,772,0
180,2,52,485,2,0,0,4,0,0,0,1,1,0,4,1,3,0,2,7,564,0,1,565,0
181,6,380,198,7,0,1,3,3,3,3,3,11,6,8,22,34,3,7,5,703,0,10,713,0
182,12,316,495,3,2,0,3,2,3,0,2,2,2,3,8,12,4,2,5,876,0,8,884,0
183,9,545,286,2,0,0,11,3,1,1,1,3,2,2,5,6,3,2,5,887,0,5,892,0
184,7,500,125,6,1,0,3,1,0,1,0,0,2,1,1,2,3,5,3,661,0,4,665,0
,1103,84581,27034,412,192,86,793,109,132,103,153,329,241,361,617,1088,411,862,483,119090,0,1008,120098,0
,,,,,,,,,,,,,,,,,,,,,,,,
,1103,84581,27034,412,192,86,793,109,132,103,153,329,241,361,617,1088,411,862,483,119090,0,1008,120098,0
185,2,516,104,2,0,1,24,0,0,0,0,0,1,0,0,1,0,3,2,656,0,7,663,0
186,3,484,163,3,0,1,11,0,0,0,1,2,1,2,4,7,2,6,2,692,0,7,699,0
187,7,481,180,4,4,1,3,0,0,1,0,2,3,7,1,3,0,2,1,700,0,4,704,0
188,7,388,187,3,1,0,2,1,2,4,2,6,5,10,17,7,4,11,4,661,0,3,664,0
189,4,571,189,5,1,0,3,0,0,0,0,1,2,0,2,4,3,5,1,791,0,8,799,0
190,3,389,120,1,0,0,5,0,1,1,1,1,1,0,1,2,1,7,3,537,0,1,538,0
191,5,374,135,3,2,0,5,0,0,0,0,2,1,0,1,3,0,3,5,539,0,2,541,0
192,3,573,100,1,0,1,3,1,1,0,0,1,0,1,2,4,1,18,4,714,0,5,719,0
193,5,408,103,2,0,1,0,0,0,0,0,0,2,1,1,0,3,1,0,527,0,1,528,0
194,5,496,53,1,0,0,1,0,0,0,1,1,0,1,2,3,0,2,1,567,0,3,570,0
195,4,348,155,2,1,1,8,0,2,1,0,0,1,4,1,1,1,2,3,535,0,2,537,0
196,2,369,97,1,0,0,2,0,0,0,0,0,0,0,2,2,0,6,2,483,0,5,488,0
197,9,296,190,2,1,0,1,0,0,0,1,2,1,3,1,10,1,1,1,520,0,4,524,0
198,3,677,149,7,2,2,5,1,3,3,1,1,1,2,5,9,5,6,7,889,0,13,902,0
,1165,90951,28959,449,204,94,866,112,141,113,160,348,260,392,657,1144,432,935,519,127901,0,1073,128974,0
,,,,,,,,,,,,,,,,,,,,,,,,
,1165,90951,28959,449,204,94,866,112,141,113,160,348,260,392,657,1144,432,935,519,127901,0,1073,128974,0
199,4,485,372,4,3,3,3,3,6,6,1,7,5,3,3,11,6,5,0,930,0,9,939,0
200,3,460,94,2,0,0,2,1,0,1,0,0,1,1,0,2,3,5,3,578,0,4,582,0
201,3,306,300,1,2,0,2,0,1,1,0,0,0,0,0,1,2,0,0,619,0,5,624,0
202,8,358,159,1,0,0,6,2,1,0,2,2,1,1,2,8,1,4,5,561,0,9,570,0
203,1,589,87,3,0,3,8,1,1,1,0,1,1,0,1,4,3,9,1,714,0,8,722,0
204,1,547,180,3,1,1,12,0,1,0,1,2,0,1,1,3,0,2,2,758,0,4,762,0
205,3,317,203,0,1,1,4,2,1,1,0,1,2,0,3,2,2,4,1,548,0,7,555,0
206,0,283,90,1,0,1,17,0,0,0,0,1,0,1,0,3,2,1,0,400,0,6,406,0
207,11,593,236,6,1,0,7,0,4,0,1,4,2,3,5,15,1,4,4,897,0,10,907,0
