Sr. No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Varde Rajubhai Bhimrav,Sonal Kelog,Arun S. Pathak (Patrakar),Keshavji L. Sardva,Parsi Munsi,Ramzan Mansuri (Patrakar),Ravsaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhel),Saiyad Mehmud Aehmad,Hasan Sheikh,,,,,
253,8,378,188,3,1,0,1,2,1,1,1,3,2,0,2,2,7,21,6,627,0,3,630,0
254,10,371,214,8,2,0,10,2,3,1,2,3,2,3,3,8,2,12,7,663,0,3,666,0
,1560,115579,39265,730,251,128,1082,155,203,155,205,480,358,512,910,1597,594,1287,717,165768,0,1372,167140,0
,,,,,,,,,,,,,,,,,,,,,,,,
,1560,115579,39265,730,251,128,1082,155,203,155,205,480,358,512,910,1597,594,1287,717,165768,0,1372,167140,0
255,17,547,157,1,3,0,0,0,2,1,2,8,2,7,12,6,4,10,3,782,0,4,786,0
256,6,525,90,2,0,0,1,2,0,0,0,0,1,1,0,4,2,6,4,644,0,3,647,0
257,8,280,222,2,2,2,3,0,3,0,0,2,5,4,6,7,1,3,1,551,0,5,556,0
258,8,591,116,3,0,0,7,1,0,0,1,0,3,2,3,4,1,8,4,752,0,1,753,0
259,8,455,239,5,1,1,3,1,0,0,1,0,1,2,6,7,5,1,6,742,0,3,745,0
260,4,80,117,1,0,1,0,3,1,0,2,1,1,0,3,3,1,2,3,223,0,0,223,0
261,9,213,218,3,0,0,7,0,0,0,0,1,1,1,1,1,7,6,2,470,0,5,475,0
262,10,302,303,4,0,1,0,4,1,3,0,0,1,0,3,13,5,6,5,661,0,2,663,0
263,4,451,62,2,0,0,0,1,2,0,1,3,0,0,4,10,2,3,2,547,0,2,549,0
264,7,233,293,5,0,1,3,2,3,2,1,2,3,5,4,9,2,5,6,586,0,4,590,0
265,9,274,249,12,1,1,1,1,2,0,2,6,3,3,4,6,3,7,4,588,0,6,594,0
266,4,238,109,1,0,0,1,0,0,0,1,2,4,2,3,4,1,4,4,378,0,4,382,0
267,5,158,116,2,0,0,5,1,1,1,1,0,1,2,2,5,1,1,4,306,0,5,311,0
268,9,379,178,8,2,1,2,2,2,0,0,4,5,1,6,6,7,12,5,629,0,10,639,0
,1668,120305,41734,781,260,136,1115,173,220,162,217,509,389,542,967,1682,636,1361,770,173627,0,1426,175053,0
,,,,,,,,,,,,,,,,,,,,,,,,
,1668,120305,41734,781,260,136,1115,173,220,162,217,509,389,542,967,1682,636,1361,770,173627,0,1426,175053,0
269,5,354,332,12,4,2,2,2,1,1,3,7,2,3,7,13,5,4,4,763,0,6,769,0
270,13,364,204,4,1,1,4,1,2,1,0,3,1,3,5,12,10,4,2,635,0,7,642,0
271,7,390,169,5,2,0,1,2,0,1,0,3,2,3,3,6,4,3,1,602,0,3,605,0
272,4,506,294,4,1,0,10,0,0,0,1,1,1,0,0,4,4,24,17,871,0,4,875,0
273,10,271,358,4,2,3,5,0,4,1,0,5,4,4,5,10,4,3,6,699,0,5,704,0
274,1,278,130,0,0,0,5,0,0,0,1,0,1,1,0,0,0,2,3,422,0,4,426,0
275,1,399,108,4,1,0,4,0,0,0,0,1,0,0,0,2,2,5,1,528,0,0,528,0
276,11,378,337,0,0,0,13,1,0,0,2,2,1,1,2,7,1,5,3,764,0,10,774,0
277,9,433,218,6,1,0,0,0,1,1,1,2,3,1,6,4,6,5,2,699,0,2,701,0
278,12,236,378,5,1,0,6,3,3,0,2,4,1,2,3,15,3,3,2,679,0,9,688,0
279,2,155,100,2,0,0,1,0,0,0,0,0,0,1,1,3,1,1,0,267,0,2,269,0
280,13,428,302,9,4,0,4,0,3,1,2,8,4,5,14,21,5,11,8,842,0,11,853,0
