Serial No of polling station,NO. OF VALID VOTES CAST IN FAVOUR OF,,,,,,,,,,,,,,,,,,,,,
,KOLI PATEL SOMABHAI GANDALAL,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVAJIBHAI GOVINDBHAI,JETHABHAI MANJIBHAI PATEL,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVDA PALABHAI NANAJIBHAI,PARMAR PRABHUBHAI GOKALBHAI,PARMAR VASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRABHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,MANSINH SHIVUBHA ZALA,VADALIYA KALUBHAI MALUBHAI,VAGHELA PRAKASHBHAI BACHUBHAI,VORA BHAVANBHAI DEVAJIBHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI,Total of Valid votes,No. of rejected Votes (test votes),"Votes for ""NOTA"" option",Total,No. of tendered votes
89,411,12,78,4,1,2,0,3,2,2,2,1,3,5,1,10,20,557,,7,564,
90,290,1,130,2,0,1,0,0,1,0,0,0,0,1,3,8,16,453,,4,457,
91,217,9,284,39,2,1,0,2,2,1,1,1,5,5,6,10,14,599,,13,612,
92,237,6,277,22,0,1,1,4,2,1,1,1,4,2,5,14,9,587,,6,593,
93,248,5,150,7,2,4,0,0,0,1,0,0,3,4,0,5,7,436,,6,442,
94,188,4,150,5,2,0,1,1,1,1,0,0,0,1,4,6,4,368,,3,371,
95,201,3,98,8,1,0,1,2,1,2,0,0,2,5,6,12,10,352,,5,357,
96,263,2,139,3,2,0,0,3,2,0,0,0,2,1,0,4,8,429,,7,436,
97,155,5,156,3,0,0,1,1,0,1,0,1,2,1,0,2,7,335,,8,343,
98,115,9,466,13,1,4,3,3,3,3,2,3,5,8,6,13,5,662,,6,668,
99,127,6,375,4,3,2,1,1,3,1,2,0,7,5,7,19,4,567,,8,575,
100,19,0,479,3,0,0,0,0,0,0,0,1,0,0,0,0,0,502,,0,502,
101,174,11,364,5,0,2,3,8,7,0,3,8,8,5,8,24,10,640,,25,665,
102,175,5,217,3,1,3,4,0,1,1,0,3,1,4,1,8,5,432,,6,438,
103,107,3,283,1,1,1,0,4,3,3,3,0,4,8,7,21,1,450,,4,454,
104,172,2,246,2,1,1,0,0,0,0,1,1,1,1,1,6,5,440,,3,443,
105,407,11,321,19,3,2,2,9,4,3,0,4,8,7,4,9,6,819,,5,824,
106,215,12,195,8,5,3,2,6,4,4,2,2,7,5,5,12,3,490,,4,494,
107,179,2,45,0,0,0,1,0,1,0,0,0,2,1,0,6,3,240,,2,242,
108,337,7,105,4,1,2,0,1,1,0,0,1,1,1,1,6,12,480,,5,485,
109,263,6,30,2,0,0,1,1,0,0,1,0,1,1,0,5,11,322,,5,327,
110,107,4,113,2,1,0,0,1,0,1,0,1,4,3,1,3,4,245,,3,248,
111,210,3,86,5,0,0,0,0,1,0,0,2,2,0,2,11,5,327,,4,331,
,,,,,,,,,,,,,,,,,,,,,,
112,350,11,342,13,1,2,2,1,1,1,1,1,1,1,1,5,4,738,,6,744,
113,54,6,227,3,0,1,0,1,1,0,0,1,3,3,0,7,4,311,,9,320,
114,67,12,411,10,0,4,1,1,2,1,1,0,5,9,6,9,11,550,,15,565,
115,73,6,646,11,1,1,1,1,2,1,2,1,0,4,2,6,3,761,,4,765,
116,43,3,260,11,0,0,0,0,0,0,0,1,0,2,0,2,4,326,,2,328,
117,55,2,449,9,0,0,0,0,0,0,0,1,0,1,0,1,1,519,,10,529,
118,186,3,589,13,1,1,1,1,1,1,0,1,0,1,1,15,4,819,,12,831,
119,78,4,576,13,0,0,1,1,0,2,0,5,3,10,5,27,6,731,,16,747,
120,38,2,364,8,0,3,0,0,3,0,3,3,0,7,1,0,2,434,,4,438,
121,72,3,430,2,3,1,0,0,1,0,0,1,0,2,1,3,1,520,,5,525,
122,82,5,478,4,0,1,1,0,0,1,2,1,2,1,0,7,7,592,,7,599,
123,49,3,251,3,0,0,0,0,1,0,1,0,0,0,1,2,1,312,,3,315,
124,119,4,570,6,4,1,0,1,0,2,1,1,0,4,1,10,7,731,,10,741,
125,20,0,378,4,0,0,1,0,0,1,0,1,1,0,0,5,2,413,,10,423,
126,39,4,490,3,3,0,0,0,1,1,2,4,0,3,1,4,1,556,,7,563,
127,626,25,103,24,25,0,0,0,0,0,0,0,2,0,1,4,11,821,,7,828,
128,395,23,78,9,5,0,0,1,1,0,0,0,2,1,0,4,32,551,,8,559,
129,516,8,72,21,10,0,0,1,2,0,0,1,0,0,2,8,18,659,,1,660,
130,480,35,61,23,22,1,0,1,1,0,0,1,1,1,2,6,7,642,,7,649,
131,199,5,121,20,3,0,0,0,0,0,3,0,0,2,1,3,6,363,,3,366,
132,257,7,404,10,1,0,0,3,0,0,0,1,0,0,1,4,2,690,,5,695,
133,237,2,302,2,2,0,0,0,1,0,0,2,1,3,1,11,12,576,,6,582,
134,293,5,250,4,1,3,1,6,1,2,2,3,3,3,3,13,4,597,,5,602,
134,58,2,222,4,0,1,0,0,1,0,0,0,3,2,1,7,6,307,,4,311,
135,103,4,643,6,0,1,1,2,0,0,0,2,0,0,2,5,3,772,,3,775,
,,,,,,,,,,,,,,,,,,,,,,
136,140,6,433,4,1,0,1,0,0,0,0,0,3,2,2,16,8,616,,5,621,
137,162,3,696,6,2,1,0,0,2,0,0,1,2,1,0,2,8,886,,8,894,
138,194,10,530,10,1,0,1,0,0,0,0,0,1,4,2,7,4,764,,7,771,
139,202,8,447,15,1,1,0,0,1,2,4,4,2,9,9,16,10,731,,12,743,
140,150,6,516,7,1,0,0,1,2,2,1,1,3,7,3,6,3,709,,7,716,
141,186,11,387,12,2,1,4,4,3,3,3,2,17,9,7,36,14,701,,12,713,
142,63,2,528,9,3,2,2,1,3,3,2,1,5,33,2,13,7,679,,8,687,
143,30,5,345,6,1,0,0,3,3,0,1,2,3,7,3,6,7,422,,12,434,
144,16,4,273,1,2,0,0,1,0,1,1,0,2,2,0,6,0,309,,2,311,
145,72,7,523,6,1,1,3,0,1,1,0,1,9,13,3,14,6,661,,2,663,
146,231,7,249,5,1,2,1,3,1,0,0,0,3,7,2,7,13,532,,6,538,
147,133,4,91,2,6,0,1,0,1,2,0,0,0,1,1,4,4,250,,0,250,
148,177,9,376,9,1,2,1,3,3,3,2,3,3,2,2,16,19,631,,21,652,
149,182,4,162,3,0,0,0,0,0,0,0,0,1,0,1,1,4,358,,1,359,
150,153,21,245,5,3,0,0,0,3,2,3,1,4,2,1,22,9,474,,6,480,
151,184,7,237,5,7,1,0,1,0,0,1,0,1,1,5,9,10,469,,4,473,
152,223,2,155,6,1,1,1,0,2,0,0,0,2,2,2,1,6,404,,2,406,
153,265,7,211,7,2,0,1,4,0,0,1,1,3,6,2,7,3,520,,4,524,
154,248,16,188,11,0,0,0,2,1,1,2,1,3,3,5,7,11,499,,4,503,
155,304,6,45,2,0,0,2,0,1,0,0,0,0,1,2,5,11,379,,2,381,
156,110,11,156,0,2,2,1,0,1,0,1,3,2,2,3,4,3,301,,0,301,
157,37,1,184,2,7,0,0,0,0,0,0,0,0,0,1,1,0,233,,5,238,
158,271,5,78,1,0,0,0,0,0,0,0,0,0,1,1,3,4,364,,3,367,
159,292,5,147,3,0,0,0,0,0,0,0,0,0,3,0,5,2,457,,5,462,
160,184,1,89,0,0,0,0,0,2,0,1,0,0,0,0,7,8,292,,6,298,
,,,,,,,,,,,,,,,,,,,,,,
161,280,4,473,10,0,0,1,0,2,0,0,1,0,4,1,9,5,790,,5,795,
162,302,2,347,11,1,1,0,0,0,1,1,0,0,4,2,9,11,692,,12,704,
163,315,26,412,12,0,2,0,1,1,2,0,2,0,5,2,5,7,792,,12,804,
164,112,2,220,6,0,1,0,1,0,0,1,0,1,2,5,21,2,374,,5,379,
165,100,3,355,4,0,0,1,0,2,0,0,0,0,1,1,4,3,474,,7,481,
166,171,1,255,4,1,1,0,0,0,1,0,2,0,3,4,15,7,465,,3,468,
166,207,3,205,4,0,0,1,0,1,0,0,1,1,3,2,8,7,443,,8,451,
167,149,7,283,4,1,2,0,0,1,0,3,1,1,1,2,9,3,467,,2,469,
168,111,3,293,6,2,0,0,1,1,0,0,1,2,4,0,9,4,437,,10,447,
169,346,8,342,3,3,0,0,0,1,1,0,4,2,12,3,29,14,768,,3,771,
170,261,6,471,5,1,1,3,3,1,0,2,3,7,8,2,23,5,802,,6,808,
171,37,2,239,0,1,0,1,0,1,0,1,1,1,1,0,6,0,291,,1,292,
172,252,8,301,7,1,5,4,2,2,0,2,5,4,5,10,10,14,632,,3,635,
173,294,4,110,20,2,0,2,0,2,0,0,2,4,8,3,4,8,463,,8,471,
174,22,2,111,2,0,0,1,0,1,2,1,0,1,0,1,5,1,150,,2,152,
175,0,1,57,1,1,0,2,1,1,0,0,0,4,4,1,4,0,77,,1,78,
176,448,24,182,15,6,5,2,2,2,4,3,3,7,2,9,23,14,751,,9,760,
177,176,2,23,0,0,0,0,2,0,0,1,0,0,0,0,3,8,215,,1,216,
178,194,4,107,2,0,0,1,0,2,2,0,2,2,0,2,6,7,331,,1,332,
179,243,11,271,10,1,0,2,1,1,2,2,4,1,2,3,10,10,574,,12,586,
180,189,3,231,10,1,0,1,0,0,1,1,4,2,2,1,3,3,452,,2,454,
181,199,14,301,5,0,3,4,3,7,4,2,4,3,5,1,21,14,590,,7,597,
182,201,14,242,5,1,1,0,2,2,0,3,2,4,6,2,18,6,509,,4,513,
183,293,12,217,3,1,0,0,1,4,0,2,2,3,4,7,9,5,563,,7,570,
184,275,5,138,3,3,1,1,0,0,1,0,0,1,1,1,5,5,440,,3,443,
,,,,,,,,,,,,,,,,,,,,,,
185,412,4,158,1,0,2,0,1,1,0,0,1,0,2,2,5,5,594,,2,596,
186,153,5,16,1,1,0,0,1,0,2,1,3,1,1,2,11,3,201,,2,203,
187,417,6,233,6,0,0,0,0,2,0,1,0,1,2,2,6,17,693,,3,696,
188,216,9,189,3,0,1,0,4,0,0,0,0,3,3,1,5,9,443,,4,447,
189,257,3,104,4,1,0,0,0,0,1,1,1,0,1,5,6,3,387,,3,390,
190,290,26,237,4,3,1,1,4,1,1,0,2,5,7,5,14,8,609,,3,612,
191,344,1,127,1,1,0,0,0,1,0,2,1,2,1,3,7,8,499,,4,503,
192,196,1,101,1,3,0,0,2,0,0,0,0,1,2,7,6,13,333,,2,335,
193,211,9,179,3,0,1,1,1,1,1,1,2,3,1,1,3,5,423,,5,428,
194,79,6,46,1,0,0,0,0,0,0,0,0,1,3,0,2,3,141,,3,144,
195,265,4,157,3,0,1,0,2,0,1,0,0,0,2,2,9,4,450,,3,453,
196,121,5,161,4,1,0,2,1,0,0,1,0,0,2,2,2,3,305,,1,306,
197,156,7,88,7,3,1,3,0,3,0,2,0,1,0,2,12,23,308,,8,316,
198,8,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,2,34,,0,34,
199,127,7,98,9,1,2,2,2,3,1,1,2,1,1,2,4,6,269,,0,269,
200,178,2,157,9,1,1,0,0,0,1,0,0,2,2,2,4,1,360,,2,362,
201,70,6,95,17,0,0,1,1,2,0,0,0,0,4,2,7,4,209,,5,214,
202,279,5,174,0,0,0,0,1,1,0,1,1,0,0,1,1,3,467,,1,468,
203,428,7,119,2,1,1,2,1,2,0,0,1,1,1,2,12,15,595,,3,598,
204,261,6,247,6,1,0,0,2,1,1,1,0,1,2,2,6,3,540,,4,544,
205,125,3,263,1,1,0,3,1,0,1,0,2,2,4,0,9,4,419,,3,422,
206,91,6,310,1,0,1,0,1,0,0,0,0,0,0,1,1,2,414,,1,415,
207,404,6,74,8,1,0,0,1,1,0,0,0,1,2,2,2,16,518,,4,522,
208,402,8,232,2,1,3,2,0,1,1,1,3,1,3,2,13,10,685,,4,689,
209,119,2,22,0,1,0,0,0,1,0,1,0,0,0,0,1,5,152,,0,152,
,,,,,,,,,,,,,,,,,,,,,,
210,197,6,48,1,1,2,0,1,0,1,2,0,1,0,2,5,13,280,,11,291,
211,523,1,17,0,1,0,0,1,0,0,0,0,1,0,0,2,3,549,,1,550,
212,93,2,111,0,2,1,1,0,1,1,1,1,1,1,1,2,6,225,,1,226,
213,67,4,101,3,2,0,2,1,0,0,2,0,0,3,0,5,5,195,,1,196,
214,186,15,137,3,1,2,1,0,1,0,1,1,0,1,2,9,10,370,,0,370,
215,75,4,132,5,0,1,2,0,1,0,2,0,2,4,2,4,2,236,,1,237,
216,126,4,74,24,2,1,0,0,0,0,0,1,1,3,2,4,3,245,,2,247,
217,115,7,119,2,2,0,0,1,0,0,0,1,0,1,7,9,2,266,,4,270,
218,166,5,112,2,0,0,0,0,2,0,1,0,2,0,2,5,7,304,,1,305,
219,176,6,124,5,0,0,0,0,0,1,1,1,0,1,3,12,2,332,,3,335,
220,322,9,182,1,0,3,0,0,2,0,1,2,2,0,1,8,12,545,,0,545,
221,287,4,142,5,3,3,0,1,5,1,0,1,3,3,6,9,9,482,,1,483,
222,454,7,49,1,1,0,0,0,1,0,2,2,2,3,1,14,16,553,,6,559,
223,217,6,84,4,0,0,0,1,4,1,0,0,1,4,4,8,8,342,,10,352,
224,300,5,80,5,0,1,1,0,1,0,1,0,0,2,2,9,7,414,,8,422,
225,230,4,131,6,2,0,1,0,1,1,0,0,1,1,4,12,6,400,,2,402,
226,98,1,165,4,1,2,0,1,2,0,0,2,2,3,5,7,5,298,,3,301,
227,125,7,115,1,0,0,0,1,0,0,0,2,0,1,0,5,11,268,,3,271,
228,306,9,52,0,0,0,0,0,0,0,0,0,0,3,2,7,4,383,,4,387,
229,142,6,78,6,0,0,0,0,0,0,0,0,0,0,1,5,2,240,,2,242,
230,110,7,152,2,2,2,0,1,1,0,0,0,1,3,0,3,3,287,,3,290,
231,85,5,67,2,0,0,2,3,0,0,0,0,0,0,1,1,1,167,,1,168,
232,190,5,206,2,1,0,1,1,1,0,1,2,2,5,1,12,11,441,,6,447,
233,130,2,171,3,0,0,0,0,0,0,0,2,1,1,1,5,4,320,,2,322,
234,5,1,38,1,0,0,0,0,0,0,1,0,0,0,0,0,0,46,,1,47,
,,,,,,,,,,,,,,,,,,,,,,
235,214,2,44,1,0,0,1,0,0,0,1,0,1,1,2,6,9,282,,0,282,
236,201,4,115,2,0,1,0,2,4,1,2,1,1,2,3,6,7,352,,2,354,
237,301,6,104,3,1,0,0,1,1,0,2,0,0,0,0,4,11,434,,1,435,
238,227,2,49,2,0,0,0,0,0,0,1,1,0,1,2,2,5,292,,1,293,
239,322,5,47,2,0,0,1,0,0,0,0,1,0,0,3,3,21,405,,1,406,
240,280,3,133,1,0,0,0,1,0,0,1,0,2,3,5,7,7,443,,1,444,
241,24,5,207,4,2,1,0,1,1,0,2,1,3,3,4,12,0,270,,3,273,
242,169,7,110,5,1,1,0,0,0,0,1,0,1,3,2,5,2,307,,4,311,
243,55,4,162,1,0,0,0,1,1,1,0,1,2,5,1,9,4,247,,4,251,
244,267,65,134,2,0,1,0,0,1,0,1,0,1,3,3,17,11,506,,6,512,
245,241,3,125,3,0,0,1,1,0,0,1,1,0,2,1,7,7,393,,4,397,
246,188,7,34,0,0,0,0,0,0,0,0,1,0,0,1,2,2,235,,0,235,
247,270,10,217,4,2,1,0,0,4,1,1,3,2,3,4,20,6,548,,0,548,
248,376,10,164,5,1,0,1,0,7,1,1,3,2,5,7,12,14,609,,1,610,
249,299,8,209,8,0,0,0,1,1,0,0,0,1,4,3,9,6,549,,2,551,
250,256,9,239,7,0,1,0,0,2,1,2,0,3,2,3,9,13,547,,8,555,
251,460,5,119,2,0,6,0,0,3,1,1,1,0,2,5,10,12,627,,7,634,
252,92,4,264,3,0,0,0,0,2,0,1,0,0,4,1,2,2,375,,0,375,
253,154,6,276,3,2,1,0,0,1,1,1,1,2,8,2,9,4,471,,3,474,
254,232,23,140,5,2,1,0,1,0,1,0,0,0,0,0,2,8,415,,4,419,
255,402,34,110,1,0,2,1,1,4,2,0,3,0,1,4,4,0,569,,0,569,
