Serial No of polling station,NO. OF VALID VOTES CAST IN FAVOUR OF,,,,,,,,,,,,,,,,,,,,,
,KOLI PATEL SOMABHAI GANDALAL,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVAJIBHAI GOVINDBHAI,JETHABHAI MANJIBHAI PATEL,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVDA PALABHAI NANAJIBHAI,PARMAR PRABHUBHAI GOKALBHAI,PARMAR VASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRABHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,MANSINH SHIVUBHA ZALA,VADALIYA KALUBHAI MALUBHAI,VAGHELA PRAKASHBHAI BACHUBHAI,VORA BHAVANBHAI DEVAJIBHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI,Total of Valid votes,No. of rejected Votes (test votes),"Votes for ""NOTA"" option",Total,No. of tendered votes
2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,50,1,199,2,4,0,1,0,2,0,1,2,1,5,6,14,5,293,,7,300,
2,122,8,283,5,1,1,2,4,3,0,3,3,7,8,2,12,3,467,,4,471,
3,80,5,297,4,1,1,0,2,0,1,1,4,5,5,6,14,6,432,,0,432,
4,83,6,281,4,1,0,1,2,3,3,3,1,2,3,7,30,7,437,,8,445,
5,252,3,277,10,30,1,1,1,1,1,0,0,2,4,2,10,10,605,,8,613,
6,200,0,300,5,5,0,2,2,0,1,1,1,1,2,2,12,9,543,,14,557,
7,111,10,558,10,7,1,0,0,2,0,3,3,2,7,4,22,6,746,,12,758,
8,89,1,399,5,0,0,0,1,1,0,0,0,2,2,2,7,5,514,,5,519,
9,19,3,310,3,0,0,0,0,1,0,1,0,0,8,1,3,1,350,,3,353,
10,186,4,283,6,0,1,0,1,2,2,1,1,4,15,2,20,9,537,,8,545,
11,92,6,368,12,2,1,5,3,1,2,3,5,6,12,8,13,16,555,,22,577,
,,,,,,,,,,,,,,,,,,,,,,
12,89,3,344,2,1,0,0,0,3,0,1,2,1,4,1,9,9,469,,11,480,
13,88,6,339,1,0,0,1,0,0,0,1,1,1,0,0,4,1,443,,1,444,
14,117,9,250,3,0,1,1,0,1,1,1,3,0,4,3,4,12,410,,3,413,
15,94,6,341,6,2,0,1,1,0,1,2,1,1,4,2,2,5,469,,4,473,
16,184,11,258,5,1,1,0,8,0,0,1,3,2,6,3,6,6,495,,4,499,
17,266,3,364,2,0,2,0,1,0,0,1,0,2,5,2,14,6,668,,2,670,
18,68,9,404,6,0,1,0,1,2,2,0,1,1,4,2,3,5,509,,4,513,
19,116,6,378,7,0,3,0,1,0,2,2,1,1,4,4,14,10,549,,11,560,
20,134,11,306,4,1,1,0,0,0,1,0,0,1,2,2,11,7,481,,2,483,
21,198,6,383,4,2,0,2,2,0,1,2,5,3,6,3,12,4,633,,3,636,
22,25,3,348,6,2,0,1,0,0,0,2,2,3,1,7,5,2,407,,1,408,
23,124,5,297,4,1,0,1,0,1,1,4,2,3,3,6,13,8,473,,3,476,
24,114,7,311,4,2,1,2,0,2,1,1,3,7,5,5,20,7,492,,8,500,
25,271,2,326,9,2,2,3,2,0,0,1,0,6,5,5,19,8,661,,6,667,
26,21,1,376,0,0,0,0,0,1,0,0,0,1,2,0,1,2,405,,2,407,
27,109,2,325,17,2,1,2,0,3,2,1,1,1,0,1,7,4,478,,5,483,
28,227,7,296,12,1,1,1,0,1,0,0,1,4,4,2,11,14,582,,4,586,
29,83,2,272,14,8,0,2,1,0,0,3,1,1,4,3,9,1,404,,3,407,
30,296,8,160,0,0,1,2,2,5,2,1,1,2,3,4,13,7,507,,12,519,
31,303,5,94,2,1,0,0,1,2,0,0,2,2,2,4,8,13,439,,6,445,
32,239,3,209,2,4,0,2,0,1,0,2,0,1,6,4,15,2,490,,4,494,
33,178,18,128,4,2,1,1,2,1,0,1,1,1,6,5,10,6,365,,1,366,
34,42,2,233,38,1,0,0,0,0,1,0,0,2,2,0,6,0,327,,1,328,
35,246,2,182,1,1,0,1,1,0,0,1,0,4,3,3,4,3,452,,4,456,
36,176,6,103,1,0,0,0,1,0,0,1,0,3,3,1,5,13,313,,4,317,
,,,,,,,,,,,,,,,,,,,,,,
37,311,8,285,7,5,0,2,2,1,0,0,1,4,8,6,15,22,677,,8,685,
38,155,7,244,7,0,0,0,1,3,0,2,2,8,13,1,8,6,457,,5,462,
39,101,2,98,3,1,0,0,2,2,1,0,0,3,2,3,10,6,234,,5,239,
40,192,9,455,7,1,0,2,2,2,4,3,53,5,8,7,14,18,782,,22,804,
41,234,11,287,14,2,1,1,2,0,3,0,1,2,2,7,13,6,586,,15,601,
42,160,13,479,14,2,3,4,3,2,3,0,2,7,4,6,21,12,735,,18,753,
43,168,3,330,2,4,0,0,1,2,0,0,3,0,3,4,7,7,534,,5,539,
44,144,1,416,4,5,0,2,2,1,1,0,1,1,6,2,23,6,615,,3,618,
45,82,6,356,6,0,0,1,16,1,0,2,3,1,0,2,6,0,482,,0,482,
46,65,3,233,3,2,0,0,4,0,0,1,2,3,4,1,8,3,332,,4,336,
47,106,8,505,5,0,1,0,1,5,0,0,1,1,3,2,6,4,648,,5,653,
48,201,7,318,2,0,0,0,1,3,1,1,1,3,3,0,10,12,563,,10,573,
49,117,7,421,8,1,1,2,2,6,4,2,2,5,11,3,9,4,605,,2,607,
50,111,3,420,5,1,4,1,0,0,1,2,4,3,10,4,13,2,584,,5,589,
51,64,6,414,0,1,0,1,1,1,0,0,1,2,8,1,8,3,511,,13,524,
52,75,4,232,0,2,0,2,0,0,1,0,2,0,3,2,6,5,334,,6,340,
53,56,3,165,5,0,1,0,0,0,0,1,3,0,0,3,1,3,241,,9,250,
54,116,4,148,2,0,0,0,0,1,0,0,6,1,7,4,14,3,306,,4,310,
55,254,37,88,2,0,0,0,0,0,0,0,0,1,10,5,15,13,425,,1,426,
56,115,14,214,3,0,1,0,0,0,1,0,2,5,46,8,15,3,427,,4,431,
57,114,7,352,2,2,1,0,1,0,0,2,2,4,6,1,6,2,502,,6,508,
58,55,9,302,4,2,0,0,1,0,0,1,1,3,14,6,6,3,407,,2,409,
59,112,9,197,3,2,2,0,1,1,2,1,3,6,6,7,15,9,376,,2,378,
60,258,5,295,10,1,1,0,0,1,0,0,0,2,4,7,7,16,607,,5,612,
61,160,11,168,5,2,1,1,3,2,1,3,2,6,10,5,17,6,403,,1,404,
,,,,,,,,,,,,,,,,,,,,,,
62,138,13,227,6,2,4,0,2,3,2,2,1,2,4,2,5,16,429,,15,444,
63,198,18,605,11,1,2,2,3,1,1,3,3,3,3,1,10,6,871,,4,875,
64,27,7,373,8,1,1,2,0,3,2,1,4,1,6,2,10,5,453,,9,462,
65,21,12,619,7,1,0,2,4,1,1,3,4,3,9,2,11,7,707,,24,731,
66,74,8,442,9,6,3,1,3,2,2,0,3,6,8,11,14,7,599,,17,616,
67,98,8,439,12,1,4,3,2,5,2,2,3,5,10,14,27,2,637,,16,653,
68,4,1,296,0,3,0,0,0,0,0,0,0,1,5,0,1,0,311,,0,311,
69,66,0,248,7,1,1,1,0,0,0,0,1,0,0,2,1,3,331,,2,333,
70,111,7,206,4,4,1,4,4,1,1,2,5,2,7,7,20,4,390,,8,398,
71,221,7,274,7,0,0,0,0,0,0,0,3,1,1,2,10,6,532,,11,543,
72,158,3,483,3,2,0,1,1,1,0,0,0,0,2,3,9,8,674,,13,687,
73,63,2,160,4,0,1,0,1,0,2,3,1,3,0,1,1,2,244,,3,247,
74,160,7,275,4,0,1,1,2,1,0,0,2,1,1,6,14,11,486,,8,494,
75,93,2,170,1,1,0,1,1,1,0,0,0,0,2,0,2,2,276,,5,281,
76,188,4,151,2,0,1,0,0,0,1,1,1,0,3,3,6,3,364,,3,367,
77,8,0,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49,,0,49,
78,6,1,12,1,0,1,0,0,0,0,1,0,0,0,2,1,1,26,,2,28,
79,93,2,422,7,0,0,0,0,2,0,0,1,3,16,1,12,0,559,,6,565,
80,71,3,344,3,0,0,1,2,1,1,2,4,2,8,3,6,3,454,,7,461,
81,28,4,288,4,0,0,0,0,0,1,1,0,3,3,2,2,6,342,,8,350,
82,10,9,75,2,13,1,1,1,1,1,1,1,0,1,2,14,0,133,,0,133,
83,30,4,198,3,1,1,2,0,1,0,1,1,0,2,2,2,1,249,,5,254,
84,27,4,303,5,1,1,0,0,0,0,0,0,0,1,1,0,0,343,,1,344,
85,89,4,209,2,1,0,0,1,1,1,1,1,4,3,2,3,4,326,,1,327,
86,189,9,143,5,1,1,1,2,1,0,0,2,2,1,0,4,11,372,,4,376,
,,,,,,,,,,,,,,,,,,,,,,
87,158,4,313,5,2,1,1,0,0,0,0,5,0,2,1,5,3,500,,4,504,
88,84,7,189,1,0,1,1,0,0,1,1,1,0,1,1,4,0,292,,9,301,
