Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
,Dilip Patel,Purshottambhai Alias Kanubhai Mathurbhai Chauhan,Solanki Bharatbhai Madhavsinh,Girishbhai Das (Advocate),Padhiyar Vikramsinh (Vakil),Mahida Mahendrasinh Sahebsinh,Ravjibhai S Parmar,Hitendrasinh Mohansinh Parmar,Patel Jayeshbhai Arvindbhai,Patel Dilipbhai Manilal,Patel Naineshkuma r Umedbhai,Parmar Amarsinh Dahyabhai,Rabari Hiteshkumar Laljibhai,Vahora Firojbhai Walimahamad bhai (Kasorwala),Vaghela Bharat P,,,,,
234,171,3,341,1,1,2,0,3,0,0,0,0,5,9,5,541,0,9,550,0
235,481,6,107,3,0,1,0,0,0,0,0,0,0,1,6,605,0,13,618,0
236,243,10,186,5,0,0,4,0,0,1,1,2,3,8,4,467,0,11,478,0
237,256,1,201,1,0,0,0,0,1,1,0,1,3,7,7,479,0,14,493,0
238,159,3,449,4,0,1,0,1,0,0,0,1,0,4,3,625,0,6,631,0
239,209,4,221,3,0,0,0,0,1,0,0,0,2,4,4,448,0,14,462,0
240,279,0,127,1,1,1,1,0,1,0,1,1,1,0,2,416,0,8,424,0
241,137,6,387,4,3,0,0,2,2,0,0,0,1,2,4,548,0,7,555,0
242,139,10,350,5,1,0,3,0,0,2,2,0,1,2,3,518,0,3,521,0
243,124,1,217,2,2,2,0,2,1,0,0,1,1,2,2,357,0,2,359,0
244,264,2,55,1,0,1,0,0,1,0,1,0,0,1,1,327,0,5,332,0
245,463,2,289,1,1,1,1,0,0,3,0,2,1,2,1,767,0,3,770,0
246,224,3,513,6,0,6,0,0,1,2,3,1,5,7,7,778,0,6,784,0
247,424,6,471,0,3,3,5,1,2,2,0,1,3,8,11,940,0,11,951,0
