polling station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
42,163,306,11,0,0,2,2,0,1,3,1,4,0,0,2,8,4,8,1,2,1,1,0,1,1,522,0,4,526,0
43,198,288,3,1,1,1,1,1,1,2,0,1,1,3,2,10,10,6,1,0,1,1,1,1,1,536,0,6,542,0
44,82,689,6,0,0,1,0,0,0,1,0,2,0,0,2,8,6,14,1,1,0,1,0,0,0,814,0,3,817,0
45,204,273,8,2,2,0,0,0,1,0,0,1,4,0,1,3,6,4,0,0,1,0,0,1,1,512,0,2,514,0
46,131,359,6,1,5,1,1,1,2,0,0,0,1,0,2,2,8,2,2,0,1,0,4,2,1,532,0,1,533,0
47,190,428,9,1,1,0,0,0,0,0,1,1,2,1,1,1,6,2,2,2,0,1,1,1,3,654,0,3,657,0
48,346,230,7,3,0,3,0,1,1,0,0,1,0,1,3,7,10,6,0,1,1,0,0,0,4,625,0,8,633,0
49,122,374,5,2,1,1,1,2,0,1,1,0,0,1,4,1,2,4,1,2,0,1,1,0,2,529,0,2,531,0
50,111,128,2,0,1,0,0,0,0,1,0,0,1,0,3,5,1,2,1,0,0,0,1,1,0,258,0,0,258,0
51,93,274,1,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,1,0,377,0,3,380,0
52,218,385,2,0,1,1,0,0,0,1,0,0,0,0,0,0,4,1,1,0,0,0,1,1,0,616,0,1,617,0
53,284,501,7,2,1,4,0,0,0,0,1,2,1,2,3,2,4,1,1,0,1,0,0,0,1,818,0,4,822,0
54,67,344,5,1,1,0,1,0,0,0,0,2,0,2,1,6,2,3,1,0,1,0,0,3,3,443,0,4,447,0
55,128,211,2,0,0,0,0,1,1,1,2,1,1,2,1,5,7,3,3,1,0,0,1,1,1,373,0,2,375,0
56,135,423,5,0,0,0,0,2,0,1,1,2,0,1,5,3,18,4,4,3,2,0,0,0,1,610,0,13,623,0
