Serial No of polling station,NO. OF VALID VOTES CAST IN FAVOUR OF,,,,,,,,,,,,,,,,,,,,,
,KOLI PATEL SOMABHAI GANDALAL,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVAJIBHAI GOVINDBHAI,JETHABHAI MANJIBHAI PATEL,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVDA PALABHAI NANAJIBHAI,PARMAR PRABHUBHAI GOKALBHAI,PARMAR VASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRABHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,MANSINH SHIVUBHA ZALA,VADALIYA KALUBHAI MALUBHAI,VAGHELA PRAKASHBHAI BACHUBHAI,VORA BHAVANBHAI DEVAJIBHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI,Total of Valid votes,No. of rejected Votes (test votes),"Votes for ""NOTA"" option",Total,No. of tendered votes
59,102,1,488,3,0,0,0,0,0,0,0,0,1,2,0,0,1,598,0,30,628,
60,122,3,495,16,1,0,1,2,2,0,0,2,0,0,1,2,0,647,0,23,670,
61,157,3,606,11,1,1,0,0,1,0,1,7,0,1,0,4,5,798,0,36,834,
62,279,1,348,7,0,0,0,1,1,0,0,3,1,2,7,6,6,662,0,12,674,
63,179,1,383,10,0,1,0,0,1,1,0,6,0,7,3,2,5,599,0,12,611,
64,325,3,134,1,1,0,0,0,0,0,0,1,0,0,0,1,9,475,0,9,484,
65,501,4,98,13,0,0,0,2,1,0,1,1,3,1,3,73,10,711,0,7,718,
66,478,5,110,4,0,0,0,0,0,0,0,0,0,0,0,12,4,613,0,3,616,
67,509,3,30,3,0,0,2,0,0,0,1,0,1,0,0,8,7,564,0,2,566,
68,370,0,78,3,0,0,1,0,0,0,0,0,1,0,1,9,5,468,0,9,477,
69,290,5,512,19,0,0,0,2,0,0,1,1,2,2,1,7,7,849,0,6,855,
70,250,4,237,16,1,0,0,0,1,0,0,0,0,2,3,8,7,529,0,9,538,
71,368,5,456,17,0,1,0,3,1,1,1,0,1,18,1,10,13,896,0,5,901,
72,582,7,105,9,0,0,0,5,4,3,2,1,4,5,3,12,12,754,0,6,760,
73,156,0,300,4,2,0,0,0,0,0,0,0,1,2,3,1,4,473,0,8,481,
74,82,1,607,6,1,1,0,0,0,0,0,0,1,2,0,4,3,708,0,17,725,
75,157,2,594,9,1,3,1,0,2,1,0,1,0,1,0,4,6,782,0,16,798,
76,108,2,580,15,0,2,3,1,0,0,1,1,1,8,2,14,14,752,0,16,768,
77,80,2,656,12,0,1,0,1,1,1,0,0,0,1,3,9,6,773,0,26,799,
78,95,2,629,11,0,0,0,0,0,0,0,0,2,0,0,1,4,744,0,39,783,
,,,,,,,,,,,,,,,,,,,,,,
79,130,3,548,9,3,0,1,1,0,0,0,1,1,4,5,7,5,718,0,18,736,
80,75,0,573,8,2,1,0,0,2,0,2,1,1,3,4,9,1,682,0,10,692,
81,60,0,500,7,0,0,1,0,0,1,0,0,0,0,2,0,0,571,0,22,593,
82,84,4,383,11,0,0,0,1,1,0,0,2,0,0,2,3,4,495,0,14,509,
83,208,4,574,14,1,0,1,2,1,0,1,1,0,5,0,5,3,820,0,23,843,
84,658,5,64,6,0,0,0,1,0,1,0,1,0,0,0,2,29,767,0,3,770,
85,482,8,344,13,1,0,1,0,0,0,1,0,0,2,1,6,3,862,0,3,865,
86,109,2,539,12,4,0,0,0,0,0,0,0,0,3,0,8,2,679,0,8,687,
87,121,2,549,16,0,0,0,0,1,1,0,3,2,3,1,4,0,703,0,9,712,
88,271,1,570,17,0,1,1,2,2,0,1,0,2,4,4,3,3,882,0,13,895,
89,83,3,546,7,1,0,0,0,0,1,0,0,1,2,1,5,4,654,0,31,685,
90,108,1,531,13,0,0,0,0,0,1,0,0,0,1,1,4,3,663,0,33,696,
91,153,0,412,10,0,0,0,0,0,0,0,0,0,1,5,3,3,587,0,6,593,
92,65,0,503,18,2,0,0,1,0,0,0,1,1,0,0,1,2,594,0,28,622,
93,73,0,515,13,0,1,0,1,0,0,0,0,0,0,0,2,0,605,0,25,630,
94,179,3,283,4,0,0,1,0,0,0,0,0,1,1,0,1,3,476,0,16,492,
95,91,6,691,14,2,1,1,0,1,1,2,2,10,9,1,13,1,846,0,15,861,
96,82,1,541,9,1,1,3,0,0,0,1,1,0,1,0,3,1,645,0,18,663,
97,150,2,645,11,0,0,0,0,1,0,1,1,0,1,0,7,5,824,0,10,834,
98,132,4,667,12,0,1,1,0,0,0,0,0,1,2,1,4,2,827,0,16,843,
99,64,3,402,4,0,0,0,0,0,2,0,0,0,0,0,2,3,480,0,18,498,
100,94,3,640,13,0,1,0,2,1,0,2,3,1,1,2,6,3,772,0,33,805,
,,,,,,,,,,,,,,,,,,,,,,
101,168,2,343,6,0,1,0,0,0,0,0,0,1,1,0,3,4,529,0,22,551,
102,332,8,328,21,1,0,0,0,0,0,1,0,2,1,0,4,12,710,0,21,731,
103,338,1,418,10,1,2,0,0,0,0,0,0,1,3,3,7,12,796,0,7,803,
104,92,1,551,12,0,0,0,0,0,0,0,0,0,0,1,1,2,660,0,17,677,
105,65,0,468,10,0,0,2,0,0,1,0,0,0,0,0,3,2,551,0,43,594,
106,111,1,323,7,0,0,0,0,1,0,0,0,1,0,1,1,3,449,0,13,462,
107,87,1,385,4,0,0,0,1,1,0,0,0,0,1,0,1,1,482,0,10,492,
108,60,0,482,10,0,0,0,0,1,0,0,0,0,1,1,1,0,556,0,38,594,
109,112,0,588,16,0,1,1,2,1,0,2,1,3,6,2,10,8,753,0,13,766,
110,119,7,521,12,1,0,0,1,2,1,0,3,2,4,4,11,6,694,0,18,712,
111,81,4,476,10,1,0,0,0,0,0,1,0,0,2,2,3,2,582,0,21,603,
112,77,6,592,16,3,1,1,0,0,0,0,0,1,4,3,9,3,716,0,22,738,
113,142,8,668,12,2,0,0,0,1,0,0,0,4,13,4,7,4,865,0,17,882,
114,34,1,454,13,0,0,0,0,1,0,0,0,0,0,0,0,2,505,0,10,515,
115,73,2,377,16,1,1,0,0,0,0,0,1,2,3,0,4,2,482,0,16,498,
116,126,4,619,18,2,1,1,0,0,0,0,0,0,1,1,6,2,781,0,16,797,
117,108,2,406,7,1,0,0,0,0,0,0,2,0,1,1,2,2,532,0,15,547,
118,127,4,493,9,0,0,0,1,2,1,2,1,1,7,3,5,5,661,0,5,666,
119,99,2,686,10,2,0,0,0,1,0,0,0,0,0,3,5,1,809,0,8,817,
120,505,13,81,10,1,0,0,8,0,0,0,0,1,15,0,1,17,652,0,5,657,
121,276,3,476,7,1,0,0,4,1,0,0,0,3,3,2,11,7,794,0,9,803,
122,371,6,332,14,1,1,1,2,2,0,0,1,0,5,1,10,21,768,0,19,787,
,,,,,,,,,,,,,,,,,,,,,,
123,196,4,526,4,2,0,0,0,0,1,0,0,3,6,1,8,6,757,0,6,763,
124,51,1,240,5,0,1,1,2,0,0,0,1,0,1,0,2,2,307,0,6,313,
125,102,1,648,7,0,0,0,0,1,0,0,0,0,0,1,3,3,766,0,6,772,
126,175,7,617,5,0,0,1,3,1,0,1,0,2,7,3,18,11,851,0,9,860,
127,80,3,402,13,2,0,0,0,0,1,0,2,0,1,0,1,0,505,0,18,523,
128,107,0,251,4,0,0,0,0,0,0,0,0,0,1,0,0,3,366,0,12,378,
129,89,4,650,9,0,0,0,1,0,0,0,0,1,0,1,6,2,763,0,13,776,
130,160,4,538,5,1,0,0,0,0,1,0,2,1,1,3,12,2,730,0,9,739,
131,190,7,637,8,1,1,0,0,1,0,0,0,3,4,0,5,3,860,0,9,869,
132,732,7,86,2,1,1,1,2,1,0,0,1,1,0,4,9,11,859,0,2,861,
133,478,7,129,7,0,0,0,0,1,0,0,0,1,2,4,24,24,677,0,5,682,
134,85,4,673,18,0,1,0,0,0,0,0,0,0,0,0,5,3,789,0,33,822,
135,61,2,476,8,3,0,1,0,0,0,0,0,0,1,0,6,1,559,0,7,566,
136,54,3,533,14,0,1,0,1,0,1,0,3,1,0,1,2,2,616,0,25,641,
137,96,5,645,16,1,0,0,0,0,0,1,0,1,4,2,5,3,779,0,20,799,
138,75,7,746,13,1,1,1,0,1,0,5,2,1,4,0,5,2,864,0,23,887,
139,121,2,529,5,1,1,1,0,1,2,0,2,6,13,1,10,0,695,0,8,703,
140,375,7,101,11,9,0,1,14,2,1,0,0,1,1,6,5,8,542,0,5,547,
141,293,6,500,15,2,1,2,8,0,2,1,1,2,0,3,7,13,856,0,10,866,
142,192,7,565,6,2,1,1,4,1,3,0,1,4,6,2,6,5,806,0,6,812,
143,145,9,731,6,1,1,2,2,4,0,0,1,3,5,1,7,8,926,0,16,942,
144,455,21,84,6,11,1,17,43,0,1,1,0,0,2,3,7,12,664,0,10,674,
,,,,,,,,,,,,,,,,,,,,,,
145,78,3,560,10,1,1,0,0,0,1,1,1,1,3,1,2,3,666,0,17,683,
146,59,4,530,6,0,2,0,0,1,0,1,0,2,3,0,6,0,614,0,7,621,
147,151,1,166,10,0,0,0,1,0,1,0,0,0,0,0,0,0,330,0,6,336,
148,74,4,475,19,1,1,0,2,0,1,0,0,0,0,2,1,4,584,0,10,594,
149,90,3,546,13,1,1,2,1,0,0,0,0,0,0,1,5,2,665,0,23,688,
150,107,0,534,6,0,0,0,0,0,0,0,0,0,3,1,3,2,656,0,15,671,
151,505,3,255,8,1,0,0,2,0,0,0,0,0,1,1,9,5,790,0,7,797,
152,542,1,167,9,0,0,0,0,1,0,0,0,1,1,1,6,11,740,0,5,745,
153,421,4,373,3,0,1,1,5,0,1,1,1,1,2,2,6,9,831,0,7,838,
154,167,2,606,6,0,1,0,1,0,0,1,0,0,1,2,4,5,796,0,7,803,
155,109,0,563,10,1,0,1,1,0,0,2,1,2,1,2,3,2,698,0,5,703,
156,243,4,483,14,0,0,1,3,1,0,2,2,3,2,1,9,8,776,0,11,787,
157,469,18,143,10,0,0,0,7,0,0,0,1,0,1,4,4,6,663,0,5,668,
158,484,41,91,2,0,1,1,0,0,0,0,0,1,4,4,6,16,651,0,3,654,
159,325,13,179,6,4,0,0,2,0,0,1,0,0,2,0,6,14,552,0,3,555,
160,29,2,568,22,0,1,0,1,0,0,1,1,4,7,0,12,3,651,0,13,664,
161,70,5,564,52,3,1,0,2,0,0,2,0,1,6,2,8,6,722,0,4,726,
162,30,4,481,9,0,1,1,1,2,1,0,0,2,3,0,0,0,535,0,1,536,
163,39,1,519,19,1,1,0,0,0,1,0,0,3,8,4,6,4,606,0,7,613,
164,175,4,452,21,2,1,4,1,3,0,1,2,6,15,3,24,7,721,0,4,725,
165,51,0,500,8,2,0,0,0,2,1,4,1,4,16,2,7,3,601,0,4,605,
166,95,7,460,6,1,0,1,0,0,3,2,1,2,23,4,14,4,623,0,7,630,
,,,,,,,,,,,,,,,,,,,,,,
167,65,3,315,10,0,1,0,0,0,2,1,0,2,3,1,4,4,411,0,5,416,
168,69,0,357,8,3,0,0,2,0,0,1,2,0,3,3,3,2,453,0,7,460,
169,168,2,533,9,1,0,1,0,1,0,0,0,2,1,2,9,12,741,0,2,743,
170,189,5,656,21,2,1,2,1,0,1,0,2,1,2,1,5,3,892,0,12,904,
171,97,4,517,9,2,2,1,4,2,0,4,1,11,6,1,11,8,680,0,6,686,
172,55,3,482,14,0,2,0,0,2,1,1,2,2,2,1,4,5,576,0,13,589,
