Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,,,,,,
Serial No. of Polling Station,Chaudhary Haribhai Parthibhai Patel Joitabhai Kasnabhai Mahant Parsotamgiri Turantgiri Choudhary Adambhai Nasirbhai Sanjaykumar Somnathbhai Raval Gamar Vadhabhai Radhabhai Thakor Bhupataji Ravaji Dabhi Navajibhai Madhabhai Babaji Thakor Mahendrabhai Kesarabhai Bumbadia Madhu Nirupaben Natvarlal Shrimali Ashokbhai Balchndbhai Solanki Dineshkumar Aljibhai Solanki Saybabhai Nanabhai,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
135,45,221,11,1,0,0,1,0,1,2,2,0,4,4,292,0,0,292,0
136,74,355,13,2,1,0,0,4,0,6,3,2,4,5,469,0,22,491,0
137,44,454,19,3,0,0,0,0,0,4,1,2,6,10,543,0,24,567,0
138,21,220,10,2,7,0,0,1,1,0,0,2,4,1,269,0,2,271,0
139,53,443,15,1,0,0,0,1,0,3,2,6,5,9,538,0,31,569,0
140,272,321,6,0,1,0,0,1,1,0,2,1,3,9,617,0,6,623,0
141,220,296,8,0,4,2,0,1,0,2,1,1,4,12,551,0,26,577,0
142,329,239,5,1,1,0,0,0,0,3,0,2,1,7,588,0,15,603,0
143,107,400,14,2,2,0,1,6,2,0,0,3,11,16,564,0,17,581,0
144,58,253,10,1,0,0,0,1,0,0,0,1,5,4,333,0,9,342,0
145,17,325,17,2,0,0,0,0,0,2,1,1,4,12,381,0,15,396,0
146,251,73,3,0,1,0,0,0,0,0,0,0,2,1,331,0,4,335,0
147,34,270,7,1,0,1,0,2,0,0,0,1,6,2,324,0,8,332,0
148,188,543,18,1,1,2,4,1,2,2,5,5,9,13,794,0,19,813,0
149,60,482,20,1,10,3,1,10,1,2,2,3,7,10,612,0,21,633,0
150,50,468,6,0,1,0,0,2,1,4,1,2,10,6,551,0,14,565,0
151,211,318,3,2,5,1,2,0,3,4,1,2,7,15,574,0,23,597,0
152,18,314,9,0,6,2,0,3,0,1,1,8,6,9,377,0,10,387,0
153,75,477,13,4,1,0,2,1,4,3,7,11,10,33,641,0,32,673,0
154,26,224,20,2,1,0,1,0,3,2,3,0,3,5,290,0,10,300,0
155,100,140,15,1,1,0,2,1,0,2,1,1,4,11,279,0,17,296,0
156,514,108,5,0,4,0,3,1,0,6,1,4,7,9,662,0,12,674,0
157,228,384,1,0,0,0,0,0,0,0,0,0,2,1,616,0,5,621,0
158,107,447,22,7,3,0,1,0,1,2,1,4,3,21,619,0,35,654,0
159,79,274,9,2,2,0,1,1,0,5,3,5,5,6,392,0,23,415,0
160,77,609,15,5,1,1,0,1,6,4,4,2,11,10,746,0,29,775,0
161,72,403,10,1,2,0,3,5,0,4,0,2,11,9,522,0,16,538,0
162,148,338,13,1,0,1,0,1,0,3,3,6,11,11,536,0,21,557,0
163,74,363,16,2,1,0,2,2,1,2,3,3,14,18,501,0,16,517,0
164,267,282,16,3,2,1,1,2,2,5,5,3,22,18,629,0,46,675,0
165,201,390,21,1,3,1,4,2,3,8,6,1,8,9,658,0,35,693,0
166,48,409,16,2,4,1,3,1,4,3,3,6,13,14,527,0,37,564,0
167,229,311,10,0,2,0,3,1,2,4,1,0,1,8,572,0,6,578,0
168,93,359,12,0,1,2,0,5,4,2,1,2,2,9,492,0,13,505,0
169,24,461,17,1,0,0,2,7,0,3,0,4,4,4,527,0,10,537,0
170,303,207,9,0,0,2,0,5,0,0,1,1,3,9,540,0,12,552,0
171,47,356,13,0,1,3,2,0,1,10,2,2,7,11,455,0,20,475,0
172,85,282,3,0,3,0,1,0,0,1,1,0,2,1,379,0,7,386,0
173,92,645,19,2,3,0,1,0,2,0,3,1,8,12,788,0,13,801,0
174,62,625,14,2,3,0,1,2,0,1,3,2,6,14,735,0,21,756,0
175,143,425,24,2,4,1,2,0,1,1,7,4,13,9,636,0,35,671,0
176,39,408,21,2,1,0,1,3,1,1,1,0,6,21,505,0,12,517,0
177,40,503,13,1,1,3,1,1,2,0,1,3,13,5,587,0,9,596,0
178,26,356,8,1,0,0,0,1,0,0,0,4,7,3,406,0,18,424,0
179,161,330,17,7,0,0,1,0,1,4,1,3,10,13,548,0,22,570,0
180,63,328,10,1,3,7,3,0,2,5,1,6,8,7,444,0,18,462,0
181,63,372,5,0,0,3,0,1,0,1,1,6,7,7,466,0,15,481,0
182,216,263,7,2,3,1,2,2,3,5,4,1,6,13,528,0,13,541,0
183,102,534,10,2,6,1,0,3,2,7,4,6,12,15,704,0,17,721,0
184,30,522,13,0,3,1,1,0,2,0,5,6,11,20,614,0,25,639,0
185,215,275,15,5,3,1,2,4,2,2,2,2,5,15,548,0,21,569,0
186,36,282,12,1,3,0,0,0,1,1,1,2,5,7,351,0,9,360,0
187,49,464,12,1,2,0,1,1,2,2,3,4,10,23,574,0,20,594,0
188,132,293,8,3,2,0,0,0,1,2,0,0,4,3,448,0,12,460,0
189,49,290,14,1,1,0,0,0,1,1,3,2,6,7,375,0,6,381,0
190,262,49,2,3,0,0,1,3,0,8,1,2,4,9,344,0,16,360,0
191,270,128,1,1,2,0,0,0,0,0,1,1,1,0,405,0,8,413,0
192,172,117,3,0,0,1,0,0,5,0,0,0,0,4,302,0,10,312,0
