No. of Polling Station,,,,,,,,,,,,,,,,,valid,No. of Rejected votes (test votes),Votes for 'NOTA' option,Total,No. of Tendered Votes
,"Chauhan Devusinh Jesingbhai (BJP) Dinsha Patel (INC) Pandav Bhailalbhai Kalubhai (BSP) Abdul Razakkhan Pathan (Apna Desh Party) Badhiwala Labhubhai Jivarajbhai (AAP) Ranveer Pranayraj Govindbhai (Bahujan Mukti  Party) Khristi Adward (Independent) Chauhan Devusing Motishing (Indepen.)  Pathan Amanullakha Sitabkha (Independent) Parikh Viral Hasmukhbhai (Independent) Malek Yakubmiya Nabimiya (Independent) Malek Sadik Hushen Mahammd Husen  (Independent) Malek Sabirhusen Ismealbhai (Independent) Ratansinh Udesinh Chauhan (Independent) Roshan Priyavadan Shah (Independent) ""None of the Above""(NOTA)",,,,,,,,,,,,,,,,,,,,
134,206,192,4,0,1,0,0,0,0,0,0,1,2,0,8,15,429,0,15,429,0
135,115,381,7,1,1,0,0,2,0,0,0,0,4,0,3,10,524,0,10,524,0
136,209,264,5,1,2,0,2,0,0,0,0,1,0,1,9,23,517,0,23,517,0
137,258,221,10,2,2,2,2,2,1,3,4,6,5,6,4,29,557,0,29,557,0
138,94,190,3,0,2,1,0,0,0,0,0,0,0,0,1,5,296,0,5,296,0
139,380,123,4,0,1,0,0,1,0,0,1,0,3,3,2,18,536,0,18,536,0
140,425,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,430,0,1,430,0
141,347,144,8,1,1,0,1,1,0,0,0,1,1,0,3,8,516,0,8,516,0
142,225,391,7,2,1,0,0,0,0,2,0,1,1,2,10,9,651,0,9,651,0
143,243,266,2,1,5,2,0,1,0,1,0,1,0,4,6,16,548,0,16,548,0
144,380,91,3,0,0,0,2,0,0,0,0,1,2,0,1,9,489,0,9,489,0
145,350,79,2,1,0,0,0,3,0,2,2,1,5,8,12,23,488,0,23,488,0
146,278,79,0,0,3,0,0,0,1,0,0,2,0,0,2,11,376,0,11,376,0
147,275,58,0,0,3,0,0,0,0,2,0,0,5,1,7,22,373,0,22,373,0
148,264,298,9,1,3,1,1,1,1,4,1,2,2,1,10,14,613,0,14,613,0
149,144,231,2,0,1,0,0,0,1,1,0,2,0,0,2,10,394,0,10,394,0
150,238,124,2,0,2,0,0,0,2,1,0,1,1,3,2,14,390,0,14,390,0
151,99,221,35,3,2,0,0,0,1,1,1,2,3,8,11,10,397,0,10,397,0
152,425,98,1,1,0,1,0,0,0,0,0,2,0,1,2,13,544,0,13,544,0
153,423,116,3,0,2,1,0,0,0,0,1,0,1,4,6,12,569,0,12,569,0
154,393,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,399,0,0,399,0
155,268,198,29,0,2,0,1,1,2,0,0,5,2,7,10,26,551,0,26,551,0
156,339,272,10,1,2,0,0,0,0,0,0,0,0,3,1,5,633,0,5,633,0
157,276,134,2,1,1,0,1,1,1,2,0,0,1,2,14,21,457,0,21,457,0
158,279,96,5,0,2,1,0,1,0,0,0,0,2,0,1,15,402,0,15,402,0
159,642,142,4,0,2,1,1,0,1,2,0,0,2,1,3,29,830,0,29,830,0
160,484,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,488,0,1,488,0
161,523,10,1,0,0,1,0,0,0,0,0,0,0,0,3,11,549,0,11,549,0
162,398,168,5,2,4,1,1,0,0,0,0,3,1,1,2,13,599,0,13,599,0
163,468,148,7,0,5,0,1,0,2,0,0,3,2,1,6,12,655,0,12,655,0
164,202,16,0,0,0,0,0,0,0,0,0,0,0,0,1,7,226,0,7,226,0
165,374,44,0,0,5,0,0,0,0,0,1,1,0,4,2,28,459,0,28,459,0
166,268,238,3,2,2,2,0,0,0,1,1,1,1,4,6,20,549,0,20,549,0
167,349,90,5,1,10,0,0,1,0,0,0,0,0,0,0,9,465,0,9,465,0
168,318,71,3,1,2,0,1,1,1,1,0,2,4,2,1,14,422,0,14,422,0
169,193,237,1,2,14,0,2,3,0,1,1,3,4,2,4,6,473,0,6,473,0
170,512,103,17,2,0,0,1,1,0,0,0,0,1,4,3,6,650,0,6,650,0
171,452,122,5,0,2,0,2,1,1,0,0,0,1,4,2,14,606,0,14,606,0
172,230,202,63,3,3,2,1,0,0,0,1,1,5,3,3,12,529,0,12,529,0
173,465,124,4,1,3,0,1,0,1,1,0,1,4,2,5,28,640,0,28,640,0
174,117,20,3,0,1,0,0,0,0,0,0,1,1,1,2,5,151,0,5,151,0
175,89,7,2,0,0,0,0,1,1,0,1,0,2,6,3,15,127,0,15,127,0
176,337,158,4,1,2,1,1,2,1,0,1,3,0,3,5,13,532,0,13,532,0
