polling station,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Gamit Movaliyabhai Nopariyabhai .,Chaudhari Tusharbhai Amarsinhbhai.,Chaudhari Revaben Shankarbhai.,Vasava Parbhubhai Nagarbhai.,Chaudhari Chandubhai Machalabhai.,Chaudhari Reniyabhai Shankarbhai.,Jagatsinh Laljibhai Vasava,Bhailalbhai Chhanabhai Rathod,Gamit Surendrabhai Simabhai.,Rathod Rameshbhai Bhikhabhai.,,,,,
1,20,558,14,206,17,2,2,6,7,14,846,0,14,860,0
2,34,269,17,466,19,6,21,3,5,5,845,0,7,852,0
3,8,195,11,342,6,4,10,4,8,6,594,0,16,610,0
4,8,231,4,192,5,1,7,5,7,4,464,0,7,471,0
5,4,121,6,261,3,2,2,3,4,4,410,0,3,413,0
6,5,206,8,122,10,2,6,4,5,6,374,0,20,394,0
7,5,186,5,108,3,1,0,0,1,4,313,0,7,320,0
8,1,118,8,210,7,2,4,2,2,1,355,0,9,364,0
9,2,205,9,286,4,1,29,5,4,9,554,0,14,568,0
10,7,319,11,195,1,8,8,6,7,4,566,0,13,579,0
11,4,265,3,130,10,0,3,0,2,1,418,0,4,422,0
12,6,354,10,238,5,2,1,1,1,1,619,0,6,625,0
13,3,298,7,411,6,1,1,1,4,0,732,0,12,744,0
14,1,199,7,394,3,1,3,3,1,2,614,0,10,624,0
15,5,123,6,349,9,6,82,3,4,4,591,0,13,604,0
16,1,462,7,198,2,1,1,0,2,2,676,0,11,687,0
17,3,247,12,355,2,1,18,2,3,10,653,0,15,668,0
18,5,336,3,68,4,0,0,0,1,1,418,0,3,421,0
19,8,169,12,412,3,4,15,2,6,10,641,0,22,663,0
20,10,220,10,259,5,90,13,7,11,11,636,0,18,654,0
21,11,244,11,267,5,1,66,0,7,3,615,0,12,627,0
22,11,205,13,374,12,0,23,2,6,7,653,0,13,666,0
23,9,148,10,220,6,3,0,1,2,1,400,0,7,407,0
24,14,228,4,79,38,3,28,3,1,4,402,0,3,405,0
25,7,221,13,248,5,1,6,0,0,1,502,0,1,503,0
26,3,388,11,111,3,1,17,3,1,2,540,0,14,554,0
27,16,270,6,158,8,5,10,3,3,9,488,0,9,497,0
28,7,457,15,132,10,4,90,11,11,17,754,0,40,794,0
29,5,421,6,258,5,2,7,6,8,9,727,0,14,741,0
30,7,421,21,136,8,1,36,3,7,11,651,0,19,670,0
31,35,518,14,333,11,2,3,14,12,13,955,0,17,972,0
32,17,370,12,428,8,1,12,8,13,11,880,0,28,908,0
33,13,140,11,458,6,6,18,3,3,9,667,0,15,682,0
