polling station,,,,,,,,,,,,Total Valid Votes,No. of Reject votes,NOTA,Total,No.of tender votes
,Ishvarbhai Dhanabhai Makwana,Dr. Kirit P. Solanki,Chavda Mansukhbh ai Nagarbhai,Amrut Sonara,Narendra Sankhaliya,Dr. J.G. Parmar,J. J. Mevada,Aayar Muljibhai Khanabhai,Parmar Harjivanbhai Kalabhai,Solanki Rameshbha i Danabhai,Solanki Vitthalbhai Maganbhai,,,,,
204,84,685,2,4,1,0,14,0,1,0,3,794,,12,806,0
205,43,790,5,0,0,0,6,3,0,0,4,851,,20,871,0
206,105,365,7,3,0,1,1,1,0,1,5,489,,6,495,0
207,106,438,5,1,0,0,11,1,2,0,3,567,,11,578,0
208,28,569,4,1,0,1,9,0,0,1,1,614,,5,619,0
209,454,362,5,1,1,1,21,0,0,0,2,847,,17,864,0
210,96,646,2,1,0,0,10,1,0,1,0,757,,5,762,0
211,18,443,2,0,0,0,4,0,0,0,1,468,,5,473,0
212,83,588,0,0,0,0,13,1,0,1,1,687,,12,699,0
213,38,632,1,0,1,0,4,0,0,0,0,676,,13,689,0
214,97,544,3,0,0,1,8,0,0,3,5,661,,25,686,0
215,131,686,4,2,0,3,17,2,0,2,4,851,,18,869,0
216,131,706,7,0,0,0,18,0,1,1,4,868,,17,885,0
217,62,590,3,0,0,0,18,0,1,0,0,674,,11,685,0
218,77,852,2,1,2,0,13,0,1,0,1,949,,17,966,0
219,110,661,2,1,2,0,11,1,2,1,1,792,,23,815,0
220,83,663,5,0,1,0,20,0,0,0,2,774,,15,789,0
221,71,727,0,0,0,0,5,0,1,1,0,805,,21,826,0
222,81,721,3,0,1,0,12,0,1,1,4,824,,17,841,0
223,74,781,9,3,2,1,13,5,2,1,7,898,,20,918,0
224,25,814,1,0,1,0,12,0,0,1,3,857,,8,865,0
225,23,828,1,0,0,1,9,0,0,0,3,865,,6,871,0
226,23,738,1,0,0,0,14,0,0,1,2,779,,11,790,0
227,34,543,2,1,1,0,12,0,0,0,0,593,,13,606,0
228,29,818,4,0,2,0,8,0,0,1,0,862,,1,863,0
229,68,774,2,0,1,0,7,0,0,1,0,853,,13,866,0
230,52,431,2,1,2,1,11,2,0,0,0,502,,7,509,0
231,48,769,0,0,2,0,12,0,0,0,2,833,,14,847,0
232,79,584,2,2,0,0,3,0,0,0,0,670,,3,673,0
233,151,482,8,1,1,1,4,1,2,1,2,654,,6,660,0
234,30,439,3,1,1,0,7,0,0,1,0,482,,8,490,0
235,32,637,2,0,2,0,12,0,0,0,2,687,,7,694,0
236,68,803,0,0,0,2,21,2,1,0,0,897,,13,910,0
237,92,675,5,0,1,0,8,0,1,1,5,788,,15,803,0
238,62,812,0,1,1,0,19,0,0,1,7,903,,21,924,0
239,23,808,2,1,0,1,18,0,0,0,2,855,,6,861,0
240,83,729,5,0,1,1,16,0,2,1,2,840,,8,848,0
