polling station,,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Jadeja Kandhalbhai Saramanbhai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhadas,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G.R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbhai,,,,,
1,79,385,5,3,1,0,1,0,1,0,0,0,0,1,476,0,7,483,0
2,92,308,13,2,0,2,1,0,1,0,2,1,3,2,427,0,12,439,0
3,115,238,11,2,1,2,0,1,2,0,1,0,2,1,376,0,5,381,0
4,231,410,4,5,5,1,1,0,0,1,1,1,2,0,662,0,4,666,0
5,122,192,3,2,2,1,0,2,0,0,2,3,2,0,331,0,5,336,0
6,201,186,2,1,0,0,1,2,0,0,0,5,1,0,399,0,5,404,0
7,204,193,1,2,0,1,0,1,0,0,0,1,1,1,405,0,2,407,0
8,268,227,5,2,3,0,2,1,0,0,0,1,0,4,513,0,2,515,0
9,172,334,3,0,2,2,3,1,2,2,0,7,1,2,531,0,8,539,0
10,245,221,15,4,3,1,4,0,5,0,1,5,4,2,510,0,9,519,0
11,224,156,4,0,0,1,0,4,0,0,0,4,2,2,397,0,10,407,0
12,380,233,3,2,1,1,3,1,0,0,2,6,1,3,636,0,9,645,0
13,172,212,5,0,1,1,1,2,0,0,2,3,2,7,408,0,7,415,0
14,150,98,11,2,1,0,1,3,0,1,1,0,3,4,275,0,9,284,0
15,267,187,14,8,4,1,2,2,0,0,1,1,2,2,491,0,4,495,0
16,235,229,2,5,3,0,0,2,1,0,1,0,1,1,480,0,5,485,0
17,261,268,2,2,4,1,1,1,0,1,1,2,0,2,546,0,5,551,0
18,336,114,12,5,0,5,1,2,0,0,2,3,3,3,486,0,22,508,0
19,238,194,4,2,1,0,2,5,0,1,0,1,5,3,456,0,6,462,0
20,189,298,3,4,3,0,0,1,0,0,0,1,0,5,504,0,3,507,0
21,122,244,2,1,0,0,1,2,2,0,3,4,7,3,391,0,7,398,0
22,35,295,1,2,5,0,0,1,0,0,0,3,2,2,346,0,3,349,0
23,174,140,27,2,2,0,0,0,1,0,0,2,4,1,353,0,5,358,0
24,120,200,4,1,1,3,0,1,0,0,0,3,7,2,342,0,3,345,0
25,185,215,4,3,3,2,2,2,0,1,3,5,2,0,427,0,4,431,0
26,234,124,14,0,0,0,2,1,0,0,0,2,2,3,382,0,6,388,0
27,148,142,0,0,1,1,0,2,0,0,1,0,1,1,297,0,4,301,0
28,299,80,20,2,2,1,0,1,1,0,1,0,1,1,409,0,13,422,0
29,247,162,2,1,2,2,0,4,1,0,0,0,0,2,423,0,6,429,0
30,194,362,5,6,5,2,3,8,2,3,4,6,6,13,619,0,13,632,0
31,196,379,9,2,5,4,2,5,1,5,5,6,2,7,628,0,23,651,0
32,226,265,1,1,1,2,0,2,0,0,1,7,3,9,518,0,13,531,0
33,130,181,2,1,2,0,1,3,0,0,2,2,0,0,324,0,5,329,0
34,224,87,6,1,3,1,2,2,0,1,0,8,2,4,341,0,4,345,0
35,213,201,0,3,3,1,0,0,1,0,0,2,3,1,428,0,7,435,0
36,241,287,2,2,1,0,1,3,0,0,1,0,3,4,545,0,2,547,0
37,308,165,22,3,6,1,2,4,2,1,2,2,1,2,521,0,17,538,0
38,86,241,2,2,1,1,0,4,1,0,0,3,3,6,350,0,4,354,0
39,144,274,7,2,0,0,0,1,1,1,1,3,0,4,438,0,6,444,0
40,146,70,34,0,3,0,0,0,0,0,0,1,1,0,255,0,6,261,0
41,77,71,3,1,0,1,0,1,0,0,0,2,0,1,157,0,1,158,0
42,119,414,8,6,1,0,1,0,1,0,0,2,3,3,558,0,3,561,0
43,171,407,26,7,0,2,3,2,2,0,3,2,9,18,652,0,12,664,0
44,230,203,15,6,1,1,4,1,0,1,3,9,3,8,485,0,19,504,0
45,299,215,32,4,0,1,0,1,0,0,3,6,1,0,562,0,9,571,0
46,209,142,1,6,5,1,5,6,0,2,2,1,3,4,387,0,20,407,0
47,301,222,4,1,1,1,1,2,1,1,2,1,2,3,543,0,9,552,0
48,200,158,2,2,2,0,3,2,0,1,4,3,1,4,382,0,2,384,0
49,112,156,2,1,0,1,1,2,0,1,1,3,3,1,284,0,6,290,0
50,170,231,43,1,4,2,1,2,0,0,1,2,3,1,461,0,2,463,0
51,145,297,2,3,3,0,1,2,0,0,2,3,4,0,462,0,6,468,0
52,381,153,2,5,3,1,3,3,0,0,1,3,1,6,562,0,11,573,0
53,479,101,19,1,9,2,1,4,1,1,1,5,5,6,635,0,28,663,0
54,350,82,8,3,1,1,3,1,0,0,0,5,4,0,458,0,14,472,0
55,494,119,3,3,3,0,1,3,2,0,0,1,0,1,630,0,8,638,0
56,251,206,2,0,0,0,1,2,2,0,2,0,4,0,470,0,15,485,0
57,231,134,1,2,0,0,0,0,0,0,1,1,3,4,377,0,1,378,0
58,175,44,0,0,0,0,2,0,0,0,0,0,0,0,221,0,1,222,0
59,144,411,2,1,1,2,0,2,1,0,0,2,3,8,577,0,12,589,0
60,135,428,21,2,2,0,0,1,0,0,0,2,1,4,596,0,13,609,0
61,143,90,7,1,0,1,1,2,0,0,0,2,1,0,248,0,2,250,0
62,178,181,1,1,0,0,0,1,0,1,1,1,1,1,367,0,2,369,0
