polling station,,,,,,,,,,,,,,,,,,,,,,,,
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPA,No. Tendered Votes
57,186,444,5,0,2,0,0,0,0,1,1,1,2,1,10,6,4,14,8,684,0,684,0,0
58,260,238,2,3,0,1,0,2,0,0,0,0,0,0,3,1,11,4,7,533,0,533,0,0
59,492,64,1,0,0,1,0,5,0,0,0,0,0,0,0,3,6,1,3,577,0,577,0,0
60,163,406,8,4,1,2,1,0,2,0,2,1,3,4,7,15,5,3,2,626,0,626,0,0
61,16,212,5,0,1,1,0,2,0,0,0,0,0,0,1,2,0,4,2,246,0,246,0,0
62,516,196,5,1,1,2,0,3,0,1,0,0,0,1,2,5,14,3,5,756,0,756,0,0
63,252,170,1,0,1,0,0,5,0,0,0,1,1,0,3,5,4,3,1,447,0,447,0,0
64,202,204,1,1,0,0,0,0,0,0,1,0,1,0,4,6,8,7,0,434,0,434,0,0
65,66,162,7,1,0,0,0,5,0,1,0,0,0,1,1,3,2,7,4,260,0,260,0,0
66,386,341,6,1,1,0,1,2,0,1,0,0,0,2,7,14,10,3,1,778,0,778,0,0
67,291,419,5,1,0,2,1,4,0,1,0,1,1,4,7,16,12,13,4,782,0,782,0,0
68,128,247,2,0,0,1,0,1,2,2,0,2,2,6,7,23,0,1,1,425,0,425,0,0
69,541,208,2,0,0,0,0,4,1,0,0,1,1,2,7,19,53,18,13,871,0,871,0,0
70,224,278,3,1,0,1,0,7,1,1,1,0,1,3,7,12,4,1,4,549,0,549,0,0
71,75,247,6,0,1,3,0,5,2,1,0,0,0,2,5,4,4,12,1,368,0,368,0,0
72,410,278,8,1,1,0,5,4,1,0,0,3,3,0,8,12,7,7,7,752,0,752,0,0
73,498,232,4,2,0,3,1,6,0,1,1,2,3,1,1,5,16,5,10,788,0,788,0,0
74,368,121,1,0,0,0,0,17,1,0,0,0,0,0,0,3,1,0,13,525,0,525,0,0
75,427,97,1,0,0,0,1,29,0,0,0,0,0,0,0,1,3,0,5,564,0,564,0,0
76,361,378,2,1,1,1,3,12,0,0,0,1,1,2,2,11,6,7,5,793,0,793,0,0
77,385,133,1,0,0,0,0,18,0,0,0,0,0,0,0,1,2,0,14,554,0,554,0,0
78,597,92,5,2,0,0,0,27,1,0,0,0,0,0,1,2,7,0,6,740,0,740,0,0
79,312,362,8,3,3,0,0,8,0,1,1,0,1,0,3,12,21,10,11,756,0,756,0,0
80,107,28,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,142,0,142,0,0
81,664,230,4,1,1,1,0,41,0,0,0,0,0,0,0,4,1,1,24,972,0,972,0,0
82,432,180,2,1,0,0,0,33,0,0,0,1,1,0,1,2,1,0,18,671,0,671,0,0
83,306,143,4,0,0,0,1,31,0,0,0,0,0,0,0,1,0,0,9,495,0,495,0,0
