polling station,No.of valid votes cast in favour of,,,,,,,,,,,Total Valid Votes,No. of Reject votes,NOTA,Total,No.of tender votes
,Ishvarbhai Dhanabhai Makwana,Dr. Kirit P. Solanki,Chavda Mansukhbh ai Nagarbhai,Amrut Sonara,Narendra Sankhaliya,Dr. J.G. Parmar,J. J. Mevada,Aayar Muljibhai Khanabhai,Parmar Harjivanbhai Kalabhai,Solanki Rameshbha i Danabhai,Solanki Vitthalbhai Maganbhai,,,,,
1,73,158,1,0,1,0,1,0,0,0,3,237,,3,240,0
2,153,422,3,2,0,2,9,1,1,2,5,600,,5,605,0
3,174,673,3,1,1,1,23,0,0,0,1,877,,18,895,0
4,48,639,0,0,0,0,22,0,0,0,0,709,,21,730,0
5,49,556,2,0,0,0,16,1,0,1,0,625,,8,633,0
6,42,717,5,1,2,0,13,0,0,0,0,780,,24,804,0
7,20,482,0,0,0,1,12,0,0,0,2,517,,11,528,0
8,55,792,5,1,2,1,25,0,0,0,0,881,,23,904,0
9,41,604,1,0,1,0,20,0,0,0,1,668,,16,684,0
10,67,671,1,0,0,0,9,1,0,1,0,750,,25,775,0
11,136,380,1,0,3,0,12,1,1,0,1,535,,13,548,0
12,88,431,1,0,0,0,19,0,0,0,0,539,,12,551,0
13,70,376,0,0,2,1,26,0,0,1,1,477,,13,490,0
14,193,373,0,1,1,1,34,1,0,0,2,606,,13,619,0
15,114,534,3,0,0,1,30,1,1,0,0,684,,22,706,0
16,58,629,0,0,1,0,23,0,0,0,1,712,,26,738,0
17,61,779,5,0,2,0,22,0,0,0,1,870,,25,895,0
18,55,718,1,0,0,0,27,0,0,0,0,801,,33,834,0
19,67,566,3,0,0,1,16,0,2,0,0,655,,16,671,0
20,96,579,5,0,0,0,21,0,0,0,0,701,,18,719,0
21,68,753,2,0,2,0,39,0,0,1,0,865,,16,881,0
22,40,532,1,0,0,0,35,0,0,0,1,609,,26,635,0
23,74,385,2,0,0,0,22,0,0,0,0,483,,18,501,0
24,80,721,1,0,1,0,23,1,1,1,1,830,,26,856,0
25,50,734,3,2,0,0,19,0,1,1,0,810,,19,829,0
26,106,694,2,1,1,1,23,2,1,4,4,839,,29,868,0
27,42,477,1,0,0,0,11,0,0,0,0,531,,17,548,0
28,38,627,0,0,0,0,14,1,0,1,0,681,,20,701,0
29,30,670,3,0,1,0,24,0,1,0,0,729,,17,746,0
30,66,599,0,0,2,0,21,0,0,1,0,689,,20,709,0
31,189,379,25,1,0,0,11,1,0,1,0,607,,16,623,0
32,46,737,6,0,1,1,22,0,0,0,1,814,,19,833,0
33,271,302,35,0,0,1,7,0,0,0,4,620,,14,634,0
34,475,258,75,1,1,0,4,0,0,0,3,817,,13,830,0
35,50,654,1,0,0,2,13,0,0,0,1,721,,13,734,0
36,352,351,14,0,0,0,21,0,1,3,4,746,,22,768,0
37,218,485,5,0,2,4,8,0,0,2,2,726,,28,754,0
38,193,481,2,4,1,1,18,0,0,3,7,710,,25,735,0
39,437,220,37,2,0,0,13,2,1,3,2,717,,13,730,0
40,262,247,16,0,0,1,12,0,1,0,0,539,,15,554,0
41,120,334,12,0,0,1,10,0,0,0,0,477,,9,486,0
42,403,222,44,0,2,3,7,3,0,1,2,687,,14,701,0
43,459,228,71,0,1,0,6,0,0,0,2,767,,15,782,0
44,447,107,36,0,1,1,2,0,0,0,0,594,,11,605,0
45,399,150,41,3,1,0,5,2,1,0,3,605,,14,619,0
46,96,854,3,0,2,1,21,0,1,0,0,978,,27,1005,0
47,165,683,2,0,0,1,17,0,0,0,1,869,,22,891,0
48,40,800,1,0,0,0,22,0,0,1,0,864,,34,898,0
49,300,446,10,0,1,1,13,1,5,3,6,786,,20,806,0
50,35,487,3,0,1,0,12,1,0,0,1,540,,8,548,0
51,19,597,1,0,0,0,21,0,0,0,1,639,,21,660,0
52,58,645,0,0,2,0,11,0,0,0,1,717,,24,741,0
53,41,702,0,0,3,0,12,0,0,0,0,758,,10,768,0
54,50,840,1,0,1,0,17,0,0,0,0,909,,14,923,0
55,43,542,0,0,1,0,27,0,0,0,0,613,,18,631,0
56,77,315,0,0,0,0,30,2,3,1,1,429,,8,437,0
57,59,834,1,0,3,1,22,0,0,0,0,920,,27,947,0
58,150,444,0,0,0,0,11,0,2,3,4,614,,16,630,0
59,49,527,2,0,2,0,32,0,1,0,0,613,,20,633,0
60,99,505,2,1,0,1,22,0,1,0,2,633,,12,645,0
61,58,561,4,0,2,0,21,0,1,2,1,650,,22,672,0
62,80,726,1,1,1,1,22,0,1,0,0,833,,17,850,0
63,127,786,5,1,3,2,18,0,0,3,1,946,,16,962,0
64,487,113,1,0,0,1,71,0,0,1,1,675,,31,706,0
65,50,627,1,0,1,1,16,0,0,0,1,697,,16,713,0
66,106,459,2,0,1,0,17,0,0,0,1,586,,17,603,0
67,22,562,0,0,1,1,10,0,0,0,0,596,,13,609,0
68,34,412,1,0,0,0,18,0,0,0,1,466,,13,479,0
69,113,402,7,0,0,0,8,1,0,6,3,540,,25,565,0
70,200,360,10,1,1,1,17,1,1,4,5,601,,16,617,0
71,258,319,4,4,0,0,8,1,5,5,18,622,,27,649,0
72,207,271,4,0,0,3,6,0,3,1,12,507,,28,535,0
73,161,550,13,2,0,2,7,1,4,2,20,762,,25,787,0
74,65,461,1,0,0,1,16,0,0,0,0,544,,17,561,0
75,54,629,2,0,3,0,21,0,0,1,0,710,,14,724,0
76,23,570,3,0,1,0,12,0,2,1,3,615,,19,634,0
77,35,539,0,0,0,1,6,0,0,0,1,582,,9,591,0
78,54,485,2,0,0,0,8,0,0,1,2,552,,17,569,0
79,63,413,1,1,1,0,9,1,0,1,2,492,,17,509,0
80,85,392,4,1,0,1,14,0,0,1,3,501,,18,519,0
81,76,103,3,0,0,0,1,1,0,1,0,185,,2,187,0
82,96,544,3,2,1,1,9,0,1,0,7,664,,19,683,0
83,44,640,0,0,1,0,32,1,1,0,0,719,,10,729,0
84,166,522,2,0,0,0,20,0,0,0,0,710,,13,723,0
85,88,529,1,0,1,0,19,1,1,0,0,640,,11,651,0
86,25,566,4,0,2,0,21,0,0,0,0,618,,18,636,0
87,28,560,2,0,3,0,17,1,1,0,0,612,,18,630,0
88,39,518,3,0,1,0,10,0,0,0,1,572,,14,586,0
89,38,345,1,0,2,0,17,0,0,0,0,403,,3,406,0
90,124,485,2,0,0,2,22,0,0,1,0,636,,12,648,0
91,51,512,2,0,2,0,7,0,1,0,0,575,,10,585,0
