Serial No of polling station,,,,,,,,,,,,,,,,,,valid,Rejected Votes,Nota,Total,No. of tendered votes
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samratbhai Jerambhai,Chavda Palabhai Nanjibhai,Parmar Prabhubhai Gokalbhai,Parmar Vashrambhai Bavalbhai,Makvana Ukabhai Amrabhai,Makvana Vashrambhai Karshanbhai,Mansinh Shivubha Zala,Vadliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devjibhai,Sapra Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,,,,,
62,185,4,414,19,1,0,0,0,3,0,0,0,1,1,1,5,4,638,0,24,662,0
63,220,0,519,18,0,1,0,0,1,0,1,0,3,1,0,3,3,770,0,23,793,0
64,245,7,489,6,0,0,1,0,1,1,0,3,0,2,1,6,5,767,0,9,776,0
65,137,0,302,6,0,0,0,0,0,0,0,1,0,0,3,4,2,455,0,13,468,0
66,267,4,193,5,0,0,0,1,2,0,0,0,1,0,2,3,3,481,0,7,488,0
67,295,1,375,12,0,1,1,1,0,1,0,2,3,4,3,5,10,714,0,11,725,0
68,266,5,449,7,1,0,0,0,3,2,0,1,6,5,1,9,8,763,0,8,771,0
69,103,8,475,13,1,0,0,0,0,0,0,1,2,2,0,4,2,611,0,17,628,0
70,73,2,491,10,1,2,1,0,0,0,0,0,2,1,0,7,3,593,0,10,603,0
71,470,40,124,13,1,1,0,1,0,0,0,0,1,0,5,7,11,674,0,14,688,0
72,417,8,84,4,3,0,0,0,0,0,0,0,0,0,2,11,11,540,0,12,552,0
73,167,4,614,5,1,2,0,0,2,1,1,0,4,5,7,17,10,840,0,17,857,0
74,73,9,762,6,1,1,1,0,1,0,0,2,8,9,6,6,3,888,0,5,893,0
75,598,16,163,27,2,1,0,0,1,0,1,3,0,6,8,15,22,863,0,7,870,0
76,305,12,268,6,3,1,0,0,0,1,0,1,3,4,1,8,9,622,0,8,630,0
77,294,8,291,6,0,2,0,1,1,1,0,1,0,2,1,11,5,624,0,6,630,0
78,253,4,183,6,0,0,1,0,0,1,1,1,1,3,0,5,17,476,0,6,482,0
79,225,6,94,3,1,1,0,0,2,0,0,0,1,0,6,17,5,361,0,3,364,0
80,112,6,168,2,2,0,0,0,1,0,0,0,2,1,3,7,6,310,0,6,316,0
81,157,3,171,1,1,0,0,0,0,0,0,1,0,0,1,5,10,350,0,1,351,0
82,123,3,219,6,1,1,1,1,1,0,0,0,0,2,3,2,4,367,0,3,370,0
83,253,11,59,2,1,0,0,7,1,1,0,0,0,2,3,10,25,375,0,3,378,0
84,286,4,172,1,1,3,0,0,4,1,1,0,2,2,4,10,13,504,0,4,508,0
85,50,1,75,2,0,0,0,0,0,0,0,3,1,1,1,2,3,139,0,4,143,0
86,95,4,334,9,1,0,0,0,0,1,2,1,1,3,2,6,3,462,0,4,466,0
87,150,4,437,3,0,0,2,1,0,0,0,0,0,1,4,2,16,620,0,15,635,0
88,430,5,207,1,1,0,0,1,0,0,0,0,1,1,1,17,21,686,0,9,695,0
89,180,1,361,1,0,0,0,3,1,0,1,1,3,3,2,8,4,569,0,5,574,0
90,57,3,31,0,1,0,0,1,0,0,1,0,0,0,0,0,2,96,0,1,97,0
91,17,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,5,45,0,1,46,0
92,236,2,196,1,0,1,0,0,0,0,0,2,0,1,1,1,3,444,0,9,453,0
93,182,4,84,4,0,1,0,0,0,0,0,1,0,0,1,5,6,288,0,2,290,0
94,172,8,223,5,0,2,1,0,0,0,0,3,3,14,3,9,6,449,0,9,458,0
95,84,4,453,5,0,1,0,0,0,0,0,0,4,19,5,5,2,582,0,9,591,0
96,167,4,131,5,0,1,0,0,0,0,0,1,0,1,5,9,9,333,0,1,334,0
97,98,4,414,2,0,0,0,0,0,0,2,0,0,2,2,5,1,530,0,4,534,0
98,282,31,183,7,1,0,4,0,0,1,2,2,1,2,5,4,4,529,0,3,532,0
99,48,2,394,7,3,1,0,0,1,0,2,1,1,1,1,6,1,469,0,1,470,0
100,9,2,275,7,1,0,0,0,0,0,0,0,2,4,1,2,0,303,0,4,307,0
101,108,4,308,4,0,0,0,0,0,0,0,1,1,2,3,5,1,437,0,7,444,0
102,164,5,223,14,0,1,1,3,1,0,1,4,3,0,2,9,5,436,0,6,442,0
103,247,9,160,4,1,1,1,1,1,4,0,1,1,3,3,3,5,445,0,7,452,0
104,49,2,155,4,1,1,0,1,0,0,1,0,3,3,0,3,3,226,0,1,227,0
105,79,2,299,4,2,0,2,0,0,0,2,2,0,2,5,5,4,408,0,5,413,0
106,29,2,132,2,8,0,2,0,1,0,0,0,0,3,1,3,5,188,0,3,191,0
107,151,9,346,4,1,1,0,1,1,0,0,1,3,6,5,12,1,542,0,4,546,0
108,182,2,382,7,2,1,1,1,1,2,0,2,6,3,5,14,9,620,0,10,630,0
109,24,1,92,0,0,0,0,1,0,0,0,0,1,0,0,1,4,124,0,4,128,0
110,31,7,249,3,3,1,1,1,1,1,0,2,2,7,1,7,5,322,0,9,331,0
111,81,3,413,4,2,1,0,3,3,1,1,2,6,6,4,6,0,536,0,3,539,0
112,99,3,426,4,2,2,2,2,0,1,2,2,1,5,1,8,7,567,0,6,573,0
113,114,3,72,1,0,0,0,1,1,1,0,0,1,0,0,1,10,205,0,1,206,0
114,124,6,194,3,1,0,0,0,0,0,1,0,0,2,1,3,1,336,0,3,339,0
115,215,2,139,3,3,0,0,0,0,0,0,0,1,1,5,2,2,373,0,0,373,0
116,82,6,250,9,1,1,0,2,2,1,0,0,1,5,2,8,2,372,0,14,386,0
117,108,7,528,13,2,3,2,3,0,1,1,2,2,7,2,4,8,693,0,7,700,0
118,92,4,404,4,1,1,2,0,0,0,1,0,0,0,1,2,4,516,0,8,524,0
119,95,6,338,5,0,4,1,0,3,0,1,1,1,4,2,2,3,466,0,4,470,0
120,94,6,627,3,2,0,0,0,1,1,0,1,0,2,2,5,0,744,0,4,748,0
121,195,4,338,24,1,3,0,2,2,1,0,0,0,0,0,2,4,576,0,5,581,0
122,153,8,231,6,1,0,0,1,1,1,4,0,6,0,3,6,4,425,0,7,432,0
123,166,14,238,4,1,6,1,1,3,0,1,1,3,9,5,14,9,476,0,1,477,0
124,259,16,344,6,1,1,1,2,1,1,1,0,2,5,1,7,9,657,0,6,663,0
125,312,12,192,4,0,0,1,0,1,0,0,0,4,4,0,10,5,545,0,2,547,0
126,191,7,252,7,2,3,2,1,1,1,2,4,6,2,5,22,7,515,0,7,522,0
127,73,7,356,6,1,0,0,1,1,0,0,1,0,4,0,0,5,455,0,2,457,0
128,83,5,225,0,0,1,0,1,1,1,0,2,1,2,4,11,5,342,0,4,346,0
129,159,20,266,5,1,4,1,3,1,0,1,2,9,5,8,14,13,512,0,10,522,0
130,40,2,560,4,0,1,0,1,0,2,0,1,1,0,1,5,1,619,0,2,621,0
131,160,3,161,6,1,0,0,1,0,2,1,1,3,2,0,4,1,346,0,4,350,0
132,178,7,124,3,0,2,1,0,1,1,0,1,2,2,8,6,4,340,0,3,343,0
133,40,2,129,0,0,0,0,0,0,0,0,0,0,1,0,0,1,173,0,0,173,0
134,213,4,228,6,1,1,1,0,1,0,0,0,0,4,2,7,10,478,0,6,484,0
135,61,1,163,2,0,1,1,1,0,1,2,0,1,2,1,11,2,250,0,4,254,0
136,102,13,284,6,0,0,2,1,0,1,0,4,2,5,0,6,7,433,0,6,439,0
137,299,5,14,0,1,0,0,1,0,0,0,0,0,0,0,4,8,332,0,0,332,0
138,183,7,10,0,0,0,0,0,0,0,0,0,0,2,1,3,6,212,0,0,212,0
139,80,3,151,0,0,0,0,0,2,0,1,0,1,0,1,2,4,245,0,5,250,0
140,79,8,170,0,4,1,1,2,6,2,0,0,11,1,2,7,6,300,0,4,304,0
141,396,12,126,4,2,0,3,1,4,1,1,0,3,3,6,10,11,583,0,6,589,0
142,209,8,182,11,0,1,2,1,1,2,0,1,3,4,2,8,8,443,0,3,446,0
143,220,10,117,3,2,1,1,1,0,1,2,1,1,2,3,7,11,383,0,3,386,0
144,109,1,246,4,0,2,0,0,1,1,0,1,0,3,2,7,2,379,0,6,385,0
