Sr.No of Polling Station,No.of Valid Votes Cast Favour of,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Voted,,Total,No.Tendred Votes
,KOLIPATEL SOMABHAI GANDABHAI,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVJIBHAI GOVINDBHAI,PATEL JETHABHAI MANJIBHAI,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVADA PALABHAI NANJIBHAI,PARMAR PARBHUBHAI GOKABHAI,PARMARVASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRATBHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,ZALA MANSINH SHIVUBHA ,VADALIYA KALUBHAI MALUBHAI,VAGEHLA PRAKASHBHAI BACHUBHAI,VORA BHAVABHAI DEVABHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI ,,,NOTA,,
61,129,5,409,7,0,0,0,0,0,1,0,1,0,0,0,2,1,555,,11,566,
62,150,4,230,3,0,1,0,2,0,0,0,1,0,0,2,7,3,403,,5,408,
63,165,1,262,10,0,0,0,0,0,0,0,0,1,1,0,1,6,447,,13,460,
64,97,0,122,0,1,0,0,0,0,0,0,0,2,1,1,1,2,227,,2,229,
65,36,1,570,5,0,0,0,0,0,0,0,0,2,2,0,7,2,625,,7,632,
66,44,1,409,4,0,0,0,0,0,0,0,0,0,2,1,2,1,464,,2,466,
67,202,2,146,6,0,0,1,0,0,0,0,0,0,1,0,4,8,370,,3,373,
68,122,4,494,9,1,1,0,0,0,0,0,2,2,7,0,8,7,657,,8,665,
69,111,7,409,4,3,3,0,0,0,0,0,1,0,3,1,3,7,552,,4,556,
70,142,4,287,8,1,1,0,1,0,0,0,0,3,4,1,15,3,470,,1,471,
71,47,2,373,5,1,0,1,0,2,0,0,2,0,1,1,3,1,439,,1,440,
72,102,2,166,1,0,1,1,0,0,0,0,2,0,0,2,5,6,288,,4,292,
73,267,8,159,3,1,0,1,1,4,3,1,0,1,1,3,6,15,474,,5,479,
74,230,3,67,1,1,2,0,0,0,0,0,0,0,2,2,7,6,321,,2,323,
75,379,10,172,3,3,1,3,3,0,1,0,0,2,1,11,18,27,634,,1,635,
76,181,5,178,6,1,3,0,0,1,0,0,1,3,0,3,9,6,397,,4,401,
77,284,2,171,0,0,1,1,0,1,0,1,0,1,3,7,2,16,490,,9,499,
78,429,4,91,3,0,0,0,1,0,0,1,0,1,2,3,11,13,559,,5,564,
79,97,8,133,1,2,0,0,0,1,0,0,0,1,3,3,4,9,262,,13,275,
80,88,7,354,2,0,1,1,0,0,1,0,0,0,3,0,0,2,459,,6,465,
81,96,7,314,8,2,0,0,0,2,0,2,1,5,6,3,9,6,461,,3,464,
82,194,4,166,3,0,0,0,0,0,0,0,0,0,5,0,1,1,374,,0,374,
83,55,4,300,3,0,0,0,0,0,0,0,0,1,1,0,2,2,368,,1,369,
84,445,2,28,0,0,0,0,0,0,0,0,0,0,0,1,3,4,483,,0,483,
85,303,2,30,0,0,0,0,0,0,0,0,0,1,3,1,6,10,356,,2,358,
86,365,1,72,2,0,0,2,1,1,0,1,0,0,2,2,3,3,455,,2,457,
87,21,5,556,11,1,0,0,0,0,0,2,3,1,4,1,4,0,609,,2,611,
88,110,6,174,3,0,0,0,0,1,0,0,1,1,2,1,3,2,304,,0,304,
89,163,6,243,5,0,0,1,0,2,1,1,0,2,8,1,8,1,442,,1,443,
90,22,4,239,5,1,0,0,0,0,0,0,2,0,7,1,2,1,284,,1,285,
91,119,9,313,6,0,0,1,1,0,3,0,0,4,2,5,4,3,470,,5,475,
92,184,12,306,3,2,1,4,3,2,3,3,1,4,5,7,12,1,553,,4,557,
93,33,5,152,6,0,0,0,1,0,0,0,1,0,0,0,2,1,201,,0,201,
94,78,6,208,1,2,0,0,2,0,0,0,1,1,4,3,2,9,317,,8,325,
95,105,12,333,3,4,0,0,2,1,2,3,2,3,3,0,11,2,486,,7,493,
96,80,1,161,5,0,1,0,0,0,0,0,1,0,0,2,5,3,259,,5,264,
97,661,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,674,,1,675,
98,60,2,180,5,0,1,0,0,0,0,1,2,2,4,1,5,5,268,,3,271,
99,74,3,144,4,1,0,0,0,0,1,0,0,1,2,2,18,3,253,,2,255,
100,33,3,253,3,0,1,0,2,0,0,0,1,1,1,0,1,2,301,,6,307,
101,111,5,237,8,1,1,0,0,0,1,0,2,1,3,1,9,3,383,,2,385,
102,68,5,201,2,2,1,1,0,1,0,0,0,1,1,1,3,2,289,,6,295,
103,460,5,105,7,1,1,2,0,1,1,0,0,5,2,10,18,19,637,,3,640,
104,99,4,243,11,0,1,1,0,0,2,2,1,3,5,3,11,3,389,,9,398,
105,205,8,212,9,0,0,0,1,4,0,1,1,2,3,7,12,9,474,,4,478,
106,156,5,203,4,0,0,1,0,0,1,0,0,2,2,6,8,4,392,,4,396,
107,17,3,186,6,0,1,0,0,0,0,1,0,1,0,0,9,1,225,,1,226,
108,52,3,186,8,0,0,0,2,0,0,0,0,0,1,1,2,1,256,,5,261,
109,107,1,109,4,2,0,1,0,1,0,0,0,1,0,1,3,3,233,,3,236,
110,52,1,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,,0,226,
111,150,3,313,4,0,1,1,0,0,0,0,1,2,2,2,5,9,493,,4,497,
112,175,1,373,1,1,0,0,0,0,0,0,0,0,3,0,2,4,560,,3,563,
113,55,1,281,3,1,0,1,1,1,2,0,0,0,2,5,6,2,361,,1,362,
114,18,2,154,2,0,0,0,0,0,1,0,1,1,2,1,0,0,182,,2,184,
115,162,7,85,5,0,1,0,0,0,0,1,1,0,0,3,8,2,275,,1,276,
116,81,1,65,13,0,1,0,0,0,0,0,1,0,1,2,8,2,175,,1,176,
117,259,2,58,4,1,0,0,1,2,0,1,0,0,2,2,6,6,344,,2,346,
118,164,11,224,2,0,2,1,7,0,4,2,2,3,2,6,11,6,447,,5,452,
119,76,2,211,3,0,0,0,0,0,0,0,0,0,1,0,2,10,305,,3,308,
120,130,4,174,1,1,1,1,2,0,0,0,0,0,2,8,3,7,334,,4,338,
121,347,11,197,5,2,2,2,2,0,1,2,0,0,1,3,1,10,586,,2,588,
122,164,4,307,5,2,0,0,3,3,0,2,3,3,4,4,17,5,526,,3,529,
123,41,6,531,2,0,0,0,0,0,0,1,1,3,2,3,10,3,603,,0,603,
124,119,1,111,2,1,1,1,0,0,0,0,3,0,4,4,8,13,268,,11,279,
125,54,7,145,8,1,0,0,1,1,3,1,2,5,12,5,12,4,261,,9,270,
126,269,3,123,5,0,1,0,1,0,0,3,0,0,1,0,4,4,414,,2,416,
127,303,5,103,1,1,0,0,1,2,0,1,1,0,3,2,12,12,447,,3,450,
128,303,9,96,1,1,0,1,2,0,0,1,0,0,1,3,8,9,435,,4,439,
129,343,13,171,4,1,4,0,0,1,0,4,3,1,8,9,4,15,581,,4,585,
130,404,7,104,2,2,2,0,5,3,2,4,2,4,4,10,24,3,582,,1,583,
131,124,2,124,1,1,1,2,1,1,0,0,0,5,3,2,5,9,281,,3,284,
132,336,5,315,6,1,1,0,0,1,0,3,1,5,1,3,5,8,691,,3,694,
133,297,9,180,8,3,2,0,2,0,1,0,2,2,0,0,10,1,517,,2,519,
134,269,6,201,6,1,0,0,3,0,1,0,0,2,4,6,11,12,522,,2,524,
135,215,4,288,12,2,1,0,2,2,1,3,0,1,1,1,9,5,547,,9,556,
136,202,7,331,13,2,0,3,3,2,2,2,7,5,4,9,12,7,611,,6,617,
137,148,13,428,14,2,7,1,3,2,1,1,1,0,2,4,10,9,646,,1,647,
138,179,8,325,5,2,0,0,1,1,1,2,1,4,2,5,16,5,557,,3,560,
139,123,4,268,8,0,0,0,0,0,1,1,0,0,2,1,11,7,426,,4,430,
140,134,5,317,4,0,0,0,1,1,0,0,0,2,0,2,7,7,480,,3,483,
141,246,4,293,1,0,0,1,2,1,0,0,0,0,2,1,11,3,565,,0,565,
142,54,1,151,8,1,1,0,2,1,0,1,0,1,1,3,3,3,231,,6,237,
143,226,2,175,8,3,2,1,0,3,2,1,3,4,4,1,5,4,444,,4,448,
144,475,1,109,21,3,1,1,0,0,0,1,1,2,1,4,10,9,639,,6,645,
145,464,4,181,16,2,1,0,0,1,0,0,1,2,3,1,8,16,700,,7,707,
146,399,5,235,4,0,1,1,3,0,0,0,1,2,2,2,2,2,659,,2,661,
147,190,2,408,10,2,3,0,3,2,1,1,1,5,2,3,16,5,654,,13,667,
148,141,1,374,15,2,1,1,2,1,1,0,2,1,2,2,10,5,561,,8,569,
149,360,4,226,14,0,0,0,0,0,0,0,0,0,0,0,2,10,616,,1,617,
150,184,2,142,15,0,0,0,0,0,1,1,0,0,1,3,8,1,358,,3,361,
151,256,6,208,8,3,0,0,0,1,0,0,3,0,2,1,7,7,502,,1,503,
152,191,9,206,23,1,0,2,3,1,0,1,0,1,1,1,9,8,457,,1,458,
153,231,1,270,13,0,2,0,0,0,0,1,1,0,1,1,3,3,527,,2,529,
154,164,2,167,18,2,1,0,1,0,0,0,1,1,2,1,6,7,373,,5,378,
155,375,6,184,29,2,0,1,2,2,2,0,1,3,3,4,11,8,633,,3,636,
156,306,11,143,7,3,1,1,5,3,4,3,3,5,6,11,13,26,551,,9,560,
157,130,10,179,6,1,0,1,3,3,4,1,1,3,5,6,12,8,373,,1,374,
158,383,8,242,6,0,2,1,11,4,1,1,6,10,9,11,23,14,732,,11,743,
159,374,11,290,5,4,1,0,5,3,1,1,5,4,4,4,9,13,734,,15,749,
160,423,12,215,3,4,5,2,3,5,3,4,4,6,3,4,12,15,723,,15,738,
161,321,11,238,6,10,4,1,4,4,0,1,1,2,5,2,24,13,647,,3,650,
162,198,10,374,17,3,2,3,5,3,2,0,3,6,4,3,15,8,656,,5,661,
163,155,4,155,7,0,0,0,2,0,0,1,1,0,0,0,7,0,332,,1,333,
164,241,4,202,8,1,1,0,0,0,0,0,0,2,2,3,12,10,486,,7,493,
165,153,5,272,13,0,0,1,1,1,1,2,0,1,12,4,5,5,476,,5,481,
166,423,8,182,20,0,1,2,0,1,3,4,2,0,0,4,10,14,674,,2,676,
167,213,3,264,4,3,1,1,0,2,3,0,3,1,4,0,9,12,523,,9,532,
168,131,4,220,2,0,0,0,1,1,1,0,0,1,2,0,19,6,388,,0,388,
169,232,10,230,8,1,0,2,1,0,0,0,2,3,4,4,7,4,508,,2,510,
170,61,3,174,9,0,0,0,1,0,0,1,1,0,1,0,1,5,257,,3,260,
171,120,24,137,1,3,2,0,0,0,0,1,0,0,1,1,4,3,297,,1,298,
172,56,3,351,12,1,0,0,0,3,0,3,0,2,2,2,5,4,444,,3,447,
173,86,5,401,9,0,0,1,2,1,3,1,1,3,3,1,7,4,528,,9,537,
174,146,7,463,7,2,1,1,2,3,2,0,2,1,5,6,7,3,658,,15,673,
175,124,8,310,4,1,1,2,1,2,1,0,2,3,2,5,8,4,478,,2,480,
176,113,4,230,8,0,1,0,3,0,0,1,0,0,1,2,4,2,369,,6,375,
177,378,12,292,6,0,3,2,5,4,1,0,3,5,4,7,22,10,754,,2,756,
178,146,5,342,20,1,2,0,4,4,0,1,2,3,7,2,10,2,551,,2,553,
179,140,15,416,12,1,3,1,7,2,1,1,1,7,2,8,20,14,651,,5,656,
180,211,15,466,12,2,4,6,3,1,2,3,4,4,2,4,11,8,758,,8,766,
181,239,10,225,7,1,1,2,4,5,1,0,0,0,1,1,14,6,517,,10,527,
182,111,5,341,10,0,2,1,3,1,0,3,1,3,2,4,8,2,497,,6,503,
183,104,3,364,6,0,2,3,1,0,1,2,2,9,7,10,17,12,543,,9,552,
184,85,1,428,10,1,1,1,2,2,1,0,4,3,5,8,8,11,571,,4,575,
185,138,4,104,4,3,1,0,0,1,0,0,0,0,2,1,7,11,276,,2,278,
186,98,8,399,4,0,5,2,4,4,1,4,2,1,6,6,21,4,569,,4,573,
187,51,5,289,2,1,1,0,1,2,2,1,0,1,3,8,4,2,373,,2,375,
188,214,9,236,7,0,2,0,0,0,0,1,0,0,3,4,9,3,488,,3,491,
