polling station,Number of valid vote cast in favour of,,,,,,,,,,,,,,,,Total  Of  Valid  Votes  Tendred,No. of   Vote  Rejected  (Test  Votes),Total,No of  Tendered  Votes
,Chauhan  Devusinh  Jesingbhai  (Chauhan  Devusinh),Dinsha  Patel,Pandav  Bhailalbhai  Kalubhai,Abdul  Rajjakkhan  Pathan,Badhivala  Labhubhai  Jivrajbhai,Ranvir  Pranavraj  Govindbhai,Khristi  Advord  Khushalbha i,Chauhan  Devusinh  Motisinh,Pathan  Amanullakha  Sitabka,Parikh Viral  Hasmukhbh ai,Malek  Yakubmiya  Nabi miya,Malek  Shadikhusen  Mahmadhuse n,Malek  Sabirhusen  Ismailbhai,Ratansinh  Udesinh  Chauhan,Roshan  Priyvadan  Shan,NOTA,,,,
236,85,209,1,0,0,0,0,0,0,0,0,0,1,0,5,1,302,0,302,0
237,424,69,8,2,1,2,1,4,2,2,1,2,3,6,7,15,549,0,549,0
238,294,154,1,0,0,1,0,1,0,0,0,0,1,4,5,33,494,0,494,0
239,380,62,2,0,0,0,0,1,0,0,0,0,2,1,0,22,470,0,470,0
240,116,604,0,0,0,0,0,0,1,0,1,1,1,3,6,12,745,0,745,0
241,438,197,6,2,3,0,0,3,2,0,3,4,4,4,10,17,693,0,693,0
242,518,104,4,2,3,0,3,2,3,1,2,1,3,4,6,17,673,0,673,0
243,523,113,5,4,0,1,1,2,2,0,3,0,2,1,1,12,670,0,670,0
244,348,38,2,0,0,1,0,1,0,0,1,0,1,2,8,38,440,0,440,0
245,564,136,6,0,0,1,1,1,0,0,3,2,5,3,9,38,769,0,769,0
246,314,30,1,0,0,0,1,0,0,0,0,1,1,0,4,18,370,0,370,0
247,466,33,4,0,0,0,0,0,0,0,0,1,0,0,4,16,524,0,524,0
248,582,26,4,1,0,0,1,0,1,0,0,1,4,3,4,27,654,0,654,0
