Serial No. of Polling Station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid,No. Of rejecte d Votes,NOTA,Total,NO. OF Tender ed Votes
,AHIR VIKR AMB HAI,POO NAM BEN HEM,SAM A YUS UF,KAS AMB HAI,JHAL A RAJE NDR,SAIY AD ABU BAK,CHA NDR AVIJ AYSI,DALI T ASH OK,DALI T JITE SH,DHA NJIB HAI LALJ,DHA RAVI YA VAL,NARI YA PRA VINB,PAD HIY AR LALJ,PAN DYA CHIR AGB,BAT HWA R NAN,MA MAD HAJI BOLI,MEM AN RAFI K,VAG HER ALI ISHA,VAG HER JAVI DBH,VAN IYA GAN GAJI,SAC HAD A HABI,SUT HAR HAN SAB,SUM ARA AMA NDB,SOD HA SALI MBH,SAN DHI MA MAD,,,,,,
178,337,274,6,0,0,4,1,1,2,1,0,2,0,3,2,10,4,2,1,0,0,1,0,2,1,5,654,0,5,659,0
179,173,231,7,1,0,1,1,0,0,0,1,0,3,1,0,6,2,2,1,0,0,0,0,2,1,0,433,0,0,433,0
180,189,322,3,1,0,0,1,1,0,1,0,1,0,2,5,1,3,1,0,1,1,0,0,0,0,3,533,0,3,536,0
181,220,199,3,0,1,0,0,0,2,3,1,4,1,4,2,9,2,2,0,1,2,1,2,0,0,3,459,0,3,462,0
182,138,99,0,3,0,0,0,0,1,0,0,0,1,0,2,3,4,1,0,0,0,0,0,0,0,0,252,0,0,252,0
183,240,154,4,2,0,1,1,2,0,0,1,0,1,0,1,4,3,3,0,1,0,0,1,1,0,1,420,0,1,421,0
184,275,333,3,1,2,0,0,0,0,1,2,1,0,0,2,4,1,3,1,0,0,0,0,1,0,3,630,0,3,633,0
185,241,196,1,2,0,1,2,3,0,0,0,3,0,0,3,1,1,3,1,1,0,0,0,1,0,0,460,0,0,460,0
186,100,72,1,0,1,0,0,0,0,0,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,181,0,0,181,0
187,46,159,3,0,1,0,0,0,0,1,0,1,0,1,0,4,0,4,0,1,1,0,0,0,0,2,222,0,2,224,0
188,291,295,5,0,0,0,1,1,0,0,0,2,1,1,1,10,3,3,1,2,0,2,0,1,0,6,620,0,6,626,0
189,46,129,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,178,0,0,178,0
190,272,191,2,2,1,0,1,0,1,0,0,0,0,0,1,2,2,1,0,0,1,0,0,0,1,0,478,0,0,478,0
191,103,162,1,1,0,0,0,1,0,0,1,0,0,0,2,1,3,1,1,0,0,0,1,0,2,1,280,0,1,281,0
192,273,289,8,0,0,0,0,1,2,1,1,1,2,2,5,6,2,1,0,0,1,0,2,0,3,1,600,0,1,601,0
193,380,200,1,0,1,2,0,0,1,0,1,0,0,0,3,4,4,2,1,0,0,0,0,0,0,0,600,0,0,600,0
194,219,320,5,0,0,3,0,0,0,0,0,1,0,1,2,3,1,1,0,0,1,0,0,1,0,2,558,0,2,560,0
195,206,189,0,1,0,0,1,1,0,0,0,2,0,1,1,1,3,3,1,2,1,0,0,0,1,3,414,0,3,417,0
196,85,243,4,0,0,2,0,0,0,0,1,0,0,1,3,7,2,3,1,0,0,0,1,0,0,2,353,0,2,355,0
197,147,202,4,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,0,0,0,0,0,2,361,0,2,363,0
198,191,184,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,2,0,0,0,0,0,1,384,0,1,385,0
199,129,99,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0,234,0,0,234,0
200,222,290,5,0,3,0,0,2,0,0,0,2,3,1,3,9,2,2,0,1,0,1,0,1,0,0,547,0,0,547,0
201,131,114,0,1,0,0,0,0,0,1,0,1,0,0,1,2,3,0,2,0,0,0,2,0,0,0,258,0,0,258,0
202,155,100,6,0,0,0,1,1,0,0,0,2,1,0,0,1,7,2,0,0,0,0,0,1,2,0,279,0,0,279,0
203,207,280,1,1,0,0,0,1,1,0,1,1,0,2,3,2,5,0,0,0,0,0,0,0,0,2,505,0,2,507,0
204,95,423,2,0,2,0,0,0,0,0,1,0,1,0,1,5,1,4,1,0,0,1,1,0,0,6,538,0,6,544,0
205,109,233,3,0,0,0,0,0,2,1,0,1,2,0,1,4,8,5,0,0,0,0,1,2,1,5,373,0,5,378,0
206,169,182,1,2,1,0,0,0,0,0,0,0,0,0,2,4,11,9,0,1,0,0,1,1,1,3,385,0,3,388,0
207,154,259,5,0,1,0,0,0,0,2,0,1,1,0,1,0,9,4,0,0,1,0,0,0,1,2,439,0,2,441,0
208,150,221,8,1,0,0,1,0,1,0,0,2,0,1,6,2,2,1,0,0,1,0,1,1,1,4,400,0,4,404,0
209,194,166,1,0,0,0,0,0,0,1,0,0,0,0,2,5,3,2,2,0,0,1,0,0,0,1,377,0,1,378,0
210,305,90,4,1,0,0,0,0,1,0,0,1,0,0,2,4,1,0,0,0,0,1,0,0,0,5,410,0,5,415,0
211,148,272,3,0,1,0,2,1,2,1,1,0,0,1,3,6,1,3,2,1,1,0,0,0,2,4,451,0,4,455,0
212,123,312,9,0,0,0,0,0,0,0,1,0,0,0,2,5,4,1,0,0,0,0,1,0,0,2,458,0,2,460,0
213,144,333,3,0,0,1,0,0,0,0,1,2,0,2,0,5,0,1,0,0,0,0,0,0,1,2,493,0,2,495,0
214,117,242,3,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,368,0,1,369,0
215,362,52,14,0,3,0,0,0,1,0,0,3,0,2,5,6,3,0,0,0,2,0,0,0,1,0,454,0,0,454,0
216,267,258,6,1,2,0,3,0,1,0,0,1,0,2,1,3,2,6,2,2,2,0,1,1,0,5,561,0,5,566,0
217,407,261,16,2,0,0,2,0,0,0,2,4,2,3,3,25,3,2,0,1,0,0,0,1,2,7,736,0,7,743,0
218,148,182,1,0,1,1,0,0,0,1,0,0,1,1,0,0,2,1,0,2,0,0,0,0,1,1,342,0,1,343,0
219,140,213,2,0,1,0,0,0,0,0,0,2,1,0,3,3,4,3,1,0,2,0,0,0,0,3,375,0,3,378,0
220,110,304,5,0,4,0,0,0,0,0,0,1,1,0,2,0,3,4,2,2,0,0,1,0,1,7,440,0,7,447,0
221,79,264,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,7,352,0,7,359,0
222,390,242,1,5,1,1,0,0,0,1,1,1,1,1,4,7,11,2,0,0,1,0,1,0,0,3,671,0,3,674,0
223,98,343,3,0,1,0,1,1,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,2,0,7,457,0,7,464,0
224,82,278,5,0,0,1,0,0,1,1,1,0,0,0,1,9,0,1,0,0,0,0,0,0,0,2,380,0,2,382,0
225,196,455,13,2,8,2,0,0,1,1,0,1,0,3,5,7,2,11,1,1,0,0,0,0,2,7,711,0,7,718,0
226,108,347,3,0,4,0,0,0,1,0,1,0,2,0,0,3,0,2,0,0,0,0,1,0,0,12,472,0,12,484,0
227,311,95,34,0,0,0,0,0,1,0,1,2,0,3,2,8,10,0,1,0,0,0,0,0,0,3,468,0,3,471,0
228,136,239,6,1,1,1,0,0,0,0,0,0,1,2,4,10,2,5,0,0,0,0,0,0,1,5,409,0,5,414,0
229,177,583,9,1,3,1,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,5,781,0,5,786,0
230,271,454,3,0,4,0,0,0,0,0,0,2,0,2,2,4,3,2,1,2,0,1,0,0,0,6,751,0,6,757,0
231,166,524,3,0,11,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,8,710,0,8,718,0
232,190,184,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,382,0,1,383,0
233,130,184,11,0,1,2,0,1,0,0,0,1,0,0,2,3,1,1,0,0,0,0,0,0,0,2,337,0,2,339,0
234,269,495,3,1,5,1,0,1,0,1,1,1,1,1,3,9,2,5,1,2,0,0,0,2,4,5,808,0,5,813,0
235,133,280,12,1,0,0,1,0,0,0,0,1,1,3,9,8,3,3,0,0,0,0,1,1,2,5,459,0,5,464,0
236,181,213,7,0,1,1,0,1,0,0,0,0,0,0,2,6,1,3,0,0,0,1,1,1,0,3,419,0,3,422,0
237,139,288,2,0,1,1,0,2,2,0,0,2,1,0,3,2,3,1,1,0,0,0,0,0,0,4,448,0,4,452,0
238,124,191,2,0,0,1,1,0,0,0,0,0,0,1,1,8,4,6,0,0,0,0,0,1,0,3,340,0,3,343,0
239,48,127,2,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,183,0,1,184,0
240,61,240,8,1,2,0,0,1,0,0,3,1,0,1,5,2,6,5,0,0,1,1,1,0,1,4,340,0,4,344,0
241,158,180,17,0,1,1,1,0,2,0,1,0,0,0,0,6,5,3,0,0,0,0,0,0,1,1,376,0,1,377,0
242,220,185,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1,1,0,0,1,0,1,416,0,1,417,0
243,271,120,2,0,3,0,1,0,2,0,0,0,0,0,6,3,7,1,0,0,0,0,0,0,0,2,416,0,2,418,0
244,133,199,1,0,1,0,0,2,0,0,0,0,0,0,1,2,1,3,1,0,1,0,2,0,0,0,347,0,0,347,0
245,170,288,1,2,3,0,0,0,1,0,0,2,3,1,1,2,2,1,2,0,1,1,0,0,1,2,482,0,2,484,0
246,372,311,4,0,1,0,0,1,2,1,0,0,3,3,2,2,5,1,0,0,0,1,0,0,0,0,709,0,0,709,0
247,88,86,1,1,0,0,0,1,2,0,0,1,1,1,1,3,2,0,0,2,1,0,0,1,0,3,192,0,3,195,0
248,280,295,5,0,2,0,0,0,0,2,1,0,0,3,5,3,1,0,0,0,0,0,0,0,0,1,597,0,1,598,0
249,165,312,5,0,0,4,3,1,0,0,1,2,2,2,2,12,4,1,1,1,0,0,2,0,1,0,521,0,0,521,0
250,185,241,3,1,1,1,0,1,0,1,0,2,2,2,5,6,0,7,1,1,2,2,1,1,0,1,466,0,1,467,0
251,181,209,18,1,0,0,2,0,0,1,0,1,0,0,7,11,2,1,0,0,3,1,0,0,2,2,440,0,2,442,0
252,100,334,4,0,2,1,0,0,0,0,0,0,0,0,3,1,1,1,0,2,0,0,1,0,0,1,450,0,1,451,0
253,41,164,1,1,0,0,1,0,0,1,0,1,0,0,1,4,3,1,1,0,0,1,1,0,0,1,222,0,1,223,0
254,68,304,3,0,0,0,1,0,0,0,0,0,0,1,0,2,4,1,1,1,0,0,0,0,0,0,386,0,0,386,0
255,118,214,2,0,3,1,1,1,0,1,1,3,1,0,2,3,1,9,0,1,0,2,2,0,1,0,367,0,0,367,0
256,67,62,2,0,0,0,2,2,1,0,0,0,0,0,0,3,3,1,0,0,0,0,1,0,0,2,144,0,2,146,0
257,65,280,2,0,2,0,0,1,1,0,0,0,0,1,4,2,1,0,0,1,0,0,0,0,1,1,361,0,1,362,0
258,117,210,4,1,0,0,1,0,1,1,2,0,2,1,2,11,2,5,2,1,0,1,1,1,1,5,367,0,5,372,0
259,105,209,9,2,3,1,0,1,0,1,0,0,3,0,5,6,2,3,0,1,0,0,2,0,0,2,353,0,2,355,0
260,62,426,13,2,0,1,4,1,0,2,1,5,8,4,3,12,2,1,2,0,1,0,0,1,0,2,551,0,2,553,0
261,24,77,8,1,1,1,1,1,0,2,2,3,1,4,5,14,7,2,2,0,0,0,0,1,2,3,159,0,3,162,0
262,179,208,13,0,1,1,1,0,2,0,0,2,1,3,5,6,0,1,1,0,0,0,1,1,1,2,427,0,2,429,0
263,175,420,9,0,1,0,1,1,2,1,3,4,2,2,6,10,3,0,0,1,0,0,0,0,2,1,643,0,1,644,0
264,128,309,9,2,0,0,1,0,0,2,1,0,0,1,1,5,2,1,3,0,1,1,0,3,4,7,474,0,7,481,0
265,204,217,19,0,0,0,0,0,0,0,1,0,1,2,2,5,6,2,2,1,0,1,0,2,0,3,465,0,3,468,0
266,84,142,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,0,0,0,0,0,0,0,1,233,0,1,234,0
267,92,224,6,0,0,1,1,0,1,1,0,1,0,0,0,1,3,2,0,0,0,0,1,0,0,2,334,0,2,336,0
268,105,245,2,2,1,1,1,1,0,0,0,0,1,0,0,5,6,3,0,0,1,0,1,1,2,2,378,0,2,380,0
269,82,465,6,1,10,1,0,0,0,1,0,1,1,2,1,1,2,4,2,0,1,0,0,0,1,6,582,0,6,588,0
270,85,469,3,1,4,0,1,1,0,1,0,1,2,2,3,2,2,0,1,0,0,0,0,0,0,5,578,0,5,583,0
271,92,288,10,0,0,1,0,0,1,1,1,1,0,2,5,2,0,1,0,0,0,0,1,0,1,1,407,0,1,408,0
272,127,143,5,0,0,0,0,0,1,1,1,1,1,0,6,2,4,2,0,0,0,0,0,1,0,1,295,0,1,296,0
273,164,296,2,0,0,0,1,0,1,1,0,1,0,2,1,3,1,4,1,0,0,0,1,1,3,3,483,0,3,486,0
274,245,106,2,0,0,0,1,1,0,0,1,0,1,0,3,2,4,2,0,0,0,1,1,0,2,3,372,0,3,375,0
275,203,240,1,0,1,0,1,1,0,1,0,1,1,0,1,6,1,0,1,0,1,0,0,1,0,3,461,0,3,464,0
276,140,212,4,2,1,1,2,0,0,1,0,1,0,1,2,5,2,1,0,0,0,0,1,0,1,6,377,0,6,383,0
277,298,290,11,2,3,1,0,0,2,0,0,1,4,3,3,10,4,2,0,0,0,1,0,0,2,0,637,0,0,637,0
278,313,354,4,1,0,1,0,1,0,0,0,2,1,1,1,8,2,0,1,0,0,0,0,0,0,1,690,0,1,691,0
279,168,199,2,0,5,0,0,0,0,0,1,0,0,0,2,1,1,1,1,0,1,0,0,0,0,1,382,0,1,383,0
280,122,153,4,1,2,0,0,1,0,1,0,1,2,4,4,8,3,2,1,0,0,0,1,0,1,2,311,0,2,313,0
281,72,89,4,2,3,0,0,0,0,0,2,1,2,1,6,16,1,2,1,0,0,0,1,0,1,4,204,0,4,208,0
282,272,135,5,0,0,0,0,1,0,0,0,2,0,2,2,3,2,1,0,0,1,1,0,0,1,3,428,0,3,431,0
283,186,154,5,0,0,0,1,0,2,0,0,2,1,1,3,7,5,1,0,0,1,0,1,0,1,4,371,0,4,375,0
284,187,128,3,0,2,0,0,0,0,0,1,2,0,0,0,6,7,2,0,1,2,0,0,0,0,2,341,0,2,343,0
285,160,170,0,0,0,0,2,0,0,0,0,0,1,0,1,5,4,5,1,0,1,0,0,1,0,3,351,0,3,354,0
286,44,66,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,2,0,0,0,1,1,0,120,0,0,120,0
