Serial No. of Polling Station,No. of valid votes cast in favour of,,,,Total of valid votes,No. of rejected votes,NOTA 5,Total,No. of tendered votes
,Naranbhai Jemalabhai Rathva 1,Ramsinh Rathwa 2,Prof. Arjunbhai Versingbhai Rathva 3,Vasava Prafulbhai Devjibhai 4,,,,,
1,35,212,13,6,266,0,13,279,0
2,71,58,5,1,135,0,10,145,0
3,153,204,10,13,380,0,14,394,0
4,98,89,5,1,193,0,7,200,0
5,208,198,8,10,424,0,38,462,0
6,122,154,9,3,288,0,4,292,0
7,285,243,14,10,552,0,13,565,0
8,131,301,10,24,466,0,16,482,0
9,169,244,12,6,431,0,9,440,0
10,316,361,20,3,700,0,26,726,0
11,100,272,11,8,391,0,7,398,0
12,94,355,18,10,477,0,33,510,0
13,86,584,16,7,693,0,30,723,0
14,233,413,16,14,676,0,34,710,0
15,27,186,2,6,221,0,1,222,0
16,134,515,11,7,667,0,8,675,0
17,200,200,6,5,411,0,4,415,0
18,15,211,3,0,229,0,1,230,0
19,130,199,7,5,341,0,5,346,0
20,103,181,8,8,300,0,9,309,0
21,255,247,6,4,512,0,8,520,0
22,107,247,6,6,366,0,6,372,0
23,70,126,6,3,205,0,11,216,0
24,111,313,9,5,438,0,6,444,0
25,186,117,7,4,314,0,11,325,0
26,88,289,13,3,393,0,11,404,0
27,96,106,4,4,210,0,4,214,0
28,120,226,7,10,363,0,18,381,0
29,120,143,9,1,273,0,2,275,0
30,138,338,27,1,504,0,18,522,0
31,285,482,57,13,837,0,49,886,0
32,230,327,5,5,567,0,8,575,0
33,81,200,0,1,282,0,0,282,0
34,366,250,5,7,628,0,12,640,0
35,206,292,14,5,517,0,20,537,0
36,244,290,34,13,581,0,43,624,0
37,150,119,8,1,278,0,4,282,0
38,79,355,7,4,445,0,5,450,0
39,248,208,16,6,478,0,12,490,0
40,369,69,2,7,447,0,21,468,0
41,319,98,8,4,429,0,17,446,0
42,43,183,5,2,233,0,3,236,0
43,150,451,13,3,617,0,9,626,0
44,194,227,11,4,436,0,18,454,0
45,214,309,4,5,532,0,13,545,0
46,100,243,9,7,359,0,7,366,0
47,137,393,9,5,544,0,11,555,0
48,144,232,4,2,382,0,11,393,0
49,117,273,12,4,406,0,6,412,0
50,190,647,19,20,876,0,23,899,0
51,91,628,23,12,754,0,7,761,0
52,150,385,4,1,540,0,4,544,0
53,100,320,6,1,427,0,5,432,0
