polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid  Votes,No.of  rejected  votes,Votes for  'NOTA'  option,Total  Votes,No.of       tendered  votes
60,28,201,99,12,8,6,4,1,3,8,370,0,35,405,0
61,42,236,125,8,2,3,3,6,9,9,443,0,34,477,0
62,40,296,93,11,1,2,0,1,5,3,452,0,22,474,0
63,34,264,92,3,1,2,2,0,1,1,400,0,18,418,0
64,29,194,112,9,1,2,0,0,3,2,352,0,18,370,0
65,9,263,146,5,2,1,3,1,2,4,436,0,5,441,0
66,35,289,136,12,3,0,0,0,1,2,478,0,5,483,0
67,26,432,76,1,1,2,2,2,3,3,548,0,13,561,0
68,23,564,154,15,5,3,3,1,1,5,774,0,19,793,0
69,15,161,180,9,1,5,1,0,2,2,376,0,2,378,0
70,11,239,99,4,1,2,1,0,0,3,360,0,3,363,0
71,34,453,63,3,0,2,3,3,1,5,567,0,42,609,0
72,32,296,188,8,2,2,4,3,2,8,545,0,25,570,0
73,26,236,120,2,2,4,3,2,3,3,401,0,17,418,0
74,7,511,142,3,1,4,2,0,2,0,672,0,2,674,0
75,22,173,157,17,2,3,7,3,4,4,392,0,16,408,0
76,22,202,350,11,5,2,3,2,4,10,611,0,44,655,0
77,14,117,232,9,2,3,6,4,3,10,400,0,34,434,0
78,26,84,338,16,1,4,1,6,4,7,487,0,21,508,0
79,7,43,270,14,3,1,3,2,1,3,347,0,12,359,0
80,20,134,236,10,5,2,4,1,4,11,427,0,24,451,0
81,12,139,292,16,7,1,5,2,7,7,488,0,27,515,0
82,4,147,272,3,2,0,3,2,2,3,438,0,2,440,0
83,12,54,160,8,3,6,3,0,11,4,261,0,5,266,0
84,8,183,234,13,2,5,9,3,21,2,480,0,15,495,0
85,15,286,174,1,1,0,2,0,4,5,488,0,9,497,0
86,13,127,291,7,0,4,1,0,3,5,451,0,19,470,0
87,14,227,221,10,7,2,4,0,4,5,494,0,17,511,0
88,10,455,181,7,2,5,1,5,7,10,683,0,18,701,0
89,14,282,262,16,3,2,2,1,5,2,589,0,7,596,0
90,17,190,387,14,5,4,2,4,6,2,631,0,9,640,0
91,19,371,242,5,0,3,2,0,2,0,644,0,20,664,0
92,12,434,276,11,6,7,8,1,6,11,772,0,22,794,0
93,18,233,238,16,2,5,2,2,5,13,534,0,34,568,0
94,21,285,239,10,2,1,5,4,4,10,581,0,21,602,0
95,27,115,293,10,9,6,10,2,30,8,510,0,31,541,0
96,10,220,253,4,3,3,2,2,2,2,501,0,6,507,0
97,7,114,245,7,1,1,1,0,21,2,399,0,7,406,0
98,24,334,238,10,4,3,7,2,15,10,647,0,20,667,0
99,24,108,450,20,5,1,3,2,4,7,624,0,12,636,0
100,45,317,221,17,6,3,7,2,1,6,625,0,9,634,0
101,42,220,242,10,4,5,6,2,6,10,547,0,41,588,0
102,11,297,154,12,4,2,6,1,2,4,493,0,7,500,0
103,53,357,184,7,4,3,6,3,6,7,630,0,33,663,0
104,20,190,315,11,2,2,3,4,6,9,562,0,15,577,0
105,58,283,205,9,6,4,6,6,6,20,603,0,43,646,0
106,17,245,179,8,1,3,5,3,4,7,472,0,22,494,0
107,11,116,243,4,5,4,2,2,1,2,390,0,14,404,0
108,15,208,168,7,2,6,2,3,0,3,414,0,17,431,0
109,15,325,158,16,6,6,5,2,4,6,543,0,20,563,0
110,7,182,103,6,1,1,1,2,3,2,308,0,14,322,0
111,19,122,241,13,1,6,6,2,3,5,418,0,25,443,0
112,16,328,205,7,3,1,4,8,8,14,594,0,51,645,0
113,36,302,198,11,13,3,5,4,5,13,590,0,51,641,0
114,18,197,229,21,6,7,5,3,10,10,506,0,50,556,0
115,22,320,208,23,10,8,4,6,8,16,625,0,33,658,0
116,32,207,139,14,7,7,7,10,11,14,448,0,38,486,0
117,9,338,207,5,3,3,3,3,4,9,584,0,37,621,0
118,27,288,147,11,3,6,6,4,8,11,511,0,32,543,0
119,25,327,113,8,4,3,4,4,1,4,493,0,21,514,0
120,14,256,127,10,2,1,2,0,3,3,418,0,7,425,0
121,23,258,120,4,6,4,6,3,4,4,432,0,10,442,0
122,15,140,205,15,2,1,4,1,4,12,399,0,33,432,0
123,13,218,55,5,4,1,2,0,5,6,309,0,11,320,0
124,32,177,122,8,3,6,2,0,2,2,354,0,12,366,0
125,12,466,131,4,1,2,2,0,2,5,625,0,5,630,0
126,19,251,155,6,1,2,6,0,2,0,442,0,15,457,0
127,19,353,207,1,3,2,2,3,8,4,602,0,11,613,0
128,29,378,112,8,3,3,1,1,2,13,550,0,29,579,0
129,20,203,91,5,3,3,3,2,4,1,335,0,18,353,0
130,18,297,181,7,2,0,4,3,3,4,519,0,18,537,0
131,23,437,55,6,3,3,8,1,2,4,542,0,6,548,0
132,25,524,235,9,5,4,4,1,7,8,822,0,16,838,0
133,29,452,167,4,4,5,7,5,19,8,700,0,27,727,0
134,28,97,198,4,1,3,3,2,5,10,351,0,21,372,0
135,27,128,151,7,2,2,9,4,5,3,338,0,16,354,0
136,25,237,173,7,2,1,5,1,5,7,463,0,22,485,0
137,14,398,213,6,8,5,5,3,5,6,663,0,7,670,0
138,15,384,117,3,1,3,6,3,8,11,551,0,41,592,0
139,23,349,204,6,5,5,4,6,1,11,614,0,44,658,0
140,29,331,305,11,4,1,4,2,5,12,704,0,25,729,0
141,29,253,113,7,2,3,2,1,4,4,418,0,16,434,0
142,28,125,122,8,3,1,2,1,6,8,304,0,63,367,0
143,11,113,229,6,3,0,4,0,1,4,371,0,13,384,0
144,15,144,125,8,1,2,1,0,4,7,307,0,5,312,0
145,10,162,251,8,3,3,6,2,4,5,454,0,16,470,0
146,15,46,202,6,3,2,3,1,0,5,283,0,13,296,0
147,9,369,116,1,4,0,4,0,1,4,508,0,23,531,0
148,17,250,128,3,3,0,1,1,5,6,414,0,28,442,0
149,15,513,175,7,3,1,4,2,9,8,737,0,28,765,0
150,6,415,126,5,2,1,4,0,1,2,562,0,4,566,0
151,21,149,181,7,3,4,6,1,6,7,385,0,19,404,0
152,12,228,55,4,0,1,1,3,2,8,314,0,1,315,0
153,24,212,131,6,4,3,5,5,10,8,408,0,87,495,0
154,5,580,10,1,0,0,0,0,0,0,596,0,1,597,0
155,4,420,43,0,0,0,1,0,3,2,473,0,6,479,0
156,16,97,187,15,6,1,6,9,6,15,358,0,64,422,0
157,54,205,132,5,5,5,3,9,3,8,429,0,56,485,0
158,31,139,255,12,5,2,2,2,3,10,461,0,40,501,0
159,5,206,186,8,3,3,7,1,3,1,423,0,26,449,0
160,44,340,131,6,3,3,5,6,4,6,548,0,48,596,0
161,37,492,127,2,5,1,7,2,5,5,683,0,37,720,0
162,38,280,203,14,5,4,7,2,5,17,575,0,60,635,0
163,30,289,52,11,5,4,4,3,6,9,413,0,35,448,0
164,68,443,140,18,5,2,4,2,5,12,699,0,35,734,0
165,30,212,141,12,9,4,6,6,10,7,437,0,54,491,0
166,6,230,55,3,3,1,4,1,4,11,318,0,13,331,0
167,10,267,142,7,5,1,5,0,3,21,461,0,19,480,0
168,54,183,164,13,1,3,7,4,7,10,446,0,51,497,0
169,32,276,83,6,4,3,2,1,3,5,415,0,22,437,0
170,14,377,101,5,6,3,5,2,3,6,522,0,20,542,0
171,21,44,79,4,1,4,1,1,0,1,156,0,12,168,0
172,28,69,232,13,4,1,2,5,4,7,365,0,9,374,0
173,16,393,256,8,2,4,6,2,2,12,701,0,25,726,0
174,18,325,182,5,2,8,6,2,12,14,574,0,61,635,0
175,27,216,341,12,7,5,8,2,6,10,634,0,31,665,0
176,7,357,102,0,1,1,2,1,1,3,475,0,7,482,0
177,16,454,195,8,0,2,0,5,4,7,691,0,13,704,0
178,20,311,296,7,4,6,10,1,6,9,670,0,17,687,0
179,51,471,147,8,4,3,2,1,2,6,695,0,21,716,0
180,15,316,132,7,0,2,4,0,3,3,482,0,15,497,0
181,17,692,177,6,1,1,2,2,2,5,905,0,2,907,0
182,24,478,148,4,3,1,2,1,4,4,669,0,6,675,0
183,36,386,168,12,4,1,6,4,2,10,629,0,29,658,0
184,37,205,218,24,7,6,9,9,10,17,542,0,46,588,0
185,30,567,102,5,3,5,4,2,2,8,728,0,13,741,0
186,47,415,187,10,2,6,9,5,6,9,696,0,20,716,0
187,24,192,159,8,5,2,7,3,10,15,425,0,67,492,0
188,53,315,171,7,4,3,2,2,8,6,571,0,8,579,0
189,12,267,183,11,3,4,5,4,3,8,500,0,41,541,0
190,9,457,51,2,1,0,0,1,0,0,521,0,6,527,0
191,10,433,224,12,2,4,3,4,5,17,714,0,33,747,0
192,30,205,217,12,5,3,2,1,2,5,482,0,40,522,0
193,31,493,116,9,2,8,3,3,7,7,679,0,30,709,0
194,22,82,362,10,4,1,1,4,5,6,497,0,34,531,0
195,28,84,97,9,3,2,4,0,3,8,238,0,25,263,0
196,21,128,337,8,3,0,2,4,13,9,525,0,23,548,0
197,37,175,244,18,13,3,2,4,8,11,515,0,44,559,0
198,20,114,418,20,3,8,4,5,4,8,604,0,25,629,0
199,24,146,209,20,4,0,1,2,5,4,415,0,27,442,0
200,7,340,53,6,7,3,4,1,3,5,429,0,15,444,0
201,24,472,242,6,4,4,2,4,2,3,763,0,5,768,0
202,31,93,124,4,2,1,1,0,1,2,259,0,16,275,0
203,8,643,13,2,0,0,1,1,0,0,668,0,0,668,0
204,4,358,9,1,0,0,0,0,2,3,377,0,2,379,0
205,34,121,112,3,3,2,2,2,6,6,291,0,32,323,0
206,15,299,38,0,3,2,0,2,1,4,364,0,30,394,0
207,10,18,546,6,0,0,0,3,0,2,585,0,7,592,0
208,26,113,138,6,2,3,1,1,3,5,298,0,16,314,0
209,22,99,150,11,3,7,3,4,3,2,304,0,17,321,0
210,28,321,394,8,4,7,3,1,3,4,773,0,11,784,0
211,27,262,245,15,4,4,9,10,14,16,606,0,50,656,0
212,31,118,134,9,4,4,7,1,11,16,335,0,105,440,0
213,18,252,109,5,5,3,4,3,5,5,409,0,16,425,0
214,17,491,109,5,2,0,3,1,3,3,634,0,12,646,0
215,12,318,90,7,6,1,4,3,4,8,453,0,55,508,0
216,20,195,119,11,2,1,3,3,4,6,364,0,19,383,0
217,28,357,98,12,3,2,2,7,5,8,522,0,39,561,0
218,50,155,57,6,1,1,3,2,4,4,283,0,39,322,0
219,32,250,172,14,1,1,2,2,3,3,480,0,22,502,0
220,12,183,30,3,0,0,0,1,2,3,234,0,3,237,0
221,19,215,38,2,6,3,0,0,2,3,288,0,10,298,0
222,44,269,102,9,6,0,7,5,6,10,458,0,48,506,0
223,35,495,188,19,2,3,3,4,8,1,758,0,30,788,0
224,17,260,226,10,3,1,2,0,0,6,525,0,11,536,0
225,28,338,143,4,1,0,6,1,7,2,530,0,33,563,0
226,12,137,121,15,5,4,6,9,7,13,329,0,52,381,0
227,26,58,152,6,0,4,3,1,5,7,262,0,13,275,0
228,15,221,93,6,2,3,3,4,3,4,354,0,22,376,0
229,21,133,161,19,3,3,10,0,7,11,368,0,27,395,0
230,33,324,99,5,9,1,9,4,4,5,493,0,30,523,0
231,5,412,18,2,0,3,3,1,0,1,445,0,14,459,0
232,12,148,64,8,5,0,8,2,1,3,251,0,26,277,0
233,6,174,120,3,5,3,3,3,7,8,332,0,20,352,0
234,16,198,126,4,5,1,8,0,5,8,371,0,24,395,0
235,15,238,218,13,6,1,6,4,10,9,520,0,45,565,0
236,57,229,37,10,5,6,4,3,6,7,364,0,28,392,0
237,19,283,78,4,1,4,1,1,8,8,407,0,18,425,0
238,18,214,39,6,2,2,2,2,12,8,305,0,33,338,0
239,24,131,76,4,1,0,1,3,1,4,245,0,17,262,0
