Sr. No. & Name of Polling Station,No. of Valid Votes cast in favour of,,,,,,,,,,,,,,,,Total  Valid  Votes tendered,No. of Rejected  Votes(Test Votes),Total,No. of Tendered Votes
,Chauhan devusinh  Jesingbhai (Chauhan  Devusinh),Dinsha Patel,Pandav Bhailalbhai  Kalubhai,Abdul Razakkhan  Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj  Govindbhai,Khristi Adward  Khushalbhai,Chauhan Devusing  Motishing,Pathan Amanullakha  Sitabkha,Parikh Viral  Hasmukhbhai,Malek  Yakubmiya  Nabimiya,Malek Sadik Husen  Mahammd Hushen,Malek Sabirhusen  Ismailbhai,Ratansinh Udesinh  Chauhan,Roshan Priyavadan  Shah,None Of the above  (NOTA),,,,
68,172,127,5,0,0,0,0,0,0,1,3,0,2,5,6,7,328,0,328,0
69,259,149,4,1,0,0,0,0,0,0,0,0,2,4,7,6,432,0,432,0
70,487,94,2,0,1,0,2,0,0,0,0,1,2,2,1,10,602,0,602,0
71,511,174,2,1,0,0,0,1,0,0,1,0,0,5,3,10,708,0,708,0
72,549,50,1,2,0,0,0,0,0,0,0,0,0,0,2,12,616,0,616,0
73,211,217,3,3,1,0,1,3,0,0,2,0,1,1,4,11,458,0,458,0
74,85,205,1,0,0,0,0,1,0,1,1,4,2,3,1,7,311,0,311,0
75,339,24,1,0,1,0,0,1,0,0,0,0,0,0,0,0,366,0,366,0
76,199,116,2,1,1,0,0,0,2,1,2,0,2,0,2,5,333,0,333,0
77,266,115,1,0,1,0,0,0,0,0,0,0,0,0,1,7,391,0,391,0
78,131,215,1,1,1,0,1,1,0,1,3,3,1,2,1,4,366,0,366,0
79,270,96,4,0,1,1,1,4,3,1,3,5,1,4,17,19,430,0,430,0
80,390,65,1,0,1,0,0,0,1,1,0,1,0,1,1,10,472,0,472,0
81,364,92,1,1,0,0,2,3,2,0,3,2,3,4,2,39,518,0,518,0
82,164,144,1,0,0,0,2,1,0,0,0,0,2,0,1,6,321,0,321,0
83,146,202,7,0,0,0,0,0,0,0,0,0,1,2,3,8,369,0,369,0
84,313,90,4,1,1,1,0,0,0,0,0,0,1,1,1,4,417,0,417,0
85,74,137,2,0,0,1,0,0,0,0,1,0,0,2,1,3,221,0,221,0
86,46,208,3,1,2,0,1,0,0,0,1,0,2,4,6,5,279,0,279,0
87,169,218,2,1,1,0,0,1,0,1,1,2,5,3,5,11,420,0,420,0
88,433,505,0,1,1,0,0,0,0,2,0,0,0,1,5,4,952,0,952,0
89,199,665,5,0,1,0,0,0,1,1,1,2,0,3,7,14,899,0,899,0
90,377,101,3,0,1,0,1,2,0,1,0,1,1,3,2,16,509,0,509,0
91,109,551,1,0,3,0,0,0,0,0,0,0,0,1,4,2,671,0,671,0
92,468,397,3,0,8,0,0,2,0,0,0,2,0,0,0,12,892,0,892,0
93,308,159,1,1,1,0,1,0,0,0,0,1,0,1,1,24,498,0,498,0
94,445,23,0,0,1,1,0,0,1,0,0,0,2,2,1,11,487,0,487,0
95,768,154,0,0,2,0,0,2,0,0,0,0,0,0,0,8,934,0,934,0
96,602,37,0,0,2,0,0,0,0,0,0,0,1,0,0,1,643,0,643,0
97,508,102,0,0,3,0,0,3,0,0,0,1,0,0,1,17,635,0,635,0
98,644,66,0,0,7,0,0,4,1,1,0,0,0,1,1,16,741,0,741,0
99,681,193,3,1,6,0,1,2,0,0,0,0,1,0,5,11,904,0,904,0
100,746,79,0,0,7,0,0,0,0,0,0,0,0,0,0,8,840,0,840,0
101,586,58,0,0,0,0,1,0,0,0,0,0,1,1,1,8,656,0,656,0
102,483,322,0,1,2,0,0,3,0,0,0,0,0,0,1,8,820,0,820,0
103,52,534,2,3,1,0,3,1,0,0,0,1,3,0,5,4,609,0,609,0
104,116,251,0,0,0,0,0,1,0,0,1,0,0,0,0,5,374,0,374,0
105,333,410,6,3,2,1,0,1,1,0,0,1,1,2,9,14,784,0,784,0
106,51,785,1,0,1,0,0,0,0,2,1,2,1,2,3,5,854,0,854,0
107,3,631,2,0,1,0,1,0,0,1,0,1,0,1,1,1,643,0,643,0
108,84,766,8,2,1,0,0,3,0,0,2,0,1,1,4,8,880,0,880,0
109,302,488,5,2,3,1,0,0,0,3,0,0,1,1,3,8,817,0,817,0
110,242,506,2,2,1,0,0,1,4,11,1,0,1,0,2,5,778,0,778,0
111,796,45,0,0,1,1,1,1,0,2,0,0,0,0,0,10,857,0,857,0
112,14,536,4,0,1,2,1,0,1,0,2,0,1,0,9,8,579,0,579,0
113,26,343,3,0,0,0,0,0,0,2,0,0,0,1,2,5,382,0,382,0
114,220,483,3,0,0,1,1,0,0,0,2,3,3,2,3,6,727,0,727,0
115,493,253,4,1,5,0,0,3,1,0,0,2,4,0,3,8,777,0,777,0
116,536,113,0,1,3,0,1,2,1,1,0,0,2,2,2,14,678,0,678,0
117,577,125,2,3,1,0,1,1,0,1,2,2,2,3,4,16,740,0,740,0
118,619,166,0,0,1,0,0,2,0,4,0,0,0,1,2,8,803,0,803,0
119,115,457,1,0,0,0,0,1,0,0,0,1,0,1,3,6,585,0,585,0
120,624,53,0,0,3,0,0,1,0,4,0,0,0,0,0,8,693,0,693,0
121,140,351,5,1,0,0,0,0,1,0,0,0,3,4,11,8,524,0,524,0
122,233,280,4,0,0,0,1,0,0,4,0,0,0,1,2,8,533,0,533,0
123,513,144,2,0,1,0,0,1,0,0,1,2,2,1,4,9,680,0,680,0
124,364,147,2,0,0,0,1,0,1,2,1,3,1,3,7,23,555,0,555,0
125,22,213,6,1,1,0,0,1,0,1,0,0,3,2,9,5,264,0,264,0
126,41,211,5,1,0,0,1,1,0,1,0,0,1,4,5,1,272,0,272,0
127,198,19,0,1,2,0,0,1,0,1,0,0,0,0,1,8,231,0,231,0
128,132,202,0,0,0,0,1,1,0,0,0,0,2,1,7,13,359,0,359,0
129,336,194,4,1,1,3,1,2,0,0,1,1,0,3,5,6,558,0,558,0
130,158,212,1,0,0,0,1,0,0,1,0,0,2,4,3,13,395,0,395,0
131,286,375,4,2,1,0,0,2,0,0,0,0,6,4,12,14,706,0,706,0
132,253,198,1,1,0,0,0,2,0,3,2,1,0,3,10,21,495,0,495,0
133,426,230,1,1,1,0,0,0,1,0,1,0,2,2,7,20,692,0,692,0
134,381,107,2,0,0,1,1,1,0,0,0,0,0,1,3,8,505,0,505,0
135,140,186,3,0,2,1,1,4,0,1,1,0,3,3,7,14,366,0,366,0
136,56,209,7,1,0,0,2,1,0,0,1,0,3,3,7,3,293,0,293,0
137,323,236,3,0,0,0,1,2,1,0,2,2,2,7,4,20,603,0,603,0
138,28,152,0,0,0,0,4,0,1,2,1,0,1,1,7,4,201,0,201,0
139,116,172,5,1,0,2,0,5,1,0,3,1,2,3,1,3,315,0,315,0
140,152,234,1,0,2,0,1,0,0,0,1,1,2,2,4,7,407,0,407,0
141,91,148,2,0,1,1,0,0,0,0,0,2,1,0,3,2,251,0,251,0
142,175,122,2,0,0,0,1,2,0,1,0,0,0,0,1,4,308,0,308,0
