polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid  Votes,No.of  rejected  votes,Votes for  'NOTA'  option,Total  Votes,No.of       tendered  votes
,Katara  Singjibhai  Jaljibhai,Jasvantsinh  Sumanbhai  Bhabhor,Taviyad  Dr.Prabhaben  Kishorsinh,Bamaniya  Jyotishkumar  Bapubhai,Bhabhor  Mavjibhai  Titubhai,K. C. MUNIA  Advocate,Meda  Jagdishbhai  Manilal,Ramsingbhai  Nanjibhai  Kalara,Kumari  Induben  Nathubhai  Sangada,Bhura  Navalbhai  Manabhai,,,,,
1,33,387,294,17,6,3,1,5,7,7,760,0,35,795,0
2,40,260,155,6,3,5,7,4,4,6,490,0,23,513,0
3,18,130,369,19,6,2,4,3,9,12,572,0,31,603,0
4,37,302,328,16,2,3,2,9,4,8,711,0,22,733,0
5,51,303,167,6,2,6,3,4,11,12,565,0,49,614,0
6,29,195,203,13,3,1,1,2,5,9,461,0,7,468,0
7,26,282,369,25,2,7,5,9,4,16,745,0,39,784,0
8,15,122,187,8,2,4,0,2,1,0,341,0,4,345,0
9,18,375,144,9,1,4,4,4,7,12,578,0,34,612,0
10,58,253,149,6,4,4,7,3,3,15,502,0,51,553,0
11,30,273,70,4,4,5,1,2,2,9,400,0,20,420,0
12,14,95,79,6,1,0,4,2,5,17,223,0,26,249,0
13,28,295,148,12,1,9,4,3,5,18,523,0,33,556,0
14,20,290,277,9,8,5,4,7,3,9,632,0,12,644,0
,417,3562,2939,156,45,58,47,59,70,150,7503,0,386,7889,0
,417,3562,2939,156,45,58,47,59,70,150,7503,0,386,7889,0
15,13,40,133,8,2,1,4,2,4,1,208,0,12,220,0
16,28,217,196,14,4,3,3,3,7,6,481,0,11,492,0
17,22,266,286,9,3,8,7,5,6,17,629,0,59,688,0
18,26,238,206,8,6,5,4,6,13,11,523,0,39,562,0
19,19,127,332,12,8,8,1,2,6,9,524,0,36,560,0
20,27,371,172,15,3,3,3,4,10,13,621,0,50,671,0
21,40,185,214,6,4,3,7,7,10,8,484,0,35,519,0
22,36,120,252,18,5,2,7,4,10,8,462,0,35,497,0
23,6,271,333,3,3,8,1,4,5,10,644,0,18,662,0
24,15,218,182,5,6,12,4,6,9,13,470,0,31,501,0
25,15,351,279,9,7,7,7,6,7,5,693,0,45,738,0
26,2,391,192,1,0,2,1,1,3,3,596,0,4,600,0
27,3,359,157,1,0,0,0,0,1,2,523,0,5,528,0
28,18,421,165,3,0,6,1,2,0,6,622,0,6,628,0
,687,7137,6038,268,96,126,97,111,161,262,14983,0,772,15755,0
,687,7137,6038,268,96,126,97,111,161,262,14983,0,772,15755,0
29,20,253,289,9,5,6,5,6,8,16,617,0,25,642,0
30,41,203,302,6,4,1,4,2,4,5,572,0,14,586,0
31,11,131,379,11,0,3,0,2,1,3,541,0,15,556,0
32,19,424,49,4,1,0,1,2,1,2,503,0,2,505,0
33,70,432,132,14,3,4,13,4,7,13,692,0,51,743,0
34,43,425,181,16,0,3,5,6,6,11,696,0,16,712,0
35,6,474,45,1,0,1,0,0,5,5,537,0,1,538,0
36,38,317,271,16,10,7,3,2,7,14,685,0,33,718,0
37,46,433,186,9,1,0,6,3,11,22,717,0,20,737,0
38,12,154,129,4,0,0,1,4,1,7,312,0,20,332,0
39,5,193,147,1,1,1,0,2,0,2,352,0,5,357,0
40,36,359,125,5,0,6,6,4,8,7,556,0,30,586,0
41,12,49,112,3,0,2,1,2,1,5,187,0,13,200,0
42,10,187,144,6,3,0,1,1,6,2,360,0,8,368,0
,1056,11171,8529,373,124,160,143,151,227,376,22310,0,1025,23335,0
,1056,11171,8529,373,124,160,143,151,227,376,22310,0,1025,23335,0
43,9,226,198,5,1,3,1,0,1,3,447,0,5,452,0
44,17,126,286,19,4,8,3,7,11,17,498,0,62,560,0
45,16,246,94,7,2,0,3,7,2,14,391,0,47,438,0
46,17,147,139,4,3,2,0,0,3,7,322,0,10,332,0
47,30,243,172,3,3,0,2,5,9,5,472,0,21,493,0
48,36,364,91,6,6,4,7,8,8,27,557,0,86,643,0
49,26,282,95,8,3,2,6,3,2,15,442,0,26,468,0
50,29,246,126,5,1,2,1,4,3,9,426,0,25,451,0
51,29,125,183,2,1,5,2,2,8,3,360,0,17,377,0
52,16,217,95,1,0,2,4,2,3,11,351,0,42,393,0
53,12,198,117,6,0,5,1,3,4,11,357,0,34,391,0
54,27,266,128,5,3,3,5,2,9,13,461,0,46,507,0
55,10,157,85,6,2,2,4,0,7,7,280,0,10,290,0
56,5,137,101,2,1,3,1,1,4,6,261,0,10,271,0
,1335,14151,10439,452,154,201,183,195,301,524,27935,0,1466,29401,0
,1335,14151,10439,452,154,201,183,195,301,524,27935,0,1466,29401,0
57,10,146,159,4,0,3,1,3,2,2,330,0,7,337,0
58,23,134,279,6,2,1,2,4,4,2,457,0,7,464,0
59,18,160,263,10,1,7,4,3,6,3,475,0,15,490,0
60,16,241,86,1,1,2,0,0,1,6,354,0,6,360,0
61,46,228,77,2,5,3,3,1,4,4,373,0,13,386,0
62,86,236,140,17,3,6,5,1,5,13,512,0,30,542,0
63,16,134,140,6,2,3,3,0,1,13,318,0,25,343,0
64,46,253,264,9,4,1,7,5,11,15,615,0,43,658,0
65,37,239,146,4,5,6,5,3,10,14,469,0,37,506,0
66,39,133,149,6,3,3,1,3,8,10,355,0,21,376,0
67,22,251,271,7,5,5,2,1,10,13,587,0,20,607,0
68,17,113,149,6,4,1,2,0,5,4,301,0,33,334,0
69,35,144,171,8,5,1,5,6,6,13,394,0,35,429,0
70,54,266,99,14,3,8,8,6,7,18,483,0,57,540,0
,1800,16829,12832,552,197,251,231,231,381,654,33958,0,1815,35773,0
,1800,16829,12832,552,197,251,231,231,381,654,33958,0,1815,35773,0
71,36,203,105,13,5,6,3,1,6,12,390,0,49,439,0
72,29,95,196,11,1,5,4,3,5,12,361,0,73,434,0
73,39,89,194,14,3,1,3,0,2,4,349,0,15,364,0
74,8,542,72,5,0,2,2,1,2,8,642,0,17,659,0
75,72,346,59,6,6,8,6,8,4,14,529,0,52,581,0
76,30,216,85,4,6,8,5,1,15,15,385,0,33,418,0
77,15,152,99,12,2,2,5,0,5,4,296,0,13,309,0
78,11,121,149,3,1,3,2,3,2,4,299,0,4,303,0
79,15,105,173,11,1,3,2,4,5,8,327,0,17,344,0
80,14,128,81,7,3,4,4,5,7,12,265,0,27,292,0
81,37,313,246,11,7,3,8,7,15,25,672,0,50,722,0
82,19,225,228,11,2,1,1,3,2,5,497,0,24,521,0
83,27,130,112,4,2,1,3,0,9,7,295,0,7,302,0
84,25,128,101,7,2,0,3,2,4,2,274,0,16,290,0
,2177,19622,14732,671,238,298,282,269,464,786,39539,0,2212,41751,0
,2177,19622,14732,671,238,298,282,269,464,786,39539,0,2212,41751,0
85,11,99,210,8,2,5,3,0,5,6,349,0,16,365,0
86,12,363,66,1,0,1,2,1,2,3,451,0,3,454,0
87,21,285,282,2,5,6,5,0,3,5,614,0,8,622,0
88,15,218,195,4,4,2,6,2,2,3,451,0,10,461,0
89,25,243,226,14,3,8,7,3,6,16,551,0,52,603,0
90,9,151,225,5,4,1,2,2,6,4,409,0,16,425,0
91,18,164,114,1,2,1,3,2,6,4,315,0,13,328,0
92,47,321,93,7,7,4,9,7,15,21,531,0,56,587,0
93,45,284,160,13,1,2,2,2,4,10,523,0,30,553,0
94,16,351,101,6,2,2,1,2,6,8,495,0,9,504,0
95,35,216,131,3,2,1,4,1,5,1,399,0,14,413,0
96,36,339,130,5,6,6,5,2,4,7,540,0,40,580,0
97,19,198,66,2,2,6,5,7,7,12,324,0,48,372,0
98,29,257,151,9,5,0,6,5,5,6,473,0,23,496,0
,2515,23111,16882,751,283,343,342,305,540,892,45964,0,2550,48514,0
,2515,23111,16882,751,283,343,342,305,540,892,45964,0,2550,48514,0
99,21,181,74,1,2,1,1,3,4,4,292,0,23,315,0
100,7,113,89,3,1,1,1,1,8,7,231,0,21,252,0
101,47,281,172,13,5,4,6,4,9,15,556,0,50,606,0
102,19,185,94,7,4,0,2,4,2,8,325,0,28,353,0
103,14,255,332,10,1,4,6,2,2,4,630,0,19,649,0
104,51,365,140,12,8,9,7,9,10,19,630,0,63,693,0
105,29,310,82,6,3,1,2,2,4,10,449,0,33,482,0
106,25,362,117,5,2,2,5,2,10,11,541,0,33,574,0
107,17,142,42,3,1,3,5,4,6,8,231,0,31,262,0
108,19,213,99,2,2,3,3,3,4,14,362,0,15,377,0
109,17,370,156,8,7,7,9,2,9,19,604,0,34,638,0
110,8,136,264,5,2,1,3,1,0,4,424,0,2,426,0
111,25,219,94,2,3,3,4,4,6,6,366,0,28,394,0
112,15,168,88,7,1,2,1,1,2,3,288,0,8,296,0
,2829,26411,18725,835,325,384,397,347,616,1024,51893,0,2938,54831,0
,2829,26411,18725,835,325,384,397,347,616,1024,51893,0,2938,54831,0
113,31,276,223,11,2,5,4,7,8,11,578,0,44,622,0
114,46,353,96,7,4,1,4,4,7,12,534,0,48,582,0
115,22,425,123,4,4,1,2,4,6,7,598,0,16,614,0
116,13,98,191,9,1,5,3,0,4,2,326,0,14,340,0
117,28,319,234,10,2,2,8,6,5,12,626,0,29,655,0
118,12,81,176,9,0,1,3,1,5,9,297,0,14,311,0
119,17,133,214,5,1,5,4,7,7,6,399,0,20,419,0
120,13,25,507,8,2,3,1,0,4,5,568,0,7,575,0
121,7,53,398,4,2,1,0,0,1,3,469,0,3,472,0
122,10,177,205,6,4,0,1,5,1,2,411,0,6,417,0
123,14,286,65,1,1,25,2,1,2,5,402,0,13,415,0
124,30,304,82,3,2,1,4,2,2,7,437,0,25,462,0
125,11,463,32,0,2,4,1,0,1,2,516,0,10,526,0
126,15,452,79,3,1,4,0,1,1,1,557,0,13,570,0
