No Polling St.,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,OMPRAK ASH SHRIVAS 2,DARSHA NA VIKRAM 3,DESAI NAISHAD HBHAI 4,KIRITBHA I HARJIBH 5,MOHANB HAI B. PATEL 6,VASAVA KISHORB HAI 7,MAVJIBH AI LAXMAN 8,MUKESH BHAI LAVJIBH 9,,,,,
,,,,,,,,,,,,,14
1,2,189,25,1,0,1,0,1,219,0,7,226,0
2,7,451,294,5,15,3,7,8,790,0,18,808,0
3,6,423,238,11,18,2,1,4,703,0,7,710,0
4,2,298,50,0,5,0,0,1,356,0,5,361,0
5,10,257,156,5,41,1,3,5,478,0,14,492,0
6,6,354,135,7,6,0,4,5,517,0,7,524,0
7,6,243,182,9,5,1,3,0,449,0,11,460,0
8,4,547,174,6,4,0,4,5,744,0,25,769,0
9,6,311,142,1,7,0,5,4,476,0,10,486,0
10,11,332,166,4,10,1,4,2,530,0,10,540,0
11,1,92,209,1,4,4,5,0,316,0,5,321,0
12,4,104,153,6,3,5,5,1,281,0,5,286,0
13,5,457,205,5,9,2,4,1,688,0,14,702,0
14,13,645,151,2,4,1,5,6,827,0,6,833,0
15,1,131,157,3,1,7,2,1,303,0,4,307,0
16,2,286,110,3,1,0,2,1,405,0,4,409,0
17,7,370,294,7,19,0,3,12,712,0,11,723,0
18,7,387,109,2,10,1,0,2,518,0,1,519,0
19,2,286,103,3,11,0,2,0,407,0,6,413,0
20,7,707,40,2,5,3,2,5,771,0,6,777,0
21,1,380,15,0,3,1,0,2,402,0,1,403,0
22,2,435,14,0,1,0,0,0,452,0,0,452,0
23,0,290,7,0,2,1,2,1,303,0,5,308,0
24,6,393,18,0,4,2,3,4,430,0,1,431,0
25,2,241,17,1,3,0,0,1,265,0,2,267,0
26,3,249,14,0,5,0,0,1,272,0,1,273,0
27,5,346,39,2,10,1,0,1,404,0,2,406,0
28,4,344,103,5,1,2,3,4,466,0,10,476,0
29,8,604,56,2,3,1,0,3,677,0,6,683,0
30,2,129,85,1,4,0,2,4,227,0,5,232,0
31,9,477,266,5,8,2,2,8,777,0,13,790,0
32,3,414,336,5,16,2,2,3,781,0,10,791,0
33,10,302,275,7,7,2,3,2,608,0,4,612,0
34,11,292,172,3,7,1,3,4,493,0,24,517,0
35,8,210,353,4,17,14,4,2,612,0,5,617,0
36,21,640,53,3,9,2,2,4,734,0,4,738,0
37,2,578,123,1,5,0,0,1,710,0,4,714,0
38,0,465,46,1,5,1,1,0,519,0,0,519,0
39,0,385,30,0,2,1,0,0,418,0,5,423,0
40,8,613,139,3,8,17,1,3,792,0,13,805,0
41,6,481,48,0,4,0,0,1,540,0,3,543,0
42,3,577,128,0,10,0,1,2,721,0,13,734,0
43,17,221,301,2,6,3,2,2,554,0,4,558,0
44,6,314,191,3,4,3,2,2,525,0,5,530,0
45,0,418,55,1,6,0,0,0,480,0,2,482,0
46,4,777,100,2,12,1,1,2,899,0,10,909,0
47,19,733,177,7,12,0,1,8,957,0,24,981,0
48,6,655,163,4,21,4,2,4,859,0,9,868,0
49,10,472,185,8,9,10,2,1,697,0,16,713,0
50,5,303,86,1,1,0,1,0,397,0,4,401,0
51,6,155,223,1,1,4,0,5,395,0,4,399,0
52,1,464,144,4,11,0,2,3,629,0,6,635,0
53,9,166,219,14,8,10,5,3,434,0,14,448,0
54,0,216,114,1,6,0,2,4,343,0,7,350,0
55,4,281,104,2,3,1,1,3,399,0,3,402,0
56,2,211,123,3,4,0,3,1,347,0,1,348,0
57,25,531,310,5,20,3,4,6,904,0,11,915,0
58,3,323,54,0,8,1,0,1,390,0,4,394,0
59,7,505,156,1,7,0,1,0,677,0,3,680,0
60,4,487,58,0,5,0,0,3,557,0,1,558,0
61,8,390,46,0,11,1,2,0,458,0,7,465,0
62,6,435,48,1,20,1,1,4,516,0,5,521,0
63,8,488,51,0,0,2,0,3,552,0,5,557,0
64,4,445,87,3,9,2,2,1,553,0,5,558,0
65,4,255,27,0,6,0,3,0,295,0,3,298,0
66,1,298,43,2,0,0,1,3,348,0,1,349,0
67,9,374,330,3,13,1,4,8,742,0,15,757,0
68,1,131,475,4,3,1,1,2,618,0,3,621,0
69,8,777,52,1,5,0,3,2,848,0,7,855,0
70,9,243,394,2,8,2,5,8,671,0,13,684,0
71,7,555,83,1,7,0,0,0,653,0,2,655,0
72,4,741,56,0,8,0,1,5,815,0,7,822,0
73,5,683,84,2,2,1,2,2,781,0,8,789,0
74,5,553,149,4,3,2,7,6,729,0,12,741,0
75,10,368,228,5,4,1,4,6,626,0,16,642,0
76,3,336,177,0,19,1,1,1,538,0,15,553,0
77,3,249,522,4,18,0,2,4,802,0,11,813,0
78,3,222,151,1,6,0,1,3,387,0,9,396,0
79,9,435,218,6,7,3,2,9,689,0,18,707,0
80,6,444,186,4,2,18,2,5,667,0,8,675,0
81,17,417,361,12,15,12,6,9,849,0,24,873,0
82,1,432,47,0,8,0,1,1,490,0,6,496,0
83,12,133,311,2,3,13,5,5,484,0,27,511,0
84,12,444,114,5,7,0,1,2,585,0,6,591,0
85,4,373,17,0,4,2,3,7,410,0,5,415,0
86,19,232,328,16,19,5,6,1,626,0,18,644,0
87,7,291,169,2,4,1,2,4,480,0,5,485,0
88,9,340,187,3,9,1,3,3,555,0,9,564,0
89,4,358,185,3,3,4,3,3,563,0,7,570,0
90,3,509,85,4,12,0,1,3,617,0,9,626,0
91,10,333,104,2,8,1,2,2,462,0,7,469,0
92,4,292,64,1,9,0,0,1,371,0,6,377,0
93,7,279,202,7,6,1,2,4,508,0,1,509,0
94,4,562,25,4,0,1,3,5,604,0,4,608,0
95,10,769,58,8,0,0,4,9,858,0,7,865,0
96,9,588,109,4,5,1,4,6,726,0,10,736,0
97,4,213,70,0,11,0,1,1,300,0,4,304,0
98,3,174,66,1,26,2,0,1,273,0,3,276,0
99,1,156,92,5,7,1,1,1,264,0,1,265,0
100,8,397,300,6,5,0,1,4,721,0,11,732,0
101,3,466,267,5,4,1,7,0,753,0,7,760,0
102,4,398,154,2,1,0,0,8,567,0,4,571,0
103,4,523,276,3,15,0,8,1,830,0,6,836,0
104,14,529,287,9,3,3,6,13,864,0,24,888,0
