Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Narendra Modi,Mistri Madhusudan Devram,Rohit Madhusudan Mohanbhai,Jadav Ambalal Kanabhai,Tapan Dasgupta,Pathan Mahemudkhan Razakkhan,Pathan Sahebkhan Asifkhan,Sunil Digambar Kulkarni,,,,,
223,553,243,5,1,3,5,6,7,823,0,14,837,0
224,739,66,2,2,5,3,5,2,824,0,15,839,0
225,721,174,3,3,1,0,0,3,905,0,8,913,0
226,736,133,6,1,2,0,0,4,882,0,5,887,0
227,433,116,1,0,1,0,0,5,556,0,6,562,0
228,390,478,10,1,2,2,2,4,889,0,9,898,0
229,235,290,4,1,4,0,3,0,537,0,6,543,0
230,493,158,3,1,2,0,0,5,662,0,17,679,0
231,383,453,5,0,0,0,3,7,851,0,11,862,0
232,377,213,12,0,5,0,2,4,613,0,23,636,0
233,201,28,1,2,0,0,1,1,234,0,1,235,0
234,640,272,8,3,1,2,5,8,939,0,29,968,0
235,200,67,1,1,1,0,2,2,274,0,4,278,0
236,427,220,9,1,1,4,7,11,680,0,7,687,0
237,121,24,1,0,0,1,0,0,147,0,4,151,0
238,477,233,7,3,3,3,2,7,735,0,44,779,0
239,153,16,0,0,0,0,0,1,170,0,2,172,0
240,209,21,1,0,0,0,0,2,233,0,2,235,0
241,566,98,10,3,7,9,8,21,722,0,38,760,0
242,418,152,9,0,4,4,6,7,600,0,27,627,0
243,496,249,8,1,2,1,1,4,762,0,18,780,0
244,485,279,2,2,5,3,2,5,783,0,20,803,0
245,243,122,3,2,2,0,2,7,381,0,16,397,0
246,298,131,10,2,2,3,5,12,463,0,29,492,0
247,286,169,0,0,0,0,2,1,458,0,4,462,0
248,190,301,3,1,0,0,1,3,499,0,5,504,0
249,570,207,9,3,1,3,4,15,812,0,43,855,0
250,355,253,14,4,5,9,11,11,662,0,22,684,0
