polling station,BHAMBHI CHANDUBHAI MULCHANDBHAI,RATHOD DIPSINH SHANKARSINH,SHANKERSINH VAGHELA BAPU,PATEL BHOGILAL HARIBHAI,SHEKH ARIF KHAN,PATEL ISHWARBHAI SAKRAJI ,PATEL PURUSOTTAMBHAI AMBALAL,BALUSINGH SOMANSINGH NARVE,VELANI SHANTILAL KARAMSHI,SOLANKI CHHAGANBHAI KEVALABHAI,NOTA,valid,Rejected Votes,Total Votes,Tender Votes
1,7,350,88,4,0,0,0,1,3,13,14,480,0,480,0
2,6,253,177,2,2,0,1,3,0,9,5,458,0,458,0
3,11,361,224,5,4,0,1,0,2,7,9,624,0,624,0
4,0,93,1,0,0,0,0,0,0,0,0,94,0,94,0
5,0,97,285,2,0,0,0,1,4,1,4,394,0,394,0
6,8,215,104,7,0,0,1,2,3,9,6,355,0,355,0
7,6,180,101,1,0,1,0,1,0,6,5,301,0,301,0
8,5,215,165,0,0,1,1,1,3,1,17,409,0,409,0
9,6,106,217,3,0,0,0,0,1,0,6,339,0,339,0
10,2,134,19,1,3,0,0,1,0,2,3,165,0,165,0
11,27,380,228,4,1,1,1,2,9,7,14,674,0,674,0
12,11,445,160,3,1,1,0,0,2,4,2,629,0,629,0
13,4,337,11,2,0,0,0,0,4,3,1,362,0,362,0
14,7,289,97,3,1,1,0,0,6,5,9,418,0,418,0
15,10,373,90,1,2,0,0,1,2,3,6,488,0,488,0
16,5,63,203,1,0,0,1,2,2,6,4,287,0,287,0
17,8,238,166,1,0,0,0,4,2,5,4,428,0,428,0
18,8,201,358,3,2,1,4,4,5,14,13,613,0,613,0
19,13,694,139,3,3,2,2,1,4,14,18,893,0,893,0
20,0,71,153,3,0,0,1,0,1,2,1,232,0,232,0
21,8,167,432,1,1,2,0,3,3,7,9,633,0,633,0
22,3,453,80,3,1,2,0,0,4,5,8,559,0,559,0
23,5,471,143,3,0,0,0,1,2,0,8,633,0,633,0
24,4,617,44,2,0,0,0,1,3,7,7,685,0,685,0
25,4,256,167,4,2,0,0,0,2,2,1,438,0,438,0
26,7,404,115,4,2,2,1,1,5,6,9,556,0,556,0
27,9,264,156,8,1,1,0,1,4,3,3,450,0,450,0
28,5,477,203,2,0,0,2,5,8,7,7,716,0,716,0
29,3,255,58,1,2,0,1,1,1,3,3,328,0,328,0
30,4,286,87,1,0,0,1,0,0,4,4,387,0,387,0
31,9,274,204,5,2,0,0,3,9,2,16,524,0,524,0
32,5,240,149,3,0,0,0,0,0,0,4,401,0,401,0
33,5,407,62,2,0,2,2,0,2,4,5,491,0,491,0
34,5,495,139,1,0,0,2,0,2,2,11,657,0,657,0
35,5,341,319,3,2,1,1,2,4,6,4,688,0,688,0
36,4,258,317,9,0,0,2,2,4,3,9,608,0,608,0
37,2,158,64,0,0,0,0,1,1,0,3,229,0,229,0
38,1,745,32,2,0,0,0,0,2,7,4,793,0,793,0
39,2,519,97,1,1,0,0,2,2,6,2,632,0,632,0
40,31,308,239,7,2,1,1,7,10,13,23,642,0,642,0
41,11,544,220,2,1,0,1,4,4,8,16,811,0,811,0
