Serial  No.of  Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,Total of valid  votes,No. of  Rejected  Votes,NOTA,Total,No. of  tendered  votes
,Thakor Kevalji Nathaji,Patel Jayshreeben Kanubhai,Patel Jivabhai Ambalal,Girishji Jenaji Dabhi,Chaudhary Dineshbhai Salubhai,Zala Indrajitsinh Mahendrasinh,Thakor Mansangji Punjaji,Patel Dilipbhai Somabhai,Smt. Vandanaben Dineshkumar Patel,Thakor Baldevji Maganji,Thakor Babuji Dhanaji,Thakor Samaratji Balavantsinh,Prajapati Vitthalbhai Virdas,Mahmad Azam Haiderkhan Pathan,,,,,
152,6,254,76,2,0,0,0,0,4,0,0,0,2,3,347,0,3,350,0
153,5,535,86,0,1,0,1,0,3,0,1,0,3,9,644,0,6,650,0
154,4,301,321,3,0,1,2,0,4,0,0,1,4,4,645,0,6,651,0
155,6,382,278,2,1,1,3,2,1,1,1,3,9,1,691,0,9,700,0
156,2,489,179,0,1,0,0,0,4,1,0,2,1,3,682,0,3,685,0
157,12,384,244,4,0,2,0,0,2,0,4,0,3,6,661,0,7,668,0
158,8,91,417,9,0,0,1,1,0,0,3,4,5,9,548,0,9,557,0
159,5,315,183,5,0,1,0,1,3,1,0,0,0,0,514,0,3,517,0
160,4,406,140,0,1,1,1,1,1,1,1,2,3,2,564,0,4,568,0
161,4,659,142,0,0,0,2,0,0,0,1,0,0,0,808,0,3,811,0
162,4,323,193,4,0,2,1,0,4,1,8,1,2,5,548,0,7,555,0
163,2,243,376,6,1,0,5,3,3,3,38,3,0,2,685,0,4,689,0
164,5,193,383,1,1,2,2,1,3,2,20,1,6,3,623,0,11,634,0
165,4,29,445,9,1,1,2,0,1,1,0,0,6,2,501,0,12,513,0
166,11,125,412,6,2,2,0,5,2,1,1,2,7,4,580,0,7,587,0
167,10,158,431,4,0,0,0,0,2,0,1,7,3,8,624,0,9,633,0
168,6,395,205,3,3,0,3,0,1,2,3,1,5,11,638,0,6,644,0
169,9,375,357,4,3,1,2,0,0,2,3,4,3,5,768,0,11,779,0
170,21,111,400,4,1,1,1,3,2,1,5,4,6,6,566,0,15,581,0
171,5,134,380,10,1,1,0,2,3,2,0,0,6,7,551,0,8,559,0
172,0,240,422,1,29,0,1,1,1,0,2,1,6,5,709,0,1,710,0
173,7,436,359,3,1,1,17,0,4,2,4,0,9,6,849,0,9,858,0
174,8,656,193,1,0,0,2,0,3,2,0,0,4,1,870,0,8,878,0
175,3,187,305,5,1,1,0,3,3,2,2,1,6,13,532,0,9,541,0
176,3,268,182,4,0,0,2,1,5,2,4,1,4,5,481,0,4,485,0
177,5,238,281,6,0,0,0,1,2,1,1,2,2,4,543,0,9,552,0
178,5,73,556,9,1,0,2,0,2,0,3,3,11,9,674,0,6,680,0
179,3,151,74,0,0,2,0,0,1,0,1,0,2,3,237,0,3,240,0
180,8,374,306,4,2,1,2,0,2,1,2,2,4,7,715,0,19,734,0
181,5,464,242,3,2,0,0,1,1,1,1,1,7,8,736,0,10,746,0
182,3,547,34,0,0,0,0,1,0,2,2,0,2,0,591,0,2,593,0
183,7,505,150,3,0,0,2,1,1,1,3,1,7,1,682,0,14,696,0
184,0,181,143,2,0,1,0,0,1,0,0,2,4,8,342,0,4,346,0
185,9,473,246,2,1,7,0,0,0,0,0,1,3,17,759,0,17,776,0
186,8,277,262,11,0,0,0,0,5,0,2,5,1,9,580,0,5,585,0
187,3,258,40,0,0,1,0,1,2,0,0,0,1,4,310,0,0,310,0
188,14,232,268,4,0,4,1,1,1,9,2,5,10,13,564,0,18,582,0
189,7,247,199,7,2,3,1,0,2,2,2,4,6,3,485,0,14,499,0
190,10,288,186,1,1,2,2,0,0,2,0,0,4,5,501,0,4,505,0
191,12,290,211,1,1,13,1,3,1,3,3,2,4,9,554,0,12,566,0
192,21,335,148,5,1,23,0,1,2,1,3,3,9,28,580,0,28,608,0
193,17,469,184,3,2,19,1,2,6,2,6,3,9,14,737,0,35,772,0
194,12,424,100,2,2,9,2,3,2,4,3,2,6,11,582,0,23,605,0
195,3,383,286,2,1,1,0,1,4,0,0,4,4,4,693,0,7,700,0
196,3,544,64,1,1,0,0,0,1,1,0,0,0,2,617,0,1,618,0
197,8,336,207,2,2,5,4,1,1,1,44,3,5,5,624,0,6,630,0
198,6,445,229,5,0,1,1,2,1,0,5,0,9,8,712,0,11,723,0
199,9,508,225,2,0,0,0,0,5,1,2,3,3,2,760,0,10,770,0
200,3,410,128,1,0,2,0,0,0,0,1,0,2,7,554,0,7,561,0
201,6,360,429,4,0,0,1,0,2,0,0,0,3,3,808,0,5,813,0
202,8,242,327,10,0,1,1,2,3,0,2,5,14,10,625,0,26,651,0
203,7,119,425,3,0,1,4,1,2,0,0,0,4,4,570,0,4,574,0
204,7,427,244,2,0,1,0,0,0,1,0,2,5,10,699,0,11,710,0
205,16,258,238,7,1,2,0,0,1,3,2,3,13,11,555,0,30,585,0
206,7,246,263,3,0,3,1,2,0,1,4,0,2,8,540,0,8,548,0
207,3,190,332,3,0,0,0,1,0,1,1,4,4,3,542,0,8,550,0
208,8,367,159,2,0,0,0,1,4,0,1,0,1,3,546,0,5,551,0
209,8,359,146,4,1,1,0,1,0,1,3,3,7,2,536,0,9,545,0
210,4,239,337,1,0,0,1,0,1,0,1,1,2,1,588,0,6,594,0
211,5,303,155,6,1,0,0,1,2,1,1,4,13,9,501,0,12,513,0
212,1,71,658,4,2,0,1,0,0,2,1,0,13,4,757,0,8,765,0
213,7,305,160,5,0,1,0,1,0,1,2,2,2,8,494,0,1,495,0
214,7,228,109,3,0,2,1,1,7,0,2,1,2,4,367,0,4,371,0
215,5,183,238,6,0,1,0,0,3,2,1,0,5,6,450,0,6,456,0
216,3,264,106,0,1,1,0,0,0,1,1,0,2,1,380,0,1,381,0
217,17,204,284,4,0,1,2,2,0,0,3,3,6,2,528,0,7,535,0
218,4,305,72,2,0,0,1,0,0,0,0,0,0,1,385,0,6,391,0
219,4,232,209,5,2,1,0,1,0,0,1,0,2,2,459,0,2,461,0
220,3,243,303,1,0,0,0,0,0,1,1,2,3,4,561,0,5,566,0
221,4,35,853,9,0,1,1,0,2,0,4,3,12,2,926,0,7,933,0
222,10,35,753,6,1,0,0,1,0,0,0,1,17,7,831,0,5,836,0
223,5,31,810,16,2,1,0,0,1,0,0,1,12,2,881,0,2,883,0
224,8,128,288,3,1,0,1,1,2,0,2,1,4,2,441,0,3,444,0
225,5,219,336,2,0,1,0,0,0,2,2,1,3,3,574,0,6,580,0
226,6,653,168,4,0,0,0,0,3,1,3,2,3,2,845,0,8,853,0
227,7,287,385,3,0,0,0,3,1,0,1,3,5,1,696,0,4,700,0
228,3,331,340,7,0,1,1,1,1,0,7,6,4,3,705,0,11,716,0
229,5,328,42,1,0,0,1,0,3,1,2,0,2,4,389,0,6,395,0
230,9,246,367,2,3,2,1,0,0,0,1,1,12,8,652,0,8,660,0
231,5,450,222,1,0,0,1,1,0,1,4,1,4,7,697,0,4,701,0
232,4,427,67,0,0,1,1,1,1,1,0,3,4,0,510,0,5,515,0
233,3,260,282,4,0,0,4,1,0,3,2,1,9,7,576,0,8,584,0
234,9,226,479,9,3,2,3,1,3,3,2,3,13,7,763,0,12,775,0
235,8,181,396,11,1,2,1,1,3,2,4,3,8,11,632,0,15,647,0
236,4,733,151,2,2,0,0,2,4,1,0,3,3,4,909,0,6,915,0
237,12,341,329,10,2,0,1,1,5,7,5,4,10,10,737,0,21,758,0
238,11,480,178,4,2,2,6,1,6,3,1,4,3,9,710,0,16,726,0
239,4,429,224,2,0,0,0,2,3,2,1,4,8,6,685,0,8,693,0
240,3,381,241,1,1,1,0,1,1,2,1,0,7,6,646,0,4,650,0
241,12,236,455,6,1,1,1,3,2,2,2,6,18,12,757,0,11,768,0
242,7,324,433,0,0,1,0,0,1,0,2,3,2,6,779,0,6,785,0
243,5,147,508,5,1,1,4,1,2,0,2,4,6,12,698,0,13,711,0
244,6,172,307,4,0,1,1,3,0,2,1,5,7,10,519,0,20,539,0
245,2,222,417,2,3,1,1,1,0,1,0,0,2,2,654,0,5,659,0
246,17,465,233,3,1,0,1,1,0,2,3,2,8,8,744,0,17,761,0
