AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TOTVOTPOLL,POSITION,religion,certainty
1,Seohara,GEN,YASH PAL SINGH,M,GEN,55,BSP,47751,1,Hindu,18
1,Seohara,GEN,QUTUBDDIN,M,GEN,46,SP,32873,2,Unknown,0
1,Seohara,GEN,MAHAVEER SINGH,M,GEN,64,BJP,22743,3,Hindu,25
1,Seohara,GEN,ANWAR JAMEEL,M,GEN,44,INC,20745,4,Muslim,11
1,Seohara,GEN,RANA PRATAP SINGH,M,GEN,53,RLD,20458,5,Hindu,17
1,Seohara,GEN,SURENDER SINGH,M,GEN,44,IND,3290,6,Sikh,33
1,Seohara,GEN,MATLOOB,M,GEN,31,NBNP,1177,7,Muslim,66
1,Seohara,GEN,MEHBOOB ALAM,M,GEN,40,IND,768,8,Muslim,11
1,Seohara,GEN,RAM SINGH,M,GEN,40,IND,696,9,Hindu,8
1,Seohara,GEN,ATHHAR,M,GEN,42,IND,620,10,Unknown,0
1,Seohara,GEN,AKBAR ALI,M,GEN,40,NLHP,514,11,Muslim,46
1,Seohara,GEN,NASIR HUSAIN,M,GEN,34,IND,391,12,Muslim,46
2,Dhampur,GEN,ASHOK KUMAR RANA,M,GEN,47,BSP,65717,1,Hindu,50
2,Dhampur,GEN,THAKUR MOOL CHAND CHAUHAN,M,GEN,52,SP,45191,2,Hindu,5
2,Dhampur,GEN,LOKENDRA KUMAR,M,GEN,30,BJP,26068,3,Hindu,16
2,Dhampur,GEN,AALE HASAN,M,GEN,57,RLD,12331,4,Muslim,16
2,Dhampur,GEN,RASHEED AHMAD,M,GEN,52,INC,4029,5,Muslim,17
2,Dhampur,GEN,MOHAN SINGH,M,GEN,32,RTKP,1826,6,Hindu,5
2,Dhampur,GEN,SUBHASH,M,GEN,38,IND,1691,7,Hindu,66
2,Dhampur,GEN,VEER SINGH,M,GEN,34,IND,770,8,Hindu,3
2,Dhampur,GEN,TIKAM SINGH,M,GEN,40,IND,744,9,Hindu,16
2,Dhampur,GEN,SHUJAUDDIN,M,GEN,34,IND,533,10,Unknown,0
2,Dhampur,GEN,PRAMOD,M,GEN,39,IND,469,11,Hindu,66
2,Dhampur,GEN,SHER ALI,M,GEN,59,UPUDF,467,12,Muslim,4
2,Dhampur,GEN,SARWAR NAGINWI,M,GEN,67,LD,398,13,Unknown,0
2,Dhampur,GEN,RAKESH KUMAR,M,GEN,47,IND,342,14,Hindu,46
2,Dhampur,GEN,SAFIQ,M,GEN,43,MUL,240,15,Unknown,0
2,Dhampur,GEN,NIBHRASH KUMAR,M,GEN,42,IND,236,16,Hindu,16
3,Afzalgarh,GEN,MUHAMMAD GAZI,M,GEN,31,BSP,59496,1,Muslim,83
3,Afzalgarh,GEN,DR. INDRA DEV SINGH,M,GEN,53,BJP,51066,2,Hindu,24
3,Afzalgarh,GEN,SHEIKH SULAMAN ALIAS PAPPU,M,GEN,50,SP,23522,3,Unknown,0
3,Afzalgarh,GEN,HUSAIN AHMAD,M,GEN,49,INC,21472,4,Muslim,27
3,Afzalgarh,GEN,PAWAN KUMAR,M,GEN,50,RLD,3924,5,Hindu,46
3,Afzalgarh,GEN,KM. PREM LATA,F,GEN,30,BJSH,2279,6,Hindu,19
3,Afzalgarh,GEN,RAJPAL,M,SC,37,IND,1238,7,Sikh,66
3,Afzalgarh,GEN,ARUN KUMAR,M,GEN,51,NCP,1107,8,Hindu,46
3,Afzalgarh,GEN,CHANDRA PAL SINGH,M,SC,42,IND,743,9,Hindu,50
3,Afzalgarh,GEN,RATAN SINGH,M,SC,36,IND,704,10,Unknown,0
3,Afzalgarh,GEN,YASH PAL,M,GEN,35,RJD,629,11,Hindu,6
3,Afzalgarh,GEN,SHEIKH AFZAL,M,GEN,46,ASPI,583,12,Muslim,16
3,Afzalgarh,GEN,PARSADI SINGH,M,GEN,30,PHSP,555,13,Hindu,16
3,Afzalgarh,GEN,ZAKIR,M,GEN,37,NLHP,545,14,Muslim,66
3,Afzalgarh,GEN,RAGHUVEER,M,SC,57,IND,462,15,Hindu,66
3,Afzalgarh,GEN,ABID,M,GEN,34,CPI(ML)(L),349,16,Muslim,16
4,Nagina,SC,OMWATI DEVI,F,SC,60,BSP,46551,1,Hindu,3
4,Nagina,SC,MANOJ KUMAR PARAS,M,SC,40,SP,36764,2,Hindu,60
4,Nagina,SC,LOVE KUSH KUMAR,M,SC,41,BJP,24003,3,Hindu,8
4,Nagina,SC,RAJU LAL,M,SC,46,ASPI,12527,4,Hindu,5
4,Nagina,SC,RACHNA,F,SC,28,RLD,10210,5,Hindu,66
4,Nagina,SC,MUNNEY SINGH,M,SC,48,PHSP,2517,6,Hindu,16
4,Nagina,SC,SOUNATH,M,SC,68,IND,2172,7,Unknown,0
4,Nagina,SC,DOONGER SINGH,M,SC,50,INC,1950,8,Hindu,16
4,Nagina,SC,BHUPENDRA SINGH,M,SC,40,UPUDF,1173,9,Hindu,46
4,Nagina,SC,SAMAR PAL,M,SC,47,IND,899,10,Hindu,9
4,Nagina,SC,RAMESH SINGH,M,SC,36,IND,689,11,Hindu,5
4,Nagina,SC,HARKISHAN,M,SC,52,NLHP,666,12,Unknown,0
4,Nagina,SC,SURENDRA KUMAR,M,SC,42,IND,623,13,Hindu,5
4,Nagina,SC,JAGDISH SINGH,M,SC,47,IND,485,14,Hindu,46
4,Nagina,SC,GHASITA SINGH,M,SC,62,IND,427,15,Hindu,16
5,Nazibabad,SC,SHEESH RAM,M,SC,62,BSP,49848,1,Hindu,5
5,Nazibabad,SC,RAJ KUMAR,M,SC,42,CPM,41860,2,Hindu,5
5,Nazibabad,SC,SUSHILA,F,SC,44,BJP,18404,3,Hindu,66
5,Nazibabad,SC,RAGHU NATH SINGH,M,SC,72,RLD,5025,4,Hindu,46
5,Nazibabad,SC,KAMLESH BHUIYAR,F,SC,41,INC,4072,5,Hindu,83
5,Nazibabad,SC,RISHI PAL SINGH,M,SC,50,IND,3351,6,Hindu,50
5,Nazibabad,SC,SHRI RAM,M,SC,53,UPUDF,2670,7,Hindu,12
5,Nazibabad,SC,TIKA RAM,M,SC,52,NLHP,1435,8,Hindu,5
5,Nazibabad,SC,OM PRAKASH,M,SC,52,IJP,1257,9,Unknown,0
6,Bijnor,GEN,SHAHNAWAZ S/O BADRUJAMA,M,GEN,34,BSP,61588,1,Unknown,0
6,Bijnor,GEN,KUVAR BHARATENDRA,M,GEN,44,BJP,61031,2,Hindu,83
6,Bijnor,GEN,SHAHID ALI,M,GEN,38,SP,21826,3,Muslim,9
6,Bijnor,GEN,SUKHVIR SINGH,M,GEN,60,RLD,5890,4,Hindu,16
6,Bijnor,GEN,SUDHIR PARASHAR,M,GEN,44,INC,3812,5,Hindu,46
6,Bijnor,GEN,NISHCHAL KUMAR,M,GEN,35,IND,1415,6,Hindu,46
6,Bijnor,GEN,DHEER SINGH,M,GEN,42,IND,1250,7,Hindu,46
6,Bijnor,GEN,KIRPAL SINGH SAINI,M,GEN,54,PHSP,947,8,Hindu,3
6,Bijnor,GEN,RAMPAL,M,GEN,46,IND,943,9,Unknown,0
6,Bijnor,GEN,NAIYER MALIK,F,GEN,36,IND,927,10,Muslim,16
6,Bijnor,GEN,NARPAL,M,SC,50,NCP,910,11,Unknown,0
6,Bijnor,GEN,RAM KUMAR,M,GEN,43,IND,847,12,Hindu,8
6,Bijnor,GEN,HARVEER DEVI,F,SC,42,IND,656,13,Hindu,3
6,Bijnor,GEN,ZISHAN MALIK,M,GEN,46,RPI(A),546,14,Muslim,16
6,Bijnor,GEN,VIRENDRA KUMAR,M,GEN,32,IND,485,15,Hindu,46
6,Bijnor,GEN,TASLEEM,M,GEN,38,IND,470,16,Muslim,66
6,Bijnor,GEN,PRAKASH,M,GEN,40,LD,375,17,Unknown,0
6,Bijnor,GEN,SHAHNAWAZ S/O IDRISH,M,GEN,44,IND,353,18,Unknown,0
6,Bijnor,GEN,DR. SUKH PAL SINGH,M,GEN,65,LJP,339,19,Hindu,46
6,Bijnor,GEN,SAMIULLAH,M,GEN,42,IND,286,20,Unknown,0
6,Bijnor,GEN,PURSHOTTAM,M,GEN,51,IND,271,21,Hindu,66
6,Bijnor,GEN,IRSHAD,M,GEN,25,NLHP,265,22,Muslim,23
6,Bijnor,GEN,CHANDRA PAL SINGH,M,GEN,30,IND,259,23,Hindu,50
7,Chandpur,GEN,IQBAL,M,GEN,47,BSP,58808,1,Muslim,16
7,Chandpur,GEN,RAM AVTAR SINGH,M,GEN,42,BJP,28797,2,Hindu,16
7,Chandpur,GEN,SWAMI OMVESH,M,GEN,81,RLD,27705,3,Hindu,83
7,Chandpur,GEN,ARVIND KUMAR S/O RAMPRAKASH,M,GEN,47,IND,17831,4,Hindu,66
7,Chandpur,GEN,ASHOK CHAUDHARY,M,GEN,42,SP,16983,5,Hindu,46
7,Chandpur,GEN,RAKESH KUMAR,M,GEN,42,IND,4831,6,Hindu,46
7,Chandpur,GEN,DR. DHARAMVEER SINGH,M,GEN,57,INC,2082,7,Sikh,3
7,Chandpur,GEN,LOKENDRA,M,GEN,38,IND,1769,8,Unknown,0
7,Chandpur,GEN,SADARUDDIN,M,GEN,36,BKD,1069,9,Unknown,0
7,Chandpur,GEN,RAVI KANTA SHARMA,F,GEN,51,IND,884,10,Hindu,21
7,Chandpur,GEN,ILYAS ANJUM,M,GEN,51,LJP,618,11,Muslim,62
7,Chandpur,GEN,MEGHRAJ,M,GEN,35,IND,610,12,Hindu,66
7,Chandpur,GEN,OM PAL,M,GEN,50,PHSP,562,13,Hindu,16
7,Chandpur,GEN,TILAK RAM,M,GEN,72,IND,484,14,Hindu,14
7,Chandpur,GEN,RANVIR,M,SC,31,IND,395,15,Unknown,0
7,Chandpur,GEN,ARVIND KUMAR S/O MUKHRAM,M,GEN,30,IND,339,16,Hindu,66
8,Kanth,GEN,RIZWAN AHMAD KHAN,M,GEN,66,BSP,37945,1,Muslim,50
8,Kanth,GEN,ABHINAY CHAUDHARY,M,GEN,29,RLD,21817,2,Hindu,46
8,Kanth,GEN,BRAHM SINGH,M,GEN,56,NLHP,21734,3,Hindu,16
8,Kanth,GEN,RAJESH KUMAR URF CHUNNU,M,GEN,48,BJP,17175,4,Hindu,66
8,Kanth,GEN,ANEESUR REHMAN,M,GEN,45,RPD,14944,5,Muslim,66
8,Kanth,GEN,RENU CHAUDHARY,F,GEN,31,SP,11139,6,Hindu,46
8,Kanth,GEN,SOHANPALSINGH,M,GEN,44,RSMD,2724,7,Unknown,0
8,Kanth,GEN,DHRUV CHAUDHARY,M,GEN,37,INC,1531,8,Hindu,46
8,Kanth,GEN,RASHID HUSSAIN,M,GEN,29,IND,1230,9,Muslim,9
8,Kanth,GEN,SAMARPAL SINGH,M,GEN,44,SJP(R),825,10,Hindu,16
8,Kanth,GEN,MAJID SHAH,M,GEN,54,RSBP,779,11,Muslim,33
8,Kanth,GEN,CHATAR SINGH,M,GEN,44,IND,627,12,Hindu,16
8,Kanth,GEN,PRAKASH SINGH YADAV,M,GEN,28,ABHM,617,13,Hindu,22
8,Kanth,GEN,CHHATERAPAL,M,GEN,37,BKD,563,14,Unknown,0
8,Kanth,GEN,TARA CHANDR,M,SC,34,IJP,293,15,Unknown,0
9,Amroha,GEN,MEHBOOB ALI,M,GEN,54,SP,42115,1,Muslim,11
9,Amroha,GEN,MANGAL SINGH,M,GEN,58,BJP,41437,2,Hindu,4
9,Amroha,GEN,NADEEM ABBAS,M,GEN,35,RLD,17251,3,Muslim,19
9,Amroha,GEN,AADIL PERVEZ,M,GEN,43,BSP,16639,4,Muslim,20
9,Amroha,GEN,KHURSHID ANWAR,M,GEN,45,INC,6003,5,Muslim,9
9,Amroha,GEN,PRATAP SINGH,M,GEN,55,BJSH,1389,6,Hindu,16
9,Amroha,GEN,SHAUKAT,M,GEN,40,NLHP,1180,7,Unknown,0
9,Amroha,GEN,ISHRAT ALI,M,GEN,56,CPI,1137,8,Muslim,46
9,Amroha,GEN,RAJ KUMAR,M,GEN,42,IND,1042,9,Hindu,5
9,Amroha,GEN,NAEM AHMED URF SONU,M,GEN,26,RPD,880,10,Hindu,21
9,Amroha,GEN,SMT. PUSPA DEVI,F,GEN,39,LD,622,11,Hindu,3
9,Amroha,GEN,FAISAL USMANI,M,GEN,35,IND,516,12,Muslim,83
9,Amroha,GEN,AMIN AHMED,M,GEN,39,IND,511,13,Muslim,26
9,Amroha,GEN,UMME AMMARA,F,GEN,47,NBNP,428,14,Muslim,83
9,Amroha,GEN,SAJID RAEUF,M,GEN,32,IND,392,15,Muslim,83
9,Amroha,GEN,MEHPHUJA,F,GEN,39,IND,363,16,Unknown,0
9,Amroha,GEN,MOMRAJ SINGH,M,GEN,47,IND,353,17,Hindu,16
9,Amroha,GEN,MOHD SHAHID,M,GEN,50,RJD,328,18,Muslim,17
9,Amroha,GEN,PARVEZ,M,GEN,29,IND,264,19,Parsi,66
9,Amroha,GEN,MAHESH CHAND,M,GEN,42,IND,243,20,Hindu,46
9,Amroha,GEN,RAMMURTI,M,GEN,71,SHS,242,21,Unknown,0
9,Amroha,GEN,RAJEEV KUMAR SINGH,M,GEN,25,RSBP,205,22,Hindu,50
9,Amroha,GEN,RAGHUVIR,M,GEN,53,BSKP,187,23,Hindu,66
9,Amroha,GEN,MEHMOOD ALI URF BHURE,M,GEN,51,IND,166,24,Muslim,33
9,Amroha,GEN,SARFARAJ,M,GEN,51,IND,160,25,Unknown,0
9,Amroha,GEN,SANTOSH DEVI,F,GEN,47,IND,158,26,Hindu,13
9,Amroha,GEN,PAPPU,M,GEN,37,VAJP,156,27,Unknown,0
9,Amroha,GEN,KARTAR SINGH,M,GEN,47,IND,112,28,Hindu,5
9,Amroha,GEN,JAFAR RAZA,M,GEN,46,IND,103,29,Muslim,31
10,Hasanpur,GEN,FERHAT HASAN,M,GEN,47,BSP,50138,1,Muslim,16
10,Hasanpur,GEN,DEVENDRA NAGPAL,M,GEN,37,IND,46631,2,Hindu,32
10,Hasanpur,GEN,VIJAY PAL,M,GEN,34,RLD,22651,3,Hindu,46
10,Hasanpur,GEN,FARUQ,M,GEN,44,SP,17596,4,Muslim,40
10,Hasanpur,GEN,RAJ KUMAR,M,GEN,42,JD(U),6942,5,Hindu,5
10,Hasanpur,GEN,SHISHPAL SINGH,M,GEN,47,IND,3902,6,Hindu,16
10,Hasanpur,GEN,TOTA RAM,M,GEN,62,IND,3860,7,Hindu,5
10,Hasanpur,GEN,IQBAL AHMED,M,GEN,29,UPUDF,2849,8,Muslim,6
10,Hasanpur,GEN,DEVISARAN,M,GEN,55,IND,1800,9,Unknown,0
10,Hasanpur,GEN,SANDEEP BHARDWAJ,M,GEN,45,INC,1458,10,Hindu,46
10,Hasanpur,GEN,VIJAY PAL,M,GEN,42,LD,1166,11,Hindu,46
10,Hasanpur,GEN,ABRAR AHMED,M,GEN,64,IND,773,12,Muslim,26
10,Hasanpur,GEN,ANWAR ALI,M,GEN,41,IND,586,13,Muslim,5
10,Hasanpur,GEN,SATVIR SINGH,M,GEN,49,IJP,493,14,Hindu,16
10,Hasanpur,GEN,JAGWATI SAINI,F,GEN,36,IND,482,15,Unknown,0
10,Hasanpur,GEN,VIJAY SINGH,M,GEN,38,RSBP,308,16,Hindu,46
11,Gangeshwari,SC,HARPAL SINGH,M,SC,40,BJP,43142,1,Sikh,33
11,Gangeshwari,SC,JAGRAM SINGH,M,SC,48,SP,35399,2,Hindu,16
11,Gangeshwari,SC,VIJAY KUMAR,M,SC,40,BSP,34777,3,Hindu,46
11,Gangeshwari,SC,TOTA RAM,M,SC,54,RLD,6111,4,Hindu,5
11,Gangeshwari,SC,PHOOL SINGH,M,SC,63,INC,2050,5,Hindu,16
11,Gangeshwari,SC,RAMOTAR,M,SC,34,IND,1482,6,Unknown,0
11,Gangeshwari,SC,ANIL KUMAR,M,SC,40,BJSH,1384,7,Hindu,22
11,Gangeshwari,SC,PRITAM SINGH,M,SC,46,IND,1382,8,Hindu,9
11,Gangeshwari,SC,MUNNA LAL,M,SC,37,FB(S),765,9,Hindu,5
11,Gangeshwari,SC,BADLU RAM BHAGAT,M,SC,62,IND,623,10,Hindu,8
11,Gangeshwari,SC,OMPRAKASH,M,SC,34,IND,425,11,Hindu,66
11,Gangeshwari,SC,NARENDRA,M,SC,40,IND,409,12,Hindu,66
12,Sambhal,GEN,IQBAL MEHMOOD,M,GEN,56,SP,46096,1,Muslim,20
12,Sambhal,GEN,RAJESH SINGHAL,M,GEN,32,BJP,34436,2,Hindu,46
12,Sambhal,GEN,TARANNUM AQEEL,F,GEN,42,BSP,32034,3,Muslim,13
12,Sambhal,GEN,MAMLOOKUR REHMAN,M,GEN,49,RLD,12112,4,Muslim,66
12,Sambhal,GEN,HAJI RASHID HUSSAIN,M,GEN,43,NLHP,3848,5,Muslim,9
12,Sambhal,GEN,SHARIATULLAH,M,GEN,74,INC,3450,6,Unknown,0
12,Sambhal,GEN,SAUDUL HASAN,M,GEN,50,IND,1963,7,Muslim,16
12,Sambhal,GEN,SHARIF AHMAD,M,GEN,45,IND,1837,8,Muslim,25
12,Sambhal,GEN,MOHD. BILAL,M,GEN,37,IND,694,9,Muslim,16
12,Sambhal,GEN,LALIT ARYA,M,GEN,41,IND,446,10,Hindu,9
12,Sambhal,GEN,DEVENDRA,M,SC,35,RPI,371,11,Unknown,0
12,Sambhal,GEN,MOWAHID HUSAIN,M,GEN,41,IND,273,12,Muslim,16
12,Sambhal,GEN,SHIV NARAYAN SAINI,M,GEN,53,RJD,262,13,Hindu,33
13,Bahjoi,GEN,AQEEL-UR-RAHMAN KHAN,M,GEN,44,BSP,41040,1,Muslim,16
13,Bahjoi,GEN,BHARAT SINGH YADAV,M,GEN,41,BJP,40131,2,Hindu,22
13,Bahjoi,GEN,PINKY SINGH YADAV,F,GEN,26,SP,36896,3,Hindu,22
13,Bahjoi,GEN,VILESH KUMAR,M,GEN,35,RLD,3229,4,Hindu,16
13,Bahjoi,GEN,SHAHID ALI,M,GEN,39,IND,1897,5,Muslim,9
13,Bahjoi,GEN,MOHD. YUSUF,M,GEN,46,IND,1423,6,Muslim,66
13,Bahjoi,GEN,SHAHID HUSAIN,M,GEN,37,INC,974,7,Muslim,9
13,Bahjoi,GEN,MUKESH,M,GEN,35,IND,842,8,Hindu,66
13,Bahjoi,GEN,ANIL CHAUDHARY,M,GEN,38,IND,674,9,Hindu,22
13,Bahjoi,GEN,NEERAJ KUMAR,M,GEN,32,LD,343,10,Hindu,46
13,Bahjoi,GEN,BHEHDI RAM,M,GEN,68,IND,321,11,Hindu,5
13,Bahjoi,GEN,FIROZ KHAN,M,GEN,48,UDP,301,12,Muslim,11
13,Bahjoi,GEN,JITENDRA SINGH,M,GEN,45,IND,233,13,Hindu,46
13,Bahjoi,GEN,ZAFARUDDIN,M,GEN,44,IND,210,14,Unknown,0
13,Bahjoi,GEN,KANHAIYA LAL,M,GEN,39,IND,191,15,Hindu,46
14,Chandausi,SC,GIRISH CHANDRA,M,SC,41,BSP,40335,1,Hindu,46
14,Chandausi,SC,SATISH PREMI,M,SC,45,SP,33053,2,Hindu,83
14,Chandausi,SC,GULAB DEVI,F,SC,48,BJP,30592,3,Hindu,9
14,Chandausi,SC,MAHARAM SINGH,M,SC,53,IND,2144,4,Hindu,16
14,Chandausi,SC,KARAN SINGH,M,SC,55,RLD,1528,5,Hindu,4
14,Chandausi,SC,MAHAVEER SINGH,M,SC,44,BSKP,1189,6,Hindu,25
14,Chandausi,SC,BUDDH PRAKASH,M,SC,40,IND,892,7,Unknown,0
14,Chandausi,SC,BRIJBHAN SINGH,M,SC,27,IND,652,8,Hindu,16
14,Chandausi,SC,RAMRUP SINGH,M,SC,42,RSMD,426,9,Hindu,16
14,Chandausi,SC,PRAMOD KUMAR,M,SC,40,IND,363,10,Hindu,46
14,Chandausi,SC,BABOO RAM,M,SC,47,IND,277,11,Hindu,5
15,Kunderki,GEN,AKBAR HUSAIN,M,GEN,60,BSP,50626,1,Muslim,46
15,Kunderki,GEN,HAZI MOHAMMAD RIZWAN,M,GEN,56,SP,41356,2,Muslim,62
15,Kunderki,GEN,CHANDRAPAL SINGH URF PAPPU CHAUDHARY,M,GEN,49,BJP,24727,3,Hindu,49
15,Kunderki,GEN,RISHIPAL SINGH,M,GEN,41,INC,13304,4,Hindu,16
15,Kunderki,GEN,MOHD. SHAFIQUE KHAN URF KAUSAR KHAN,M,GEN,54,RLD,12159,5,Muslim,7
15,Kunderki,GEN,HAFEZ AHMAD,M,GEN,51,IND,1424,6,Muslim,25
15,Kunderki,GEN,RAMESHWARI,F,GEN,39,IEMC,876,7,Hindu,66
15,Kunderki,GEN,MOMEEN,M,GEN,57,NNP,754,8,Unknown,0
15,Kunderki,GEN,BHARAT SINGH,M,GEN,57,IND,705,9,Hindu,5
15,Kunderki,GEN,RAKESH,M,GEN,32,NCP,683,10,Hindu,66
15,Kunderki,GEN,GAVENDRA SINGH,M,GEN,38,LD,624,11,Hindu,16
15,Kunderki,GEN,MOHD. AZAM,M,GEN,37,UPUDF,618,12,Muslim,16
15,Kunderki,GEN,SHYAM LAL,M,SC,33,IND,553,13,Hindu,46
15,Kunderki,GEN,NAROTTAM SINGH,M,GEN,44,IND,521,14,Hindu,46
15,Kunderki,GEN,RAM SINGH,M,GEN,57,RPI,305,15,Hindu,8
15,Kunderki,GEN,ARIF PASHA,M,GEN,28,IND,277,16,Muslim,13
16,Moradabad West,GEN,RAJEEV CHANNA,M,GEN,44,BJP,39705,1,Hindu,83
16,Moradabad West,GEN,MOHD. AQIL,M,GEN,69,BSP,34116,2,Muslim,20
16,Moradabad West,GEN,RAJESH YADAV,M,GEN,47,SP,27328,3,Hindu,46
16,Moradabad West,GEN,SAMARPAL SINGH,M,GEN,57,RLD,17679,4,Hindu,16
16,Moradabad West,GEN,TABARAK HUSAIN,M,GEN,33,NLHP,9439,5,Muslim,16
16,Moradabad West,GEN,MEERA,F,GEN,38,RSMD,5680,6,Hindu,13
16,Moradabad West,GEN,DHEERAJ KACHAL,M,GEN,35,INC,4513,7,Hindu,83
16,Moradabad West,GEN,SANJEEV MEHROTRA & PICCO BHAI,M,GEN,43,IND,1535,8,Hindu,83
16,Moradabad West,GEN,HAROON CHAUDHRI,M,GEN,27,IND,1375,9,Muslim,83
16,Moradabad West,GEN,MANGU SINGH TYAGI,M,GEN,45,LD,1210,10,Hindu,90
16,Moradabad West,GEN,REHANA SAIFI,F,GEN,26,RSBP,714,11,Unknown,0
16,Moradabad West,GEN,SANJEEV,M,GEN,26,IND,711,12,Hindu,66
16,Moradabad West,GEN,MOHD. RIZWAN ALI,M,GEN,34,PPI,545,13,Muslim,46
16,Moradabad West,GEN,CHANDRAPAL SINGH JATAV,M,GEN,37,RPI,532,14,Hindu,90
16,Moradabad West,GEN,SAGHIR HUSAIN,M,GEN,34,IND,505,15,Muslim,16
16,Moradabad West,GEN,DINESH SINGH ADVOCATE,M,GEN,33,BRPP,425,16,Hindu,68
16,Moradabad West,GEN,DR. KIRAN SINGH TOMAR,F,GEN,40,IJP,382,17,Hindu,24
17,Moradabad,GEN,SANDEEP AGRAWAL,M,GEN,50,SP,49547,1,Hindu,46
17,Moradabad,GEN,VIKAS JAIN,M,GEN,41,BJP,20368,2,Unknown,0
17,Moradabad,GEN,ASAD MOULAEY,M,GEN,47,INC,3977,3,Muslim,83
17,Moradabad,GEN,ZAHID HUSSAIN,M,GEN,58,RLD,1937,4,Muslim,46
17,Moradabad,GEN,NARESH KUMAR,M,GEN,48,BSP,1684,5,Hindu,46
17,Moradabad,GEN,MOHD. HAMID RAZA,M,GEN,27,RPD,811,6,Muslim,31
17,Moradabad,GEN,BABAR KHAN,M,GEN,57,NLHP,690,7,Christian,33
17,Moradabad,GEN,VIJAI MEHRA,M,GEN,51,IND,309,8,Hindu,16
17,Moradabad,GEN,ANNU AGRAWAL,F,GEN,32,SJP(R),288,9,Hindu,16
17,Moradabad,GEN,ABDUL JAMAL,M,GEN,40,NBNP,264,10,Muslim,46
17,Moradabad,GEN,PANNALAL DIWAKAR,M,SC,46,LD,237,11,Hindu,83
17,Moradabad,GEN,NIZAM HUSAIN URF PAMMA,M,GEN,29,LJP,227,12,Muslim,68
17,Moradabad,GEN,MUSTAFA ALI,M,GEN,43,IND,190,13,Muslim,46
17,Moradabad,GEN,SAGHEER SAEED KHAN,M,GEN,44,IEMC,153,14,Muslim,28
17,Moradabad,GEN,SHANKER PANDIT,M,GEN,47,IND,153,15,Hindu,16
17,Moradabad,GEN,ISLAM ALI,M,GEN,44,IND,152,16,Muslim,46
17,Moradabad,GEN,IMRAN ALI KHAN ADVOCATE,M,GEN,32,PPI,123,17,Muslim,33
17,Moradabad,GEN,SANJEEV MEHROTRA URF PICCO BHAI,M,GEN,43,IJP,122,18,Hindu,83
17,Moradabad,GEN,HAJI QAZI MUSARRAT HUSAIN (ADVOCATE),M,GEN,61,RJD,111,19,Muslim,90
17,Moradabad,GEN,ABRAR HUSAIN,M,GEN,44,IND,100,20,Muslim,46
17,Moradabad,GEN,RAHISAN,F,GEN,49,RSBP,97,21,Unknown,0
17,Moradabad,GEN,DEEPAK KUMAR,M,GEN,30,IND,70,22,Hindu,9
18,Moradabad Rural,GEN,USMANUL HAQ,M,GEN,29,SP,49194,1,Muslim,16
18,Moradabad Rural,GEN,RAMVEER SINGH,M,GEN,31,BJP,46034,2,Hindu,16
18,Moradabad Rural,GEN,CHOUDHARY SAULAT ALI,M,GEN,55,RLD,20276,3,Muslim,16
18,Moradabad Rural,GEN,FIZAULLA CHADUHARY,M,GEN,54,BSP,20092,4,Unknown,0
18,Moradabad Rural,GEN,HAJRA BEGUM,F,GEN,50,INC,16380,5,Muslim,16
18,Moradabad Rural,GEN,LOKESH KUMAR SINGH,M,GEN,36,RSMD,4321,6,Hindu,21
18,Moradabad Rural,GEN,TABARAKULLA KHA,M,GEN,62,IND,1889,7,Hindu,66
18,Moradabad Rural,GEN,ZAKIR HUSAIN,M,GEN,45,NLHP,1536,8,Muslim,46
18,Moradabad Rural,GEN,RAMPAL SINGH,M,GEN,31,IND,1387,9,Hindu,16
18,Moradabad Rural,GEN,ALTAF,M,GEN,27,LJP,1226,10,Muslim,66
18,Moradabad Rural,GEN,DHARAMVEER SINGH  RANA,M,GEN,56,IND,1111,11,Hindu,16
18,Moradabad Rural,GEN,JITENDRA SINGH,M,GEN,30,IND,1022,12,Hindu,46
18,Moradabad Rural,GEN,GULAM GOSS,M,GEN,36,IND,993,13,Unknown,0
18,Moradabad Rural,GEN,MUSTFA HUSAIN,M,GEN,40,IEMC,906,14,Muslim,16
18,Moradabad Rural,GEN,DR. SALEEM BAIG,M,GEN,42,NLP,819,15,Muslim,25
18,Moradabad Rural,GEN,SABIR HUSSAIN,M,GEN,41,RSBP,609,16,Muslim,46
18,Moradabad Rural,GEN,ROHITASH KUMAR RAJPUT,M,GEN,43,CPI(ML)(L),541,17,Hindu,46
18,Moradabad Rural,GEN,PATRAM,M,GEN,44,IND,526,18,Unknown,0
18,Moradabad Rural,GEN,MOHD. ASLAM,M,GEN,38,APP,272,19,Muslim,16
19,Thakurdwara,GEN,VIJAY KUMAR URF VIJAY YADAV,M,GEN,44,BSP,62394,1,Hindu,52
19,Thakurdwara,GEN,KUWAR SARVESH KUMAR,M,GEN,55,BJP,53284,2,Hindu,5
19,Thakurdwara,GEN,MOHD. ULLAH KHAN,M,GEN,55,INC,39067,3,Muslim,16
19,Thakurdwara,GEN,JAVED ALI KHAN,M,GEN,40,SP,4994,4,Muslim,29
19,Thakurdwara,GEN,HARPAL SINGH,M,SC,43,IND,1866,5,Sikh,33
