id,ac_id_09,candidate_krsap_name_12,candidate_krsap_religion_12,candidate_krsap_religion_certainty_12,candidate_vajp_name_12,candidate_vajp_religion_12,candidate_vajp_religion_certainty_12,candidate_jabhp_name_12,candidate_jabhp_religion_12,candidate_jabhp_religion_certainty_12,candidate_bhnkp_name_12,candidate_bhnkp_religion_12,candidate_bhnkp_religion_certainty_12,candidate_rsad_name_12,candidate_rsad_religion_12,candidate_rsad_religion_certainty_12,candidate_rmd_name_12,candidate_rmd_religion_12,candidate_rmd_religion_certainty_12,candidate_kmbs_name_12,candidate_kmbs_religion_12,candidate_kmbs_religion_certainty_12,candidate_jmbp_name_12,candidate_jmbp_religion_12,candidate_jmbp_religion_certainty_12,candidate_msp_name_12,candidate_msp_religion_12,candidate_msp_religion_certainty_12,candidate_smbhp_name_12,candidate_smbhp_religion_12,candidate_smbhp_religion_certainty_12,candidate_swd_name_12,candidate_swd_religion_12,candidate_swd_religion_certainty_12,candidate_sscp_name_12,candidate_sscp_religion_12,candidate_sscp_religion_certainty_12,candidate_njc_name_12,candidate_njc_religion_12,candidate_njc_religion_certainty_12,candidate_bkpp_name_12,candidate_bkpp_religion_12,candidate_bkpp_religion_certainty_12,candidate_uprp_name_12,candidate_uprp_religion_12,candidate_uprp_religion_certainty_12,candidate_sp_i_name_12,candidate_sp_i_religion_12,candidate_sp_i_religion_certainty_12,candidate_bjkd_name_12,candidate_bjkd_religion_12,candidate_bjkd_religion_certainty_12,candidate_cpi_name_12,candidate_cpi_religion_12,candidate_cpi_religion_certainty_12,candidate_inl_name_12,candidate_inl_religion_12,candidate_inl_religion_certainty_12,candidate_ggp_name_12,candidate_ggp_religion_12,candidate_ggp_religion_certainty_12,candidate_airsp_name_12,candidate_airsp_religion_12,candidate_airsp_religion_certainty_12,candidate_rpi_d_name_12,candidate_rpi_d_religion_12,candidate_rpi_d_religion_certainty_12,candidate_nnp_name_12,candidate_nnp_religion_12,candidate_nnp_religion_certainty_12,candidate_rvlp_name_12,candidate_rvlp_religion_12,candidate_rvlp_religion_certainty_12,candidate_hd_name_12,candidate_hd_religion_12,candidate_hd_religion_certainty_12,candidate_pecp_name_12,candidate_pecp_religion_12,candidate_pecp_religion_certainty_12,candidate_rsps_name_12,candidate_rsps_religion_12,candidate_rsps_religion_certainty_12,candidate_lsp_name_12,candidate_lsp_religion_12,candidate_lsp_religion_certainty_12,candidate_jasd_name_12,candidate_jasd_religion_12,candidate_jasd_religion_certainty_12,candidate_snp_name_12,candidate_snp_religion_12,candidate_snp_religion_certainty_12,candidate_lpi_v_name_12,candidate_lpi_v_religion_12,candidate_lpi_v_religion_certainty_12,candidate_rjtp_name_12,candidate_rjtp_religion_12,candidate_rjtp_religion_certainty_12,candidate_brpp_name_12,candidate_brpp_religion_12,candidate_brpp_religion_certainty_12,candidate_vip_name_12,candidate_vip_religion_12,candidate_vip_religion_certainty_12,candidate_swpi_name_12,candidate_swpi_religion_12,candidate_swpi_religion_certainty_12,candidate_jnd_name_12,candidate_jnd_religion_12,candidate_jnd_religion_certainty_12,candidate_rjd_name_12,candidate_rjd_religion_12,candidate_rjd_religion_certainty_12,candidate_ramsp_name_12,candidate_ramsp_religion_12,candidate_ramsp_religion_certainty_12,candidate_bc_name_12,candidate_bc_religion_12,candidate_bc_religion_certainty_12,candidate_vp_name_12,candidate_vp_religion_12,candidate_vp_religion_certainty_12,candidate_bsrd_name_12,candidate_bsrd_religion_12,candidate_bsrd_religion_certainty_12,candidate_pbsd_name_12,candidate_pbsd_religion_12,candidate_pbsd_religion_certainty_12,candidate_bsp_a_name_12,candidate_bsp_a_religion_12,candidate_bsp_a_religion_certainty_12,candidate_brkd_name_12,candidate_brkd_religion_12,candidate_brkd_religion_certainty_12,candidate_jsmp_name_12,candidate_jsmp_religion_12,candidate_jsmp_religion_certainty_12,candidate_aimf_name_12,candidate_aimf_religion_12,candidate_aimf_religion_certainty_12,candidate_sp_name_12,candidate_sp_religion_12,candidate_sp_religion_certainty_12,candidate_qed_name_12,candidate_qed_religion_12,candidate_qed_religion_certainty_12,candidate_shsp_name_12,candidate_shsp_religion_12,candidate_shsp_religion_certainty_12,candidate_shs_name_12,candidate_shs_religion_12,candidate_shs_religion_certainty_12,candidate_yvp_name_12,candidate_yvp_religion_12,candidate_yvp_religion_certainty_12,candidate_rcp_name_12,candidate_rcp_religion_12,candidate_rcp_religion_certainty_12,candidate_nyp_name_12,candidate_nyp_religion_12,candidate_nyp_religion_certainty_12,candidate_jd_name_12,candidate_jd_religion_12,candidate_jd_religion_certainty_12,candidate_jknpp_name_12,candidate_jknpp_religion_12,candidate_jknpp_religion_certainty_12,candidate_pmsp_name_12,candidate_pmsp_religion_12,candidate_pmsp_religion_certainty_12,candidate_hnd_name_12,candidate_hnd_religion_12,candidate_hnd_religion_certainty_12,candidate_psjp_name_12,candidate_psjp_religion_12,candidate_psjp_religion_certainty_12,candidate_bsp_name_12,candidate_bsp_religion_12,candidate_bsp_religion_certainty_12,candidate_mmup_name_12,candidate_mmup_religion_12,candidate_mmup_religion_certainty_12,candidate_md_name_12,candidate_md_religion_12,candidate_md_religion_certainty_12,candidate_rbhp_name_12,candidate_rbhp_religion_12,candidate_rbhp_religion_certainty_12,candidate_sbsp_name_12,candidate_sbsp_religion_12,candidate_sbsp_religion_certainty_12,candidate_bjvp_name_12,candidate_bjvp_religion_12,candidate_bjvp_religion_certainty_12,candidate_becp_name_12,candidate_becp_religion_12,candidate_becp_religion_certainty_12,candidate_rjswp_name_12,candidate_rjswp_religion_12,candidate_rjswp_religion_certainty_12,candidate_ljp_name_12,candidate_ljp_religion_12,candidate_ljp_religion_certainty_12,candidate_phsp_name_12,candidate_phsp_religion_12,candidate_phsp_religion_certainty_12,candidate_gasp_name_12,candidate_gasp_religion_12,candidate_gasp_religion_certainty_12,candidate_nrsn_name_12,candidate_nrsn_religion_12,candidate_nrsn_religion_certainty_12,candidate_ahnp_name_12,candidate_ahnp_religion_12,candidate_ahnp_religion_certainty_12,candidate_lp_s_name_12,candidate_lp_s_religion_12,candidate_lp_s_religion_certainty_12,candidate_ralp_name_12,candidate_ralp_religion_12,candidate_ralp_religion_certainty_12,candidate_bpnp_name_12,candidate_bpnp_religion_12,candidate_bpnp_religion_certainty_12,candidate_bsa_name_12,candidate_bsa_religion_12,candidate_bsa_religion_certainty_12,candidate_jasp_name_12,candidate_jasp_religion_12,candidate_jasp_religion_certainty_12,candidate_dsp_name_12,candidate_dsp_religion_12,candidate_dsp_religion_certainty_12,candidate_bsd_name_12,candidate_bsd_religion_12,candidate_bsd_religion_certainty_12,candidate_cpm_name_12,candidate_cpm_religion_12,candidate_cpm_religion_certainty_12,candidate_jkip_name_12,candidate_jkip_religion_12,candidate_jkip_religion_certainty_12,candidate_majp_name_12,candidate_majp_religion_12,candidate_majp_religion_certainty_12,candidate_bcb_name_12,candidate_bcb_religion_12,candidate_bcb_religion_certainty_12,candidate_ksjp_name_12,candidate_ksjp_religion_12,candidate_ksjp_religion_certainty_12,candidate_nap_name_12,candidate_nap_religion_12,candidate_nap_religion_certainty_12,candidate_jmm_name_12,candidate_jmm_religion_12,candidate_jmm_religion_certainty_12,candidate_lpsp_name_12,candidate_lpsp_religion_12,candidate_lpsp_religion_certainty_12,candidate_rsmd_name_12,candidate_rsmd_religion_12,candidate_rsmd_religion_certainty_12,candidate_ad_name_12,candidate_ad_religion_12,candidate_ad_religion_certainty_12,candidate_bhvsp_name_12,candidate_bhvsp_religion_12,candidate_bhvsp_religion_certainty_12,candidate_iop_name_12,candidate_iop_religion_12,candidate_iop_religion_certainty_12,candidate_brm_name_12,candidate_brm_religion_12,candidate_brm_religion_certainty_12,candidate_meyp_name_12,candidate_meyp_religion_12,candidate_meyp_religion_certainty_12,candidate_pap_name_12,candidate_pap_religion_12,candidate_pap_religion_certainty_12,candidate_mop_name_12,candidate_mop_religion_12,candidate_mop_religion_certainty_12,candidate_nbep_name_12,candidate_nbep_religion_12,candidate_nbep_religion_certainty_12,candidate_mul_name_12,candidate_mul_religion_12,candidate_mul_religion_certainty_12,candidate_bhsapa_name_12,candidate_bhsapa_religion_12,candidate_bhsapa_religion_certainty_12,candidate_ijp_name_12,candidate_ijp_religion_12,candidate_ijp_religion_certainty_12,candidate_ndpf_name_12,candidate_ndpf_religion_12,candidate_ndpf_religion_certainty_12,candidate_ranp_name_12,candidate_ranp_religion_12,candidate_ranp_religion_certainty_12,candidate_mbcoi_name_12,candidate_mbcoi_religion_12,candidate_mbcoi_religion_certainty_12,candidate_brabsvp_name_12,candidate_brabsvp_religion_12,candidate_brabsvp_religion_certainty_12,candidate_rgop_name_12,candidate_rgop_religion_12,candidate_rgop_religion_certainty_12,candidate_arvp_name_12,candidate_arvp_religion_12,candidate_arvp_religion_certainty_12,candidate_amkp_name_12,candidate_amkp_religion_12,candidate_amkp_religion_certainty_12,candidate_wpoi_name_12,candidate_wpoi_religion_12,candidate_wpoi_religion_certainty_12,candidate_bjp_name_12,candidate_bjp_religion_12,candidate_bjp_religion_certainty_12,candidate_ssad_name_12,candidate_ssad_religion_12,candidate_ssad_religion_certainty_12,candidate_inc_name_12,candidate_inc_religion_12,candidate_inc_religion_certainty_12,candidate_abas_name_12,candidate_abas_religion_12,candidate_abas_religion_certainty_12,candidate_rpi_name_12,candidate_rpi_religion_12,candidate_rpi_religion_certainty_12,candidate_bjbcd_name_12,candidate_bjbcd_religion_12,candidate_bjbcd_religion_certainty_12,candidate_bpd_name_12,candidate_bpd_religion_12,candidate_bpd_religion_certainty_12,candidate_unknown_name_12,candidate_unknown_religion_12,candidate_unknown_religion_certainty_12,candidate_mosp_name_12,candidate_mosp_religion_12,candidate_mosp_religion_certainty_12,candidate_sapp_name_12,candidate_sapp_religion_12,candidate_sapp_religion_certainty_12,candidate_bjs_name_12,candidate_bjs_religion_12,candidate_bjs_religion_certainty_12,candidate_brvp_name_12,candidate_brvp_religion_12,candidate_brvp_religion_certainty_12,candidate_rsuprp_name_12,candidate_rsuprp_religion_12,candidate_rsuprp_religion_certainty_12,candidate_amp_name_12,candidate_amp_religion_12,candidate_amp_religion_certainty_12,candidate_abrs_name_12,candidate_abrs_religion_12,candidate_abrs_religion_certainty_12,candidate_jlkp_name_12,candidate_jlkp_religion_12,candidate_jlkp_religion_certainty_12,candidate_bkrp_name_12,candidate_bkrp_religion_12,candidate_bkrp_religion_certainty_12,candidate_rld_name_12,candidate_rld_religion_12,candidate_rld_religion_certainty_12,candidate_nlp_name_12,candidate_nlp_religion_12,candidate_nlp_religion_certainty_12,candidate_bum_name_12,candidate_bum_religion_12,candidate_bum_religion_certainty_12,candidate_ap_name_12,candidate_ap_religion_12,candidate_ap_religion_certainty_12,candidate_bmskm_name_12,candidate_bmskm_religion_12,candidate_bmskm_religion_certainty_12,candidate_rajup_name_12,candidate_rajup_religion_12,candidate_rajup_religion_certainty_12,candidate_bmm_name_12,candidate_bmm_religion_12,candidate_bmm_religion_certainty_12,candidate_prdp_name_12,candidate_prdp_religion_12,candidate_prdp_religion_certainty_12,candidate_raad_name_12,candidate_raad_religion_12,candidate_raad_religion_certainty_12,candidate_ivd_name_12,candidate_ivd_religion_12,candidate_ivd_religion_certainty_12,candidate_ssd_name_12,candidate_ssd_religion_12,candidate_ssd_religion_certainty_12,candidate_ipp_name_12,candidate_ipp_religion_12,candidate_ipp_religion_certainty_12,candidate_raip_name_12,candidate_raip_religion_12,candidate_raip_religion_certainty_12,candidate_rjpk_name_12,candidate_rjpk_religion_12,candidate_rjpk_religion_certainty_12,candidate_papoi_name_12,candidate_papoi_religion_12,candidate_papoi_religion_certainty_12,candidate_rdhp_name_12,candidate_rdhp_religion_12,candidate_rdhp_religion_certainty_12,candidate_rjap_name_12,candidate_rjap_religion_12,candidate_rjap_religion_certainty_12,candidate_bmkcp_name_12,candidate_bmkcp_religion_12,candidate_bmkcp_religion_certainty_12,candidate_rmgp_name_12,candidate_rmgp_religion_12,candidate_rmgp_religion_certainty_12,candidate_rsvc_name_12,candidate_rsvc_religion_12,candidate_rsvc_religion_certainty_12,candidate_jakp_name_12,candidate_jakp_religion_12,candidate_jakp_religion_certainty_12,candidate_ncp_name_12,candidate_ncp_religion_12,candidate_ncp_religion_certainty_12,candidate_rlnp_name_12,candidate_rlnp_religion_12,candidate_rlnp_religion_certainty_12,candidate_bkrd_name_12,candidate_bkrd_religion_12,candidate_bkrd_religion_certainty_12,candidate_jps_name_12,candidate_jps_religion_12,candidate_jps_religion_certainty_12,candidate_np_name_12,candidate_np_religion_12,candidate_np_religion_certainty_12,candidate_ind_name_12,candidate_ind_religion_12,candidate_ind_religion_certainty_12,candidate_iuml_name_12,candidate_iuml_religion_12,candidate_iuml_religion_certainty_12,candidate_apvm_name_12,candidate_apvm_religion_12,candidate_apvm_religion_certainty_12,candidate_mc_name_12,candidate_mc_religion_12,candidate_mc_religion_certainty_12,candidate_abhm_name_12,candidate_abhm_religion_12,candidate_abhm_religion_certainty_12,candidate_cpi_mll_name_12,candidate_cpi_mll_religion_12,candidate_cpi_mll_religion_certainty_12,candidate_bhjasap_name_12,candidate_bhjasap_religion_12,candidate_bhjasap_religion_certainty_12,candidate_rlm_name_12,candidate_rlm_religion_12,candidate_rlm_religion_certainty_12,candidate_iemc_name_12,candidate_iemc_religion_12,candidate_iemc_religion_certainty_12,candidate_sm_name_12,candidate_sm_religion_12,candidate_sm_religion_certainty_12,candidate_rtjp_name_12,candidate_rtjp_religion_12,candidate_rtjp_religion_certainty_12,candidate_bskd_name_12,candidate_bskd_religion_12,candidate_bskd_religion_certainty_12,candidate_gsps_name_12,candidate_gsps_religion_12,candidate_gsps_religion_certainty_12,candidate_ld_name_12,candidate_ld_religion_12,candidate_ld_religion_certainty_12,candidate_sdpi_name_12,candidate_sdpi_religion_12,candidate_sdpi_religion_certainty_12,candidate_mwsp_name_12,candidate_mwsp_religion_12,candidate_mwsp_religion_certainty_12,candidate_awd_name_12,candidate_awd_religion_12,candidate_awd_religion_certainty_12,candidate_jbsp_name_12,candidate_jbsp_religion_12,candidate_jbsp_religion_certainty_12,candidate_spyscb_name_12,candidate_spyscb_religion_12,candidate_spyscb_religion_certainty_12,candidate_rajp_name_12,candidate_rajp_religion_12,candidate_rajp_religion_certainty_12,candidate_abdbm_name_12,candidate_abdbm_religion_12,candidate_abdbm_religion_certainty_12,candidate_bhsvp_name_12,candidate_bhsvp_religion_12,candidate_bhsvp_religion_certainty_12,candidate_aifb_name_12,candidate_aifb_religion_12,candidate_aifb_religion_certainty_12,candidate_aitc_name_12,candidate_aitc_religion_12,candidate_aitc_religion_certainty_12,candidate_pss_name_12,candidate_pss_religion_12,candidate_pss_religion_certainty_12,candidate_bsp_k_name_12,candidate_bsp_k_religion_12,candidate_bsp_k_religion_certainty_12,candidate_rksp_name_12,candidate_rksp_religion_12,candidate_rksp_religion_certainty_12,candidate_bhrapa_name_12,candidate_bhrapa_religion_12,candidate_bhrapa_religion_certainty_12,candidate_bskp_name_12,candidate_bskp_religion_12,candidate_bskp_religion_certainty_12,candidate_abltc_name_12,candidate_abltc_religion_12,candidate_abltc_religion_certainty_12,candidate_alhp_name_12,candidate_alhp_religion_12,candidate_alhp_religion_certainty_12,candidate_rbp_name_12,candidate_rbp_religion_12,candidate_rbp_religion_certainty_12,candidate_jkm_name_12,candidate_jkm_religion_12,candidate_jkm_religion_certainty_12,candidate_gmm_name_12,candidate_gmm_religion_12,candidate_gmm_religion_certainty_12,candidate_bcp_name_12,candidate_bcp_religion_12,candidate_bcp_religion_certainty_12,candidate_javm_name_12,candidate_javm_religion_12,candidate_javm_religion_certainty_12,candidate_ruc_name_12,candidate_ruc_religion_12,candidate_ruc_religion_certainty_12,candidate_madp_name_12,candidate_madp_religion_12,candidate_madp_religion_certainty_12,candidate_dbj_name_12,candidate_dbj_religion_12,candidate_dbj_religion_certainty_12,candidate_prbd_name_12,candidate_prbd_religion_12,candidate_prbd_religion_certainty_12,candidate_jd_u_name_12,candidate_jd_u_religion_12,candidate_jd_u_religion_certainty_12,candidate_kis_name_12,candidate_kis_religion_12,candidate_kis_religion_certainty_12,candidate_swrjp_name_12,candidate_swrjp_religion_12,candidate_swrjp_religion_certainty_12,candidate_jarap_name_12,candidate_jarap_religion_12,candidate_jarap_religion_certainty_12,candidate_bravp_name_12,candidate_bravp_religion_12,candidate_bravp_religion_certainty_12,candidate_asp_name_12,candidate_asp_religion_12,candidate_asp_religion_certainty_12,candidate_suci_name_12,candidate_suci_religion_12,candidate_suci_religion_certainty_12,candidate_vop_name_12,candidate_vop_religion_12,candidate_vop_religion_certainty_12,candidate_rsbp_name_12,candidate_rsbp_religion_12,candidate_rsbp_religion_certainty_12,candidate_bep_name_12,candidate_bep_religion_12,candidate_bep_religion_certainty_12,candidate_swjp_name_12,candidate_swjp_religion_12,candidate_swjp_religion_certainty_12,candidate_rwsp_name_12,candidate_rwsp_religion_12,candidate_rwsp_religion_certainty_12,candidate_rsd_name_12,candidate_rsd_religion_12,candidate_rsd_religion_certainty_12,candidate_lswp_name_12,candidate_lswp_religion_12,candidate_lswp_religion_certainty_12,candidate_sjp_r_name_12,candidate_sjp_r_religion_12,candidate_sjp_r_religion_certainty_12,candidate_kirp_name_12,candidate_kirp_religion_12,candidate_kirp_religion_certainty_12,candidate_bhjd_name_12,candidate_bhjd_religion_12,candidate_bhjd_religion_certainty_12,candidate_mkup_name_12,candidate_mkup_religion_12,candidate_mkup_religion_certainty_12,candidate_abltp_name_12,candidate_abltp_religion_12,candidate_abltp_religion_certainty_12,candidate_jd_s_name_12,candidate_jd_s_religion_12,candidate_jd_s_religion_certainty_12,candidate_ukdp_name_12,candidate_ukdp_religion_12,candidate_ukdp_religion_certainty_12,candidate_anc_name_12,candidate_anc_religion_12,candidate_anc_religion_certainty_12,candidate_jsp_name_12,candidate_jsp_religion_12,candidate_jsp_religion_certainty_12,candidate_bhapp_name_12,candidate_bhapp_religion_12,candidate_bhapp_religion_certainty_12,candidate_abml_s_name_12,candidate_abml_s_religion_12,candidate_abml_s_religion_certainty_12,candidate_nscbrp_name_12,candidate_nscbrp_religion_12,candidate_nscbrp_religion_certainty_12,candidate_rpd_name_12,candidate_rpd_religion_12,candidate_rpd_religion_certainty_12,candidate_eksp_name_12,candidate_eksp_religion_12,candidate_eksp_religion_certainty_12,candidate_rvnp_name_12,candidate_rvnp_religion_12,candidate_rvnp_religion_certainty_12,candidate_bkd_name_12,candidate_bkd_religion_12,candidate_bkd_religion_certainty_12,candidate_rpi_a_name_12,candidate_rpi_a_religion_12,candidate_rpi_a_religion_certainty_12,candidate_mndp_name_12,candidate_mndp_religion_12,candidate_mndp_religion_certainty_12,candidate_aasp_name_12,candidate_aasp_religion_12,candidate_aasp_religion_certainty_12,candidate_rtrjp_name_12,candidate_rtrjp_religion_12,candidate_rtrjp_religion_certainty_12
1,1,,,,VIKRAM,Hindu,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DHARAM SINGH",Sikh,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UMAR ALI KHAN",Muslim,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MAHAVEER SINGH RANA",Hindu,37,,,,ARVIND,Hindu,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AJAY CHAUHAN",Hindu,46,,,,NARESH,Hindu,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ABDUL JABBAR",Muslim,46,,,,,,,,,,,,,DHANIRAM,Unknown,0,,,,,,,,,,YASHPAL,Sikh,66,,,,,,,"IRSHAD URF BHOORA",Muslim,26,,,,,,,,,,,,,,,,MAHMOOD,Muslim,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KARI INAM",Christian,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,"AVNISH ARYA",Hindu,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WAZIR AHMAD",Hindu,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FIROZ AFTAB",Hindu,4,,,,,,,YOGENDRA,Unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,"DR. DHARAM SINGH SAINI",Hindu,13,,,,KANWARPAL,Unknown,0,,,,,,,,,,,,,"AJAY KUMAR",Hindu,46,"SHAURAJ SINGH PANWAR",Hindu,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MELA RAM",Hindu,14,,,,"IMRAN MASOOD",Muslim,46,,,,,,,,,,,,,,,,,,,,,,,,,ATUL,Hindu,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SHIV CHARAN",Hindu,12,,,,,,,,,,,,,,,,,,,ARSHAD,Muslim,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JARIF,Unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,"ABHINANDAN PATHAK",Hindu,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SHIV KUMAR GUPTA",Hindu,29,,,,"RASHID ANSARI",Muslim,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANJAY,Hindu,66,,,,,,,,,,MAZAHIRHASAN,Unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANJAYA GARG",Hindu,46,,,,,,,,,,,,,,,,,,,,,,"DEEPAK JATAV",Hindu,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAGHAV LAKHANPAL",Hindu,83,,,,"SALEEM AHMED",Muslim,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAWAN,Hindu,66,SUBHASH,Hindu,66,,,,,,,,,,,,,"MOHD.  ARIF",Muslim,16,,,,,,,,,,,,,,,,,,,SAAHIRAM,Unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CH. IZHAR BABLU",Muslim,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GEETALI KAUSHIK",Hindu,16,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAHUL BHARTI",Hindu,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ABDUL SARFRAZ KHAN",Muslim,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAGPAL,Unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VIKRAM SINGH",Hindu,46,,,,"CH. ABDUL WAHID",Muslim,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SALEEM AHMAD",Muslim,25,,,,,,,,,,,,,"NAND LAL SINGH",Hindu,19,,,,,,,,,,,,,,,,,,,"RAKESH KUMAR",Hindu,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AKSHAY KUMAR",Hindu,5,,,,,,,"SATYA PRAKASH",Hindu,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,MUKESH,Hindu,66,,,,,,,,,,HARISH,Hindu,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JANAK SINGH",Hindu,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAJENDRA SINGH RANA",Hindu,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MANOJ CHAUDHARY",Hindu,46,,,,"OM KUMAR",Hindu,16,,,,,,,,,,,,,MADAN,Hindu,23,ANISH,Muslim,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAJPAL SINGH",Sikh,33,,,,"ANIL KUMAR TANWAR",Hindu,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SUSHIL KUMAR TYAGI",Hindu,66,,,,"M. KALEEM",Muslim,66,,,,,,,,,,"SUSHMA DEVI",Hindu,13,,,,,,,,,,,,,,,,,,,"RAO KILLAN KHAN ADVOCATE",Unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ANWAR ALI",Muslim,5,,,,,,,,,
