AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TOTVOTPOLL,POSITION,religion,certainty
1,Behat,GEN,MAHAVEER SINGH RANA,M,GEN,50,BSP,70274,1,Hindu,37
1,Behat,GEN,NARESH,M,GEN,47,INC,69760,2,Hindu,66
1,Behat,GEN,UMAR ALI KHAN,M,GEN,34,SP,47366,3,Muslim,29
1,Behat,GEN,AJAY CHAUHAN,M,GEN,29,BJP,23623,4,Hindu,46
1,Behat,GEN,DHARAM SINGH,M,SC,39,CPI,2251,5,Sikh,8
1,Behat,GEN,DHANIRAM,M,GEN,39,IND,1774,6,Unknown,0
1,Behat,GEN,ARVIND,M,GEN,31,MD,1399,7,Hindu,66
1,Behat,GEN,KARI INAM,M,GEN,35,RUC,1308,8,Christian,83
1,Behat,GEN,YASHPAL,M,SC,28,ABHM,781,9,Sikh,66
1,Behat,GEN,ABDUL JABBAR,M,GEN,35,NCP,726,10,Muslim,46
1,Behat,GEN,VIKRAM,M,GEN,35,VAJP,702,11,Hindu,66
1,Behat,GEN,IRSHAD URF BHOORA,M,GEN,57,RLM,593,12,Muslim,26
1,Behat,GEN,MAHMOOD,M,GEN,26,LD,565,13,Muslim,16
2,Nakur,GEN,DR. DHARAM SINGH SAINI,M,GEN,45,BSP,89187,1,Hindu,13
2,Nakur,GEN,IMRAN MASOOD,M,GEN,41,INC,84623,2,Muslim,46
2,Nakur,GEN,FIROZ AFTAB,M,GEN,45,SP,29503,3,Hindu,4
2,Nakur,GEN,GOVIND CHOUDHARY,M,GEN,27,IND,14226,4,Hindu,46
2,Nakur,GEN,MELA RAM,M,GEN,52,BJP,6634,5,Hindu,14
2,Nakur,GEN,RANJOR,M,GEN,49,IND,1126,6,Unknown,0
2,Nakur,GEN,SHIV CHARAN,M,SC,43,IND,1095,7,Hindu,12
2,Nakur,GEN,KANWARPAL,M,GEN,45,MD,866,8,Unknown,0
2,Nakur,GEN,AVNISH ARYA,M,SC,27,VAJP,701,9,Hindu,16
2,Nakur,GEN,YOGENDRA,M,GEN,52,SHS,642,10,Unknown,0
2,Nakur,GEN,WAZIR AHMAD,M,GEN,43,PECP,553,11,Hindu,2
2,Nakur,GEN,ATUL,M,GEN,37,BRVP,484,12,Hindu,66
2,Nakur,GEN,SHAURAJ SINGH PANWAR,M,GEN,47,LJP,405,13,Hindu,49
2,Nakur,GEN,AJAY KUMAR,M,GEN,41,RJSWP,294,14,Hindu,46
2,Nakur,GEN,JARIF,M,GEN,29,RUC,278,15,Unknown,0
2,Nakur,GEN,ARSHAD,M,GEN,37,RLM,134,16,Muslim,16
3,Saharanpur Nagar,GEN,RAGHAV LAKHANPAL,M,GEN,35,BJP,85170,1,Hindu,83
3,Saharanpur Nagar,GEN,SALEEM AHMED,M,GEN,45,INC,72544,2,Muslim,26
3,Saharanpur Nagar,GEN,SANJAYA GARG,M,GEN,54,BSP,36140,3,Hindu,46
3,Saharanpur Nagar,GEN,MAZAHIRHASAN,M,GEN,49,SP,19755,4,Unknown,0
3,Saharanpur Nagar,GEN,SIKANDER,M,GEN,29,IND,1055,5,Unknown,0
3,Saharanpur Nagar,GEN,SANJAY,M,SC,36,BSP(A),920,6,Hindu,66
3,Saharanpur Nagar,GEN,DAUD,M,GEN,41,IND,579,7,Unknown,0
3,Saharanpur Nagar,GEN,SUBHASH,M,GEN,43,NCP,509,8,Hindu,66
3,Saharanpur Nagar,GEN,RASHID ANSARI,M,GEN,37,PECP,465,9,Muslim,9
3,Saharanpur Nagar,GEN,SANDEEP GUPTA,M,GEN,38,IND,464,10,Hindu,46
3,Saharanpur Nagar,GEN,CH. IZHAR BABLU,M,GEN,36,RUC,385,11,Muslim,83
3,Saharanpur Nagar,GEN,MOHD.  ARIF,M,GEN,46,IND,345,12,Muslim,16
3,Saharanpur Nagar,GEN,ABHINANDAN PATHAK,M,GEN,44,VAJP,292,13,Hindu,5
3,Saharanpur Nagar,GEN,SHIV KUMAR GUPTA,M,GEN,57,RVLP,220,14,Hindu,29
3,Saharanpur Nagar,GEN,DEEPAK JATAV,M,SC,55,LJP,190,15,Hindu,7
3,Saharanpur Nagar,GEN,PAWAN,M,GEN,41,JaKP,184,16,Hindu,66
3,Saharanpur Nagar,GEN,SAAHIRAM,M,SC,67,RLM,163,17,Unknown,0
3,Saharanpur Nagar,GEN,GEETALI KAUSHIK,F,GEN,35,RPI(A),112,18,Hindu,16
4,Saharanpur  ,GEN,JAGPAL,M,SC,53,BSP,80670,1,Unknown,0
4,Saharanpur  ,GEN,CH. ABDUL WAHID,M,GEN,53,INC,63557,2,Muslim,62
4,Saharanpur  ,GEN,ABDUL SARFRAZ KHAN,M,GEN,53,SP,43018,3,Muslim,46
4,Saharanpur  ,GEN,VIKRAM SINGH,M,GEN,62,BJP,10739,4,Hindu,46
4,Saharanpur  ,GEN,SARAFAT,M,GEN,39,IND,1127,5,Unknown,0
4,Saharanpur  ,GEN,HARPAL SINGH,M,SC,60,IND,1044,6,Sikh,33
4,Saharanpur  ,GEN,ASHALATA,F,SC,48,IND,937,7,Hindu,66
4,Saharanpur  ,GEN,MAHAVEER SINGH SAINI,M,GEN,49,IND,908,8,Hindu,43
4,Saharanpur  ,GEN,AKSHAY KUMAR,M,GEN,27,AITC,418,9,Hindu,5
4,Saharanpur  ,GEN,PAVAN,M,SC,32,IND,388,10,Hindu,66
4,Saharanpur  ,GEN,RAHUL BHARTI,M,SC,29,PECP,282,11,Hindu,46
4,Saharanpur  ,GEN,NAND LAL SINGH,M,SC,62,IND,215,12,Hindu,19
4,Saharanpur  ,GEN,SALEEM AHMAD,M,GEN,35,NCP,209,13,Muslim,25
4,Saharanpur  ,GEN,SATYA PRAKASH,M,GEN,52,RKSP,187,14,Hindu,9
4,Saharanpur  ,GEN,RAKESH KUMAR,M,GEN,49,RLM,183,15,Hindu,46
5,Deoband,GEN,RAJENDRA SINGH RANA,M,GEN,52,SP,66682,1,Hindu,18
5,Deoband,GEN,MANOJ CHAUDHARY,M,GEN,39,BSP,63632,2,Hindu,46
5,Deoband,GEN,ANIL KUMAR TANWAR,M,GEN,57,INC,45495,3,Hindu,39
5,Deoband,GEN,RAJPAL SINGH,M,GEN,56,BJP,9903,4,Sikh,33
5,Deoband,GEN,OM KUMAR,M,GEN,50,MD,2469,5,Hindu,16
5,Deoband,GEN,SUBHASH,M,GEN,44,IND,1155,6,Hindu,66
5,Deoband,GEN,MUKESH,M,GEN,43,VAJP,1128,7,Hindu,66
5,Deoband,GEN,MUNFAT RANA,M,GEN,58,IND,807,8,Hindu,16
5,Deoband,GEN,RANBEER SINGH,M,GEN,29,IND,761,9,Hindu,16
5,Deoband,GEN,MOHD. MASUD,M,GEN,28,IND,753,10,Muslim,40
5,Deoband,GEN,SUSHMA DEVI,F,SC,46,IND,593,11,Hindu,13
5,Deoband,GEN,ANWAR ALI,M,GEN,52,RPI(A),532,12,Muslim,5
5,Deoband,GEN,RAO KILLAN KHAN ADVOCATE,M,GEN,37,RLM,329,13,Unknown,0
5,Deoband,GEN,HARISH,M,GEN,43,RMD,320,14,Hindu,18
5,Deoband,GEN,SUSHIL KUMAR TYAGI,M,GEN,51,JaKP,293,15,Hindu,66
5,Deoband,GEN,ANISH,M,GEN,37,LJP,292,16,Muslim,4
5,Deoband,GEN,M. KALEEM,M,GEN,30,RLNP,258,17,Muslim,66
5,Deoband,GEN,JANAK SINGH,M,GEN,39,PECP,233,18,Hindu,46
5,Deoband,GEN,MADAN,M,GEN,57,RJSWP,183,19,Hindu,23
6,Rampur Maniharan ,SC,RAVINDER KUMAR MOLHU,M,SC,47,BSP,77274,1,Hindu,83
6,Rampur Maniharan ,SC,VINOD KUMAR TEJYAN,M,SC,42,INC,50668,2,Hindu,66
6,Rampur Maniharan ,SC,VISHVADAYAL CHOTAN,M,SC,31,SP,47492,3,Unknown,0
6,Rampur Maniharan ,SC,RAKESH KUMAR GANGULI VALMIKI,M,SC,55,BJP,16395,4,Hindu,50
6,Rampur Maniharan ,SC,VED RANI,F,SC,42,RLM,1020,5,Hindu,62
6,Rampur Maniharan ,SC,MOHAR SINGH,M,SC,59,PECP,771,6,Hindu,16
6,Rampur Maniharan ,SC,BHARAT BHUSHAN,M,SC,31,AITC,763,7,Hindu,32
6,Rampur Maniharan ,SC,CHATTER SINGH DHANGHAR,M,SC,45,VAJP,564,8,Hindu,90
6,Rampur Maniharan ,SC,BALWANT SINGH,M,SC,64,SDPI,292,9,Hindu,5
6,Rampur Maniharan ,SC,PARVEEN KUMAR,M,SC,27,RJSWP,229,10,Hindu,3
7,Gangoh,GEN,PARDEEP KUMAR,M,GEN,41,INC,65149,1,Sikh,3
7,Gangoh,GEN,RUDER SAIN,M,GEN,52,SP,61126,2,Unknown,0
7,Gangoh,GEN,SHAGUFTA KHAN,F,GEN,52,BSP,41110,3,Muslim,46
7,Gangoh,GEN,NAHID HASAN,M,GEN,25,IND,33288,4,Muslim,46
7,Gangoh,GEN,SHASHI BALA PUNDIR,F,GEN,57,BJP,15357,5,Hindu,66
7,Gangoh,GEN,NAXSHATRA PAL,M,GEN,52,MD,6319,6,Hindu,16
7,Gangoh,GEN,SUBHASH,M,GEN,38,AITC,2770,7,Hindu,66
7,Gangoh,GEN,SHIV KUMAR,M,GEN,39,VAJP,1237,8,Hindu,16
7,Gangoh,GEN,KAWAR PAL,M,GEN,47,IND,1140,9,Hindu,16
7,Gangoh,GEN,DHARMENDRA KUMAR,M,GEN,59,JaKP,395,10,Hindu,5
7,Gangoh,GEN,RAJNESH NAUTIYAL,M,SC,30,ASP,369,11,Unknown,0
7,Gangoh,GEN,ASHOK,M,GEN,45,SHS,324,12,Hindu,66
7,Gangoh,GEN,PANKAJ KUMAR,M,GEN,31,RJSWP,290,13,Hindu,46
7,Gangoh,GEN,DUSHYANT KUMAR,M,GEN,31,RLM,207,14,Hindu,46
8,Kairana,GEN,HUKUM SINGH,M,GEN,73,BJP,80293,1,Hindu,16
8,Kairana,GEN,HUKUM SINGH,M,GEN,73,BJP,80293,2,Hindu,16
8,Kairana,GEN,ANWAR HASAN,M,GEN,40,BSP,60750,3,Muslim,5
8,Kairana,GEN,ANWAR HASAN,M,GEN,40,BSP,60750,4,Muslim,5
8,Kairana,GEN,AYYUB JANG,M,GEN,52,SP,21267,5,Unknown,0
8,Kairana,GEN,AYYUB JANG,M,GEN,52,SP,21267,6,Unknown,0
8,Kairana,GEN,ABDUL AZIZ,M,GEN,60,IND,5862,7,Muslim,46
8,Kairana,GEN,ABDUL AZIZ,M,GEN,60,IND,5862,8,Muslim,46
8,Kairana,GEN,FIROJ KHAN,M,GEN,42,LD,4108,9,Muslim,16
8,Kairana,GEN,FIROJ KHAN,M,GEN,42,LD,4108,10,Muslim,16
8,Kairana,GEN,NEERAJ KUMAR,M,GEN,39,IND,1618,11,Hindu,46
8,Kairana,GEN,NEERAJ KUMAR,M,GEN,39,IND,1618,12,Hindu,46
8,Kairana,GEN,RADHA,M,GEN,31,BhVSP,1029,13,Hindu,66
8,Kairana,GEN,RADHA,M,GEN,31,BhVSP,1029,14,Hindu,66
8,Kairana,GEN,UGAR SINGH,M,GEN,64,IND,973,15,Hindu,16
8,Kairana,GEN,UGAR SINGH,M,GEN,64,IND,973,16,Hindu,16
8,Kairana,GEN,TEJPAL,M,GEN,51,IND,733,17,Jain,66
8,Kairana,GEN,TEJPAL,M,GEN,51,IND,733,18,Jain,66
8,Kairana,GEN,GURDEEP,M,GEN,32,JD(U),648,19,Unknown,0
8,Kairana,GEN,GURDEEP,M,GEN,32,JD(U),648,20,Unknown,0
8,Kairana,GEN,(MO.) AKRAM CHOUHAN,M,GEN,27,IND,251,21,Muslim,33
8,Kairana,GEN,(MO.) AKRAM CHOUHAN,M,GEN,27,IND,251,22,Muslim,33
8,Kairana,GEN,YAKUB,M,GEN,39,PECP,235,23,Unknown,0
8,Kairana,GEN,YAKUB,M,GEN,39,PECP,235,24,Unknown,0
9,Thana Bhawan,GEN,SURESH KUMAR,M,GEN,40,BJP,53719,1,Hindu,46
9,Thana Bhawan,GEN,SURESH KUMAR,M,GEN,40,BJP,53719,2,Hindu,46
9,Thana Bhawan,GEN,ASHRAF ALI KHAN,M,GEN,43,RLD,53454,3,Muslim,17
9,Thana Bhawan,GEN,ASHRAF ALI KHAN,M,GEN,43,RLD,53454,4,Muslim,17
9,Thana Bhawan,GEN,ABDUL WARIS KHAN,M,GEN,31,BSP,50001,5,Muslim,46
9,Thana Bhawan,GEN,ABDUL WARIS KHAN,M,GEN,31,BSP,50001,6,Muslim,46
9,Thana Bhawan,GEN,KIRAN PAL KASHYAP,M,GEN,57,SP,10198,7,Hindu,9
